"include"	"disposition"	"occurrence_count"	"source_count"	"forms"	"selected_candidate"	"first_source"	"first_line"	"rationale"
"aaa.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\aaa.h"	"softpc.new/base/ccpu386/aaa.c"	"26"	"quoted include resolves beside one or more selected MVDM sources"
"aad.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\aad.h"	"softpc.new/base/ccpu386/aad.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"aam.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\aam.h"	"softpc.new/base/ccpu386/aam.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"aas.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\aas.h"	"softpc.new/base/ccpu386/aas.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"adc.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\adc.h"	"softpc.new/base/ccpu386/adc.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"add.h"	"mvdm-local-direct"	"3"	"3"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\add.h"	"softpc.new/base/ccpu386/add.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"align.h"	"ambiguous-opennt-platform-candidate"	"1"	"1"	"angle"	"O:\repos.external\OpenNT\net\sockets\winsock2.nt5\wsp\ws2map\align.h;O:\repos.external\OpenNT\net\sockets\winsock2\wsp\ws2map\align.h;O:\repos.external\OpenNT\public\internal\base\inc\align.h;O:\repos.external\OpenNT\public\internal\ds\inc\align.h;O:\repos.external\OpenNT-4.5\nt\private\inc\align.h;O:\repos.external\OpenNT-4.5\nt\private\net\sockets\winsock2\wsp\ws2map\align.h;O:\repos.external\OpenNT-4.5\nt\private\rpc\runtime\mtrt\align.h;O:\repos.external\OpenNT-4.5\nt\private\windbg\newdm\align.h"	"vdmredir/vrnmpipe.c"	"118"	"multiple same-basename candidates; package and declaration review required before import"
"and.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\and.h"	"softpc.new/base/ccpu386/and.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"apinums.h"	"selected-ds-declaration-package"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\public\internal\ds\inc\apinums.h"	"vdmredir/vrnetapi.c"	"76"	"T290 S5 selected the complete original DS declaration package; see m0-t290-s5-ds-declaration-package-manifest-001.tsv"
"apiparam.h"	"selected-ds-declaration-package"	"1"	"1"	"angle"	"O:\repos.external\OpenNT\public\internal\ds\inc\apiparam.h"	"vdmredir/vrnetapi.c"	"80"	"T290 S5 selected the complete original DS declaration package; see m0-t290-s5-ds-declaration-package-manifest-001.tsv"
