"include"	"source_path"	"source_sha256"	"target_path"	"action"	"direct_occurrences"	"first_mvdm_source"
"devioctl.h"	"O:\repos.external\OpenNT\public\sdk\inc\devioctl.h"	"87098d18c8afaf1265522380b682662125c59af17d775f9ab062e5b1e17db33b"	"source/opennt/public/sdk/inc/devioctl.h"	"already-identical"	"1"	"vdd/samples/mscdex/vdd/vcdex.c"
"dlcio.h"	"O:\repos.external\OpenNT-4.5\nt\private\inc\dlcio.h"	"5059d127630e19906e973266e34ffe8b648181b0962900551964147e527602de"	"source/opennt-4.5-private/inc/dlcio.h"	"already-identical"	"6"	"vdmredir/vrdisp.c"
"nt.h"	"O:\repos.external\OpenNT\public\sdk\inc\nt.h"	"c9fb3289b14c5e109c312050c05c064af3ee612822938f54ca12ddbb67472e2f"	"source/opennt/public/sdk/inc/nt.h"	"already-identical"	"70"	"bde/precomp.h"
"nt_vdd.h"	"O:\repos.external\OpenNT\public\sdk\inc\nt_vdd.h"	"7e89fd4420381a54bc89e9807e54ccfe138a0767996ab7c74712e5e96aeb6609"	"source/opennt/public/sdk/inc/nt_vdd.h"	"already-identical"	"8"	"dos/dem/demfile.c"
"ntcsrdll.h"	"O:\repos.external\OpenNT\public\sdk\inc\ntcsrdll.h"	"ed1f1868eaca9e9d2a781bb57bd5e35538c0f5755f508438a6b804816655d7e8"	"source/opennt/public/sdk/inc/ntcsrdll.h"	"already-identical"	"1"	"wow32/wow32.c"
"ntdbg.h"	"O:\repos.external\OpenNT\public\sdk\inc\ntdbg.h"	"a5b4a6018a953d66d0e73008ceed9939e4f88917fca9250f6dbf780dcf1c332a"	"source/opennt/public/sdk/inc/ntdbg.h"	"already-identical"	"3"	"dbg/dbg.c"
"ntddbeep.h"	"O:\repos.external\OpenNT\public\ddk\inc\ntddbeep.h"	"4e9e17a77c0e173166ab528de3a68d0c53883f513d55a998329d14f207e4272a"	"source/opennt/public/ddk/inc/ntddbeep.h"	"already-identical"	"1"	"softpc.new/host/src/nt_sound.c"
"ntddcdrm.h"	"O:\repos.external\OpenNT\public\ddk\inc\ntddcdrm.h"	"a6c5c64a7dec56163dc86382ba550b2ae4eeacbc2bea2016e38001e3b3d90286"	"source/opennt/public/ddk/inc/ntddcdrm.h"	"already-identical"	"1"	"vdd/samples/mscdex/vdd/vcdex.c"
"ntdddlc.h"	"O:\repos.external\OpenNT\public\ddk\inc\ntdddlc.h"	"a2fea077682752262c6ad78a1119aad6cb60f816cf14c8c68f05aa9e281d8077"	"source/opennt/public/ddk/inc/ntdddlc.h"	"already-identical"	"6"	"vdmredir/vrdisp.c"
"ntddkbd.h"	"O:\repos.external\OpenNT\public\ddk\inc\ntddkbd.h"	"f3bf258135d2853ebb77d6bc81e12499528c5b7efe1f58ead6f5c1315c5bf5c1"	"source/opennt/public/ddk/inc/ntddkbd.h"	"already-identical"	"2"	"softpc.new/host/src/nt_event.c"
"ntddser.h"	"O:\repos.external\OpenNT\public\ddk\inc\ntddser.h"	"707287adc6162093ebe5dd9608b6f4e528b4b94cb0e2caa0df930ecffd4d3b46"	"source/opennt/public/ddk/inc/ntddser.h"	"already-identical"	"3"	"softpc.new/host/src/nt_com.c"
"ntddtx.h"	"O:\repos.external\OpenNT\public\ddk\inc\ntddtx.h"	"4212a48255ab6e9bc68f06d95cee445d67b8d4a901a98c5d2a149002b3a0f9f7"	"source/opennt/public/ddk/inc/ntddtx.h"	"already-identical"	"1"	"sim32/sim32.c"
"ntddvdeo.h"	"O:\repos.external\OpenNT\public\ddk\inc\ntddvdeo.h"	"e81160b69920ee87d603fe593916994f8448a280b2a2adfefd34c190b1b3cb78"	"source/opennt/public/ddk/inc/ntddvdeo.h"	"already-identical"	"12"	"softpc.new/host/src/config.c"
"ntexapi.h"	"O:\repos.external\OpenNT\public\sdk\inc\ntexapi.h"	"d4bddfbf3eadd81cbf913a60108f1c7cb3362c6c51b042701bba43da6bb8e52a"	"source/opennt/public/sdk/inc/ntexapi.h"	"already-identical"	"2"	"softpc.new/host/src/nt_eoi.c"
"ntrtl.h"	"O:\repos.external\OpenNT\public\sdk\inc\ntrtl.h"	"2fc698d4e078abf7b18722f3e84712ab580bf22cf3362ba3ce9fb9486b1a7e98"	"source/opennt/public/sdk/inc/ntrtl.h"	"already-identical"	"69"	"bde/precomp.h"
"ntseapi.h"	"O:\repos.external\OpenNT\public\sdk\inc\ntseapi.h"	"c380bc1fc7fb57ae6e55834ac5bbe1621a847f36119ff5b771d536eb6a120b30"	"source/opennt/public/sdk/inc/ntseapi.h"	"already-identical"	"1"	"wow32/wkman.c"
"nturtl.h"	"O:\repos.external\OpenNT\public\sdk\inc\nturtl.h"	"c6b7844e2e1248ac38ee90dd8173f95ab0f7997d7a7cfbafda851cc07cc80921"	"source/opennt/public/sdk/inc/nturtl.h"	"already-identical"	"69"	"bde/precomp.h"
"pmvdm.h"	"O:\repos.external\OpenNT-4.5\nt\private\windows\inc\pmvdm.h"	"d9bc8a4e975f9d2bc1aef89d8e8854f2dc8ad8fac53b49d6f4998bccafd4afc8"	"source/opennt-4.5-private/windows/inc/pmvdm.h"	"already-identical"	"1"	"softpc.new/host/src/config.c"
"vddsvc.h"	"O:\repos.external\OpenNT\public\sdk\inc\vddsvc.h"	"70769da0455aa0b610ab046a4000bc108176dabeb8178ff8b649c41f7cd0897d"	"source/opennt/public/sdk/inc/vddsvc.h"	"already-identical"	"5"	"vdd/samples/adlibvdd/vdd.c"
"winddi.h"	"O:\repos.external\OpenNT\public\internal\windows\inc\winddi.h"	"f3ba4a33dbbb58768c2fb8aacc205a017f05d11521ad1650e39a998be5344f4a"	"source/opennt/public/internal/windows/inc/winddi.h"	"already-identical"	"3"	"fax/wowfax/wowfaxdd.h"
"winddiui.h"	"O:\repos.external\OpenNT\public\internal\printscan\inc\winddiui.h"	"9d84cbe81b902ac3bc93965f654fd07e9c4adc39783f695c4cd92f988d9d38ee"	"source/opennt/public/internal/printscan/inc/winddiui.h"	"already-identical"	"2"	"fax/wowfaxui/wfsheets.h"
"x11\x.h"	"O:\repos.external\OpenNT-4.5\nt\private\wangview\oiwh\jpeg1\x.h"	"93b912fbb85518e1be806e5c9fb74f22b53e1832c449f2feab864036128a8236"	"source/opennt-4.5-private/wangview/oiwh/jpeg1/x.h"	"already-identical"	"1"	"softpc.new/base/inc/host_msw.h"
"vdm.h"	"O:\repos.external\OpenNT\public\internal\base\inc\vdm.h"	"c614c03a004f974c1eef37f1b29d3a8e1d7cfc33d04e7e7304befcbd6faafd18"	"source/opennt/public/internal/base/inc/vdm.h"	"copied-byte-identical; T281-S1-selected"	"18"	"softpc.new/host/src/nt_bop.c"
