"file_id"	"source_path"	"package_root"	"file_kind"	"final_disposition"	"final_owner_or_link_boundary"	"final_change_class"	"named_adapter"	"mapping_implication"	"final_evidence"	"final_audit_state"
"MVDM-FILE-0001"	"bde/bde.def"	"bde"	"resource-or-other"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0002"	"bde/bde.h"	"bde"	"declaration"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0003"	"bde/bdecmds.c"	"bde"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0004"	"bde/bdeheap.c"	"bde"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0005"	"bde/bdemisc.c"	"bde"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0006"	"bde/bdestack.c"	"bde"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0007"	"bde/bdesym.c"	"bde"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0009"	"bde/data.c"	"bde"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0011"	"bde/makefile"	"bde"	"resource-or-other"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0012"	"bde/precomp.h"	"bde"	"declaration"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0013"	"bde/sources"	"bde"	"resource-or-other"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0015"	"dbg/makefile"	"dbg"	"resource-or-other"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0016"	"dbg/sources"	"dbg"	"resource-or-other"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0017"	"dirs"	"dirs"	"build-control"	"not-host-runtime"	"retained original build-control evidence; no final host link input"	"none; byte-exact source mirror retained"	"none"	"not applicable to the host runtime"	"T276 S11: original top-level build-control carrier, not a standalone runtime object"	"final-disposition-audited; not implemented"
"MVDM-FILE-0018"	"dos/command/cmd.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0019"	"dos/command/cmd.h"	"dos"	"declaration"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0021"	"dos/command/cmddata.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0022"	"dos/command/cmddisp.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0025"	"dos/command/cmdexit.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0026"	"dos/command/cmdkeyb.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0027"	"dos/command/cmdkeyb.h"	"dos"	"declaration"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0029"	"dos/command/cmdpif.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0030"	"dos/command/cmdpif.h"	"dos"	"declaration"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0031"	"dos/command/cmdredir.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
