"file_id"	"target_path"	"package_root"	"file_kind"	"original_build_membership"	"provisional_composition_disposition"	"source_role_and_reason"	"original_evidence"	"interface_state"	"final_state"
"MVDM-FILE-0017"	"dirs"	"dirs"	"build-control"	"not-a-translation-unit"	"build-control-carrier"	"original build-control input; no runtime translation unit"	"original build description only"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0186"	"inc/apistruc.h"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0187"	"inc/APISTRUC.INC"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0188"	"inc/bop.h"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0189"	"inc/BOP.INC"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0190"	"inc/cmdsvc.h"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0191"	"inc/CMDSVC.INC"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0192"	"inc/curdir.h"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0193"	"inc/CURDIR.INC"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0194"	"inc/dbgexp.h"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0195"	"inc/dbginfo.h"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0196"	"inc/dbgsvc.h"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0197"	"inc/DBGSVC.INC"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0198"	"inc/demexp.h"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0199"	"inc/dossvc.h"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0200"	"inc/DOSSVC.INC"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0201"	"inc/doswow.h"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0202"	"inc/DOSWOW.INC"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0203"	"inc/dpmi.h"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0204"	"inc/DPMI.INC"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0205"	"inc/enumapis.h"	"inc"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
