"file_id"	"source_path"	"original_literal_build_membership"	"original_role_group"	"required_boundary_owner"	"original_contract_summary"	"provisional_disposition"	"state"	"evidence"
"MVDM-FILE-1222"	"softpc.new/host/src/config.c"	"observed-in-literal-sources"	"adapter-win32-host-capability"	"adapter-win32"	"original host capability/NTDLL/Win32 source; preserve algorithm and error ordering while auditing public-modern binding shape"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/config.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1223"	"softpc.new/host/src/copy_fnc.c"	"observed-in-literal-sources"	"adapter-softpc-machine-facade"	"adapter-softpc; adapter-bochs"	"original CCPU/SAS/memory facade; same-shaped calls may bind to Bochs mechanics only through declared adapter boundary"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/copy_fnc.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1224"	"softpc.new/host/src/cpucstbs.c"	"observed-in-literal-sources"	"adapter-softpc-machine-facade"	"adapter-softpc; adapter-bochs"	"original CCPU/SAS/memory facade; same-shaped calls may bind to Bochs mechanics only through declared adapter boundary"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/cpucstbs.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1225"	"softpc.new/host/src/fprt.c"	"observed-in-literal-sources"	"adapter-win32-host-capability"	"adapter-win32"	"original host capability/NTDLL/Win32 source; preserve algorithm and error ordering while auditing public-modern binding shape"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/fprt.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1228"	"softpc.new/host/src/nt_aorc.c"	"not-observed-in-literal-sources"	"literal-build-unobserved-auxiliary"	"none until original build/profile evidence expands"	"not in the literal host/src SOURCES list; retain exact mirror and do not infer runtime reachability"	"profile/build-unobserved"	"provisional-not-enabled"	"softpc.new/host/src/nt_aorc.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1229"	"softpc.new/host/src/nt_bop.c"	"observed-in-literal-sources"	"opennt-bop-dispatch"	"adapter-bop; adapter-softpc; adapter-win32; specialist adapters"	"original BOP selector/host dispatch; preserve original routing shape, evaluate each reached historical boundary"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_bop.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1230"	"softpc.new/host/src/nt_cga.c"	"observed-in-literal-sources"	"machine-device-bridge-review"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"mixed original device bridge; determine Bochs-native replacement versus same-shaped host-device binding before enablement"	"device-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_cga.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1231"	"softpc.new/host/src/nt_com.c"	"observed-in-literal-sources"	"machine-device-bridge-review"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"mixed original device bridge; determine Bochs-native replacement versus same-shaped host-device binding before enablement"	"device-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_com.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1232"	"softpc.new/host/src/nt_cprgs.c"	"not-observed-in-literal-sources"	"literal-build-unobserved-auxiliary"	"none until original build/profile evidence expands"	"not in the literal host/src SOURCES list; retain exact mirror and do not infer runtime reachability"	"profile/build-unobserved"	"provisional-not-enabled"	"softpc.new/host/src/nt_cprgs.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1233"	"softpc.new/host/src/nt_cpu.c"	"observed-in-literal-sources"	"adapter-softpc-machine-facade"	"adapter-softpc; adapter-bochs"	"original CCPU/SAS/memory facade; same-shaped calls may bind to Bochs mechanics only through declared adapter boundary"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_cpu.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
