"file_id"	"source_path"	"original_role_group"	"lexical_call_count"	"lexical_unique_declaration_count"	"lexical_ambiguous_declaration_count"	"lexical_no_selected_extern_count"	"selected_definition_name_observed_count"	"external_boundary_candidate_count"	"interface_audit_state"	"evidence"
"MVDM-FILE-1222"	"softpc.new/host/src/config.c"	"adapter-win32-host-capability"	"159"	"0"	"0"	"159"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/config.c"
"MVDM-FILE-1223"	"softpc.new/host/src/copy_fnc.c"	"adapter-softpc-machine-facade"	"9"	"0"	"0"	"9"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/copy_fnc.c"
"MVDM-FILE-1224"	"softpc.new/host/src/cpucstbs.c"	"adapter-softpc-machine-facade"	"6"	"0"	"0"	"5"	"0"	"1"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/cpucstbs.c"
"MVDM-FILE-1225"	"softpc.new/host/src/fprt.c"	"adapter-win32-host-capability"	"52"	"0"	"0"	"48"	"3"	"1"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/fprt.c"
"MVDM-FILE-1228"	"softpc.new/host/src/nt_aorc.c"	"literal-build-unobserved-auxiliary"	"295"	"0"	"0"	"110"	"17"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_aorc.c"
"MVDM-FILE-1229"	"softpc.new/host/src/nt_bop.c"	"opennt-bop-dispatch"	"221"	"0"	"0"	"135"	"21"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_bop.c"
"MVDM-FILE-1230"	"softpc.new/host/src/nt_cga.c"	"machine-device-bridge-review"	"184"	"0"	"0"	"166"	"18"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_cga.c"
"MVDM-FILE-1231"	"softpc.new/host/src/nt_com.c"	"machine-device-bridge-review"	"390"	"0"	"0"	"351"	"33"	"3"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_com.c"
"MVDM-FILE-1232"	"softpc.new/host/src/nt_cprgs.c"	"literal-build-unobserved-auxiliary"	"583"	"0"	"0"	"552"	"2"	"10"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_cprgs.c"
"MVDM-FILE-1233"	"softpc.new/host/src/nt_cpu.c"	"adapter-softpc-machine-facade"	"64"	"0"	"0"	"36"	"9"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_cpu.c"
"MVDM-FILE-1234"	"softpc.new/host/src/nt_det.c"	"machine-device-bridge-review"	"262"	"0"	"0"	"200"	"62"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_det.c"
"MVDM-FILE-1235"	"softpc.new/host/src/nt_ega.c"	"machine-device-bridge-review"	"293"	"0"	"0"	"262"	"31"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_ega.c"
"MVDM-FILE-1236"	"softpc.new/host/src/nt_emm.c"	"adapter-softpc-machine-facade"	"118"	"0"	"0"	"113"	"5"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_emm.c"
