"file_id"	"target_path"	"file_kind"	"original_build_membership"	"original_subpackage_role"	"final_component_owner"	"provisional_composition_disposition"	"source_derived_reason"	"state"	"evidence"
"MVDM-FILE-0302"	"softpc.new/base/bios/bios.c"	"source"	"observed-in-literal-sources"	"historical-machine-firmware"	"opennt-mvdm-host"	"adapter-bochs-firmware-review"	"firmware/machine source; later evaluate only as an adapter-bochs firmware input, never as a parallel machine implementation"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0303"	"softpc.new/base/bios/bootstra.c"	"source"	"not-observed-in-literal-sources"	"historical-machine-firmware"	"opennt-mvdm-host"	"adapter-bochs-firmware-review"	"firmware/machine source; later evaluate only as an adapter-bochs firmware input, never as a parallel machine implementation"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0304"	"softpc.new/base/bios/build_id.c"	"source"	"observed-in-literal-sources"	"historical-machine-firmware"	"opennt-mvdm-host"	"adapter-bochs-firmware-review"	"firmware/machine source; later evaluate only as an adapter-bochs firmware input, never as a parallel machine implementation"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0305"	"softpc.new/base/bios/cmos_bis.c"	"source"	"observed-in-literal-sources"	"historical-machine-firmware"	"opennt-mvdm-host"	"adapter-bochs-firmware-review"	"firmware/machine source; later evaluate only as an adapter-bochs firmware input, never as a parallel machine implementation"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0306"	"softpc.new/base/bios/cntlbop.c"	"source"	"observed-in-literal-sources"	"historical-machine-firmware"	"opennt-mvdm-host"	"adapter-bochs-firmware-review"	"firmware/machine source; later evaluate only as an adapter-bochs firmware input, never as a parallel machine implementation"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0307"	"softpc.new/base/bios/emm_fncs.c"	"source"	"observed-in-literal-sources"	"historical-machine-firmware"	"opennt-mvdm-host"	"adapter-bochs-firmware-review"	"firmware/machine source; later evaluate only as an adapter-bochs firmware input, never as a parallel machine implementation"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0308"	"softpc.new/base/bios/equipmnt.c"	"source"	"observed-in-literal-sources"	"historical-machine-firmware"	"opennt-mvdm-host"	"adapter-bochs-firmware-review"	"firmware/machine source; later evaluate only as an adapter-bochs firmware input, never as a parallel machine implementation"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0309"	"softpc.new/base/bios/ill_bop.c"	"source"	"observed-in-literal-sources"	"historical-machine-firmware"	"opennt-mvdm-host"	"adapter-bochs-firmware-review"	"firmware/machine source; later evaluate only as an adapter-bochs firmware input, never as a parallel machine implementation"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0310"	"softpc.new/base/bios/makefile"	"resource-or-other"	"not-a-translation-unit"	"historical-machine-firmware"	"opennt-mvdm-host"	"adapter-bochs-firmware-review"	"firmware/machine source; later evaluate only as an adapter-bochs firmware input, never as a parallel machine implementation"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0311"	"softpc.new/base/bios/mem_size.c"	"source"	"observed-in-literal-sources"	"historical-machine-firmware"	"opennt-mvdm-host"	"adapter-bochs-firmware-review"	"firmware/machine source; later evaluate only as an adapter-bochs firmware input, never as a parallel machine implementation"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0312"	"softpc.new/base/bios/reset.c"	"source"	"observed-in-literal-sources"	"historical-machine-firmware"	"opennt-mvdm-host"	"adapter-bochs-firmware-review"	"firmware/machine source; later evaluate only as an adapter-bochs firmware input, never as a parallel machine implementation"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0313"	"softpc.new/base/bios/rom_basc.c"	"source"	"observed-in-literal-sources"	"historical-machine-firmware"	"opennt-mvdm-host"	"adapter-bochs-firmware-review"	"firmware/machine source; later evaluate only as an adapter-bochs firmware input, never as a parallel machine implementation"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0314"	"softpc.new/base/bios/rtc_bios.c"	"source"	"observed-in-literal-sources"	"historical-machine-firmware"	"opennt-mvdm-host"	"adapter-bochs-firmware-review"	"firmware/machine source; later evaluate only as an adapter-bochs firmware input, never as a parallel machine implementation"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0315"	"softpc.new/base/bios/slave_bs.c"	"source"	"observed-in-literal-sources"	"historical-machine-firmware"	"opennt-mvdm-host"	"adapter-bochs-firmware-review"	"firmware/machine source; later evaluate only as an adapter-bochs firmware input, never as a parallel machine implementation"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
