"file_id"	"source_path"	"file_kind"	"original_build_membership"	"original_role_group"	"provisional_component_owner"	"required_boundary_owner"	"lexical_external_families"	"original_contract_summary"	"provisional_disposition"	"state"	"evidence"
"MVDM-FILE-1675"	"xms.486/alpha/sources"	"resource-or-other"	"not-a-translation-unit"	"original-build-description"	"opennt-mvdm-support"	"opennt-mvdm-support; build governance"	"none (non-code metadata)"	"original architecture/build selection evidence only; no modern build edge"	"build-description-only"	"provisional-not-enabled"	"xms.486/alpha/sources; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1676"	"xms.486/i386/sources"	"resource-or-other"	"not-a-translation-unit"	"original-build-description"	"opennt-mvdm-support"	"opennt-mvdm-support; build governance"	"none (non-code metadata)"	"original architecture/build selection evidence only; no modern build edge"	"build-description-only"	"provisional-not-enabled"	"xms.486/i386/sources; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1677"	"xms.486/i386/xmsmem86.c"	"source"	"observed-in-original-i386-sources"	"xms-i386-direct-address-memory-routine"	"opennt-mvdm-host"	"adapter-softpc; adapter-bochs"	"adapter-win32 (historical virtual-memory lexical surface); opennt-mvdm-support (suballoc lexical surface)"	"historical x86 routine passes ULONG values as direct host addresses to NT virtual memory and RtlMoveMemory; preserve as mirror evidence but do not expose that representation on x64"	"architecture-specific direct-pointer exclusion"	"provisional-not-enabled"	"xms.486/i386/xmsmem86.c; ; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1678"	"xms.486/makefile"	"resource-or-other"	"not-a-translation-unit"	"original-build-description"	"opennt-mvdm-support"	"opennt-mvdm-support; build governance"	"none (non-code metadata)"	"original architecture/build selection evidence only; no modern build edge"	"build-description-only"	"provisional-not-enabled"	"xms.486/makefile; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1679"	"xms.486/mips/sources"	"resource-or-other"	"not-a-translation-unit"	"original-build-description"	"opennt-mvdm-support"	"opennt-mvdm-support; build governance"	"none (non-code metadata)"	"original architecture/build selection evidence only; no modern build edge"	"build-description-only"	"provisional-not-enabled"	"xms.486/mips/sources; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1680"	"xms.486/ppc/sources"	"resource-or-other"	"not-a-translation-unit"	"original-build-description"	"opennt-mvdm-support"	"opennt-mvdm-support; build governance"	"none (non-code metadata)"	"original architecture/build selection evidence only; no modern build edge"	"build-description-only"	"provisional-not-enabled"	"xms.486/ppc/sources; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1681"	"xms.486/sources"	"resource-or-other"	"not-a-translation-unit"	"original-build-description"	"opennt-mvdm-support"	"opennt-mvdm-support; build governance"	"none (non-code metadata)"	"original architecture/build selection evidence only; no modern build edge"	"build-description-only"	"provisional-not-enabled"	"xms.486/sources; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1682"	"xms.486/xms.c"	"source"	"observed-in-literal-sources"	"xms-initialization-and-extended-memory-range"	"opennt-mvdm-host"	"adapter-softpc; adapter-bochs; session; opennt-mvdm-support"	"adapter-win32 (historical virtual-memory lexical surface); session (VDM state/lifecycle lexical surface); opennt-mvdm-support (suballoc lexical surface); adapter-softpc/adapter-bochs (UMB machine-range lexical surface)"	"original XMS initialization and suballocator arrangement; extended memory must be a bounded Bochs-owned guest range, never a host pointer"	"package-led machine-seam review"	"provisional-not-enabled"	"xms.486/xms.c; MVDM-BUILD-0127; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1683"	"xms.486/xms.h"	"declaration"	"not-a-translation-unit"	"xms-public-declaration"	"opennt-mvdm-host"	"opennt-mvdm-host; adapter-bop; adapter-softpc; session; opennt-mvdm-support"	"adapter-bop (XMS service ABI lexical surface); adapter-softpc (SoftPC/SAS/guest-state lexical surface); opennt-mvdm-support (suballoc lexical surface); adapter-softpc/adapter-bochs (UMB machine-range lexical surface)"	"original XMS data and external declaration surface; preserve exact shape before any provider binding"	"declaration-only"	"provisional-not-enabled"	"xms.486/xms.h; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1684"	"xms.486/xmsa20.c"	"source"	"observed-in-literal-sources"	"xms-a20-service"	"opennt-mvdm-host"	"adapter-softpc; adapter-bochs; session"	"adapter-bop (XMS service ABI lexical surface); adapter-softpc (SoftPC/SAS/guest-state lexical surface)"	"original A20 request/query control flow and results; same-shaped A20 facade owns the only machine transition"	"package-led machine-seam review"	"provisional-not-enabled"	"xms.486/xmsa20.c; MVDM-BUILD-0127; m0-t276-s2-translation-unit-build-ledger.tsv"
