"build_description_id"	"package_root"	"build_control_path"	"input_kind"	"target_name"	"target_type"	"includes_raw"	"sources_raw"	"declared_source_count"	"selected_source_file_ids"	"parser_state"	"evidence"
"MVDM-BUILD-0001"	"bde"	"bde/makefile"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"bde/makefile"
"MVDM-BUILD-0002"	"bde"	"bde/sources"	"original-nt-sources"	"bde"	"DYNLINK"	"..\inc;..\..\inc;..\..\windows\inc"	"bdecmds.c  bdeheap.c  bdemisc.c  bdestack.c  bdesym.c  bdeutil.c  data.c  disasm.c"	"8"	"MVDM-FILE-0003;MVDM-FILE-0004;MVDM-FILE-0005;MVDM-FILE-0006;MVDM-FILE-0007;MVDM-FILE-0008;MVDM-FILE-0009;MVDM-FILE-0010"	"literal-macro-unexpanded"	"bde/sources"
"MVDM-BUILD-0003"	"dbg"	"dbg/makefile"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"dbg/makefile"
"MVDM-BUILD-0004"	"dbg"	"dbg/sources"	"original-nt-sources"	"dbg"	"LIBRARY"	"..\inc"	"dbg.c"	"1"	"MVDM-FILE-0014"	"literal-macro-unexpanded"	"dbg/sources"
"MVDM-BUILD-0005"	"dirs"	"dirs"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"dirs"
"MVDM-BUILD-0006"	"dos"	"dos/command/makefile"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"dos/command/makefile"
"MVDM-BUILD-0007"	"dos"	"dos/command/sources"	"original-nt-sources"	"command"	"LIBRARY"	"..\..\inc;..\..\..\windows\inc;$(SOFTPC_TREE)\base\inc;$(SOFTPC_TREE)\host\inc"	"cmd.c	    cmddata.c   cmddisp.c   cmdexec.c   cmdexit.c   cmdmisc.c   cmdpif.c    cmdredir.c  cmdconf.c   cmdkeyb.c   cmdenv.c"	"11"	"MVDM-FILE-0018;MVDM-FILE-0021;MVDM-FILE-0022;MVDM-FILE-0024;MVDM-FILE-0025;MVDM-FILE-0028;MVDM-FILE-0029;MVDM-FILE-0031;MVDM-FILE-0020;MVDM-FILE-0026;MVDM-FILE-0023"	"literal-macro-unexpanded"	"dos/command/sources"
"MVDM-BUILD-0008"	"dos"	"dos/dem/makefile"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"dos/dem/makefile"
"MVDM-BUILD-0009"	"dos"	"dos/dem/sources"	"original-nt-sources"	"dem"	"LIBRARY"	"..\..\inc;..\..\..\windows\inc;..\..\..\inc;$(SOFTPC_TREE)\base\inc;$(SOFTPC_TREE)\host\inc;..\..\vdd\h"	"dem.c        demfcb.c     demdata.c    demdir.c     demdisp.c    demerror.c   demfile.c    demgset.c    demhndl.c    demioctl.c	 demlock.c	 demmisc.c    demmsg.c     demsrch.c	 demdasd.c	 demlabel.c"	"16"	"MVDM-FILE-0034;MVDM-FILE-0042;MVDM-FILE-0038;MVDM-FILE-0039;MVDM-FILE-0040;MVDM-FILE-0041;MVDM-FILE-0043;MVDM-FILE-0044;MVDM-FILE-0045;MVDM-FILE-0046;MVDM-FILE-0048;MVDM-FILE-0049;MVDM-FILE-0050;MVDM-FILE-0052;MVDM-FILE-0036;MVDM-FILE-0047"	"literal-macro-unexpanded"	"dos/dem/sources"
"MVDM-BUILD-0010"	"dos"	"dos/dirs"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"dos/dirs"
"MVDM-BUILD-0011"	"dpmi"	"dpmi/makefile"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"dpmi/makefile"
"MVDM-BUILD-0012"	"dpmi32"	"dpmi32/makefile"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"dpmi32/makefile"
"MVDM-BUILD-0013"	"dpmi32"	"dpmi32/sources"	"original-nt-sources"	"dpmi32"	"LIBRARY"	"..\inc;..\..\inc"	"debug.c      dpmi32.c  dpmiint.c  dpmiselr.c  buffer.c     data.c          int21map.c   modesw.c     register.c      savestat.c      stack.c      vxd.c        xmem.c"	"13"	"MVDM-FILE-0119;MVDM-FILE-0120;MVDM-FILE-0123;MVDM-FILE-0127;MVDM-FILE-0117;MVDM-FILE-0118;MVDM-FILE-0131;MVDM-FILE-0133;MVDM-FILE-0135;MVDM-FILE-0136;MVDM-FILE-0138;MVDM-FILE-0139;MVDM-FILE-0141"	"literal-macro-unexpanded"	"dpmi32/sources"
"MVDM-BUILD-0014"	"fax"	"fax/dirs"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"fax/dirs"
"MVDM-BUILD-0015"	"fax"	"fax/wowfax/makefile"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"fax/wowfax/makefile"
"MVDM-BUILD-0016"	"fax"	"fax/wowfax/sources"	"original-nt-sources"	"wowfax"	"GDI_DRIVER"	"..\;..\..\inc;$(GDIDIR)\inc;..\..\..\windows\inc"	"wowfax.c  wowfax.rc"	"1"	"MVDM-FILE-0149"	"literal-macro-unexpanded"	"fax/wowfax/sources"
"MVDM-BUILD-0017"	"fax"	"fax/wowfaxui/makefile"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"fax/wowfaxui/makefile"
"MVDM-BUILD-0018"	"fax"	"fax/wowfaxui/sources"	"original-nt-sources"	"wowfaxui"	"DYNLINK"	"..;..\wowfax;..\..\inc;$(GDIDIR)\inc;..\..\..\windows\inc;$(PRINTERS)\lib"	"wfhelper.c   wfsheets.c   wfupgrad.c   wowfaxui.c   wowfaxui.rc"	"4"	"MVDM-FILE-0155;MVDM-FILE-0156;MVDM-FILE-0158;MVDM-FILE-0159"	"literal-macro-unexpanded"	"fax/wowfaxui/sources"
"MVDM-BUILD-0019"	"ieuvddex"	"ieuvddex/alpha/sources"	"original-nt-sources"	""	""	""	""	"0"	""	"literal-macro-unexpanded"	"ieuvddex/alpha/sources"
"MVDM-BUILD-0020"	"ieuvddex"	"ieuvddex/i386/sources"	"original-nt-sources"	""	""	""	""	"0"	""	"literal-macro-unexpanded"	"ieuvddex/i386/sources"
"MVDM-BUILD-0021"	"ieuvddex"	"ieuvddex/makefile"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"ieuvddex/makefile"
"MVDM-BUILD-0022"	"ieuvddex"	"ieuvddex/mips/sources"	"original-nt-sources"	""	""	""	""	"0"	""	"literal-macro-unexpanded"	"ieuvddex/mips/sources"
"MVDM-BUILD-0023"	"ieuvddex"	"ieuvddex/ppc/sources"	"original-nt-sources"	""	""	""	""	"0"	""	"literal-macro-unexpanded"	"ieuvddex/ppc/sources"
"MVDM-BUILD-0024"	"ieuvddex"	"ieuvddex/sources"	"original-nt-sources"	"ntvdm"	"DYNLINK"	"..\inc;..\..\inc"	"data.c             help.c             pmode.c            procdep.c          system.c           trace.c            vdmdll.rc"	"6"	"MVDM-FILE-0165;MVDM-FILE-0166;MVDM-FILE-0178;MVDM-FILE-0181;MVDM-FILE-0183;MVDM-FILE-0184"	"literal-macro-unexpanded"	"ieuvddex/sources"
"MVDM-BUILD-0025"	"inc"	"inc/makefile"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"inc/makefile"
"MVDM-BUILD-0026"	"makefil0"	"makefil0"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"makefil0"
"MVDM-BUILD-0027"	"oemuni"	"oemuni/makefile"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"oemuni/makefile"
"MVDM-BUILD-0028"	"oemuni"	"oemuni/sources"	"original-nt-sources"	"oemuni"	"LIBRARY"	".;..\inc;..\..\windows\inc"	"file.c  process.c"	"2"	"MVDM-FILE-0283;MVDM-FILE-0286"	"literal-macro-unexpanded"	"oemuni/sources"
"MVDM-BUILD-0029"	"sim16"	"sim16/makefile"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"sim16/makefile"
"MVDM-BUILD-0030"	"sim32"	"sim32/makefile"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"sim32/makefile"
"MVDM-BUILD-0031"	"sim32"	"sim32/sources"	"original-nt-sources"	"sim32"	"LIBRARY"	".\;"	"#------------------------------------------------"	"0"	""	"literal-macro-unexpanded"	"sim32/sources"
"MVDM-BUILD-0032"	"softpc.new"	"softpc.new/base/bios/makefile"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"softpc.new/base/bios/makefile"
"MVDM-BUILD-0033"	"softpc.new"	"softpc.new/base/bios/sources"	"original-nt-sources"	"bios"	"LIBRARY"	"$(SOFTPC_TREE)\host\inc;$(SOFTPC_TREE)\base\inc;$(BASEDIR)\private\inc"	"bios.c         cmos_bis.c     cntlbop.c      emm_fncs.c     reset.c        rom_basc.c     rtc_bios.c     slave_bs.c     tape_io.c      equipmnt.c     ill_bop.c      build_id.c     virtual.c      mem_size.c"	"14"	"MVDM-FILE-0302;MVDM-FILE-0305;MVDM-FILE-0306;MVDM-FILE-0307;MVDM-FILE-0312;MVDM-FILE-0313;MVDM-FILE-0314;MVDM-FILE-0315;MVDM-FILE-0317;MVDM-FILE-0308;MVDM-FILE-0309;MVDM-FILE-0304;MVDM-FILE-0318;MVDM-FILE-0311"	"literal-macro-unexpanded"	"softpc.new/base/bios/sources"
"MVDM-BUILD-0034"	"softpc.new"	"softpc.new/base/ccpu386/makefile"	"non-sources-build-control"	""	""	""	""	"0"	""	"recorded-not-parsed-as-nt-sources"	"softpc.new/base/ccpu386/makefile"
