"file_id"	"target_path"	"package_root"	"original_build_description_ids"	"original_build_membership"	"build_state"	"evidence"
"MVDM-FILE-0003"	"bde/bdecmds.c"	"bde"	"MVDM-BUILD-0002"	"observed-in-literal-sources"	"unreviewed"	"m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-FILE-0004"	"bde/bdeheap.c"	"bde"	"MVDM-BUILD-0002"	"observed-in-literal-sources"	"unreviewed"	"m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-FILE-0005"	"bde/bdemisc.c"	"bde"	"MVDM-BUILD-0002"	"observed-in-literal-sources"	"unreviewed"	"m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-FILE-0006"	"bde/bdestack.c"	"bde"	"MVDM-BUILD-0002"	"observed-in-literal-sources"	"unreviewed"	"m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-FILE-0007"	"bde/bdesym.c"	"bde"	"MVDM-BUILD-0002"	"observed-in-literal-sources"	"unreviewed"	"m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"MVDM-BUILD-0002"	"observed-in-literal-sources"	"unreviewed"	"m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-FILE-0009"	"bde/data.c"	"bde"	"MVDM-BUILD-0002"	"observed-in-literal-sources"	"unreviewed"	"m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"MVDM-BUILD-0002"	"observed-in-literal-sources"	"unreviewed"	"m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"MVDM-BUILD-0004"	"observed-in-literal-sources"	"unreviewed"	"m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-FILE-0018"	"dos/command/cmd.c"	"dos"	"MVDM-BUILD-0007"	"observed-in-literal-sources"	"unreviewed"	"m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"MVDM-BUILD-0007"	"observed-in-literal-sources"	"unreviewed"	"m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-FILE-0021"	"dos/command/cmddata.c"	"dos"	"MVDM-BUILD-0007"	"observed-in-literal-sources"	"unreviewed"	"m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-FILE-0022"	"dos/command/cmddisp.c"	"dos"	"MVDM-BUILD-0007"	"observed-in-literal-sources"	"unreviewed"	"m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"MVDM-BUILD-0007"	"observed-in-literal-sources"	"unreviewed"	"m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"MVDM-BUILD-0007"	"observed-in-literal-sources"	"unreviewed"	"m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-FILE-0025"	"dos/command/cmdexit.c"	"dos"	"MVDM-BUILD-0007"	"observed-in-literal-sources"	"unreviewed"	"m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-FILE-0026"	"dos/command/cmdkeyb.c"	"dos"	"MVDM-BUILD-0007"	"observed-in-literal-sources"	"unreviewed"	"m0-t276-s2-original-build-description-ledger.tsv"
