"file_id"	"source_path"	"file_kind"	"original_role_group"	"provisional_component_owner"	"required_boundary_owner"	"lexical_external_families"	"original_contract_summary"	"provisional_disposition"	"state"	"evidence"
"MVDM-FILE-0117"	"dpmi32/buffer.c"	"source"	"historical-x86-dpmi32-provider-body"	"opennt-mvdm-host"	"adapter-softpc; adapter-vdm-monitor; adapter-bop; adapter-bochs; session guest-memory mapping manager"	"DPMI BOP; VDM_TIB/context; SoftPC/SAS; LDT/exception/interrupt; checked guest-memory mapping"	"selected by original LINKED_INTO_MONITOR library build; retains DPMI BOP dispatch, LDT/exception/interrupt/memory and DOS transition logic; every guest address must use a bounded mapping-manager lease or copy, never raw host PVOID"	"x86 host-provider package prerequisite; no body enabled"	"provisional-not-enabled"	"dpmi32/buffer.c; dpmi32/sources; dpmi32/precomp.h"
"MVDM-FILE-0118"	"dpmi32/data.c"	"source"	"historical-x86-dpmi32-provider-body"	"opennt-mvdm-host"	"adapter-softpc; adapter-vdm-monitor; adapter-bop; adapter-bochs; session guest-memory mapping manager"	"DPMI BOP; VDM_TIB/context; SoftPC/SAS; LDT/exception/interrupt; checked guest-memory mapping"	"selected by original LINKED_INTO_MONITOR library build; retains DPMI BOP dispatch, LDT/exception/interrupt/memory and DOS transition logic; every guest address must use a bounded mapping-manager lease or copy, never raw host PVOID"	"x86 host-provider package prerequisite; no body enabled"	"provisional-not-enabled"	"dpmi32/data.c; dpmi32/sources; dpmi32/precomp.h"
"MVDM-FILE-0119"	"dpmi32/debug.c"	"source"	"historical-x86-dpmi32-provider-body"	"opennt-mvdm-host"	"adapter-softpc; adapter-vdm-monitor; adapter-bop; adapter-bochs; session guest-memory mapping manager"	"DPMI BOP; VDM_TIB/context; SoftPC/SAS; LDT/exception/interrupt; checked guest-memory mapping"	"selected by original LINKED_INTO_MONITOR library build; retains DPMI BOP dispatch, LDT/exception/interrupt/memory and DOS transition logic; every guest address must use a bounded mapping-manager lease or copy, never raw host PVOID"	"x86 host-provider package prerequisite; no body enabled"	"provisional-not-enabled"	"dpmi32/debug.c; dpmi32/sources; dpmi32/precomp.h"
"MVDM-FILE-0120"	"dpmi32/dpmi32.c"	"source"	"historical-x86-dpmi32-provider-body"	"opennt-mvdm-host"	"adapter-softpc; adapter-vdm-monitor; adapter-bop; adapter-bochs; session guest-memory mapping manager"	"DPMI BOP; VDM_TIB/context; SoftPC/SAS; LDT/exception/interrupt; checked guest-memory mapping"	"selected by original LINKED_INTO_MONITOR library build; retains DPMI BOP dispatch, LDT/exception/interrupt/memory and DOS transition logic; every guest address must use a bounded mapping-manager lease or copy, never raw host PVOID"	"x86 host-provider package prerequisite; no body enabled"	"provisional-not-enabled"	"dpmi32/dpmi32.c; dpmi32/sources; dpmi32/precomp.h"
"MVDM-FILE-0121"	"dpmi32/dpmi32p.h"	"declaration"	"historical-dpmi32-private-declaration"	"opennt-mvdm-host"	"adapter-softpc; adapter-vdm-monitor; adapter-bop; adapter-bochs; session guest-memory mapping manager"	"DPMI BOP; VDM_TIB/context; SoftPC/SAS; LDT/exception/interrupt; checked guest-memory mapping"	"original DPMI32 data layout, callback and translation macro evidence; later binding may alter only pointer transport through the mapping manager"	"declaration and same-shaped facade prerequisite"	"provisional-not-enabled"	"dpmi32/dpmi32p.h; dpmi32/sources; dpmi32/precomp.h"
"MVDM-FILE-0122"	"dpmi32/dpmidata.h"	"declaration"	"historical-dpmi32-private-declaration"	"opennt-mvdm-host"	"adapter-softpc; adapter-vdm-monitor; adapter-bop; adapter-bochs; session guest-memory mapping manager"	"DPMI BOP; VDM_TIB/context; SoftPC/SAS; LDT/exception/interrupt; checked guest-memory mapping"	"original DPMI32 data layout, callback and translation macro evidence; later binding may alter only pointer transport through the mapping manager"	"declaration and same-shaped facade prerequisite"	"provisional-not-enabled"	"dpmi32/dpmidata.h; dpmi32/sources; dpmi32/precomp.h"
"MVDM-FILE-0123"	"dpmi32/dpmiint.c"	"source"	"historical-x86-dpmi32-provider-body"	"opennt-mvdm-host"	"adapter-softpc; adapter-vdm-monitor; adapter-bop; adapter-bochs; session guest-memory mapping manager"	"DPMI BOP; VDM_TIB/context; SoftPC/SAS; LDT/exception/interrupt; checked guest-memory mapping"	"selected by original LINKED_INTO_MONITOR library build; retains DPMI BOP dispatch, LDT/exception/interrupt/memory and DOS transition logic; every guest address must use a bounded mapping-manager lease or copy, never raw host PVOID"	"x86 host-provider package prerequisite; no body enabled"	"provisional-not-enabled"	"dpmi32/dpmiint.c; dpmi32/sources; dpmi32/precomp.h"
"MVDM-FILE-0124"	"dpmi32/dpmiint.h"	"declaration"	"historical-dpmi32-private-declaration"	"opennt-mvdm-host"	"adapter-softpc; adapter-vdm-monitor; adapter-bop; adapter-bochs; session guest-memory mapping manager"	"DPMI BOP; VDM_TIB/context; SoftPC/SAS; LDT/exception/interrupt; checked guest-memory mapping"	"original DPMI32 data layout, callback and translation macro evidence; later binding may alter only pointer transport through the mapping manager"	"declaration and same-shaped facade prerequisite"	"provisional-not-enabled"	"dpmi32/dpmiint.h; dpmi32/sources; dpmi32/precomp.h"
"MVDM-FILE-0125"	"dpmi32/dpmimemr.c"	"source"	"historical-risc-dpmi32-provider-body"	"opennt-mvdm-host"	"adapter-softpc; adapter-vdm-monitor; adapter-bop; adapter-bochs; session guest-memory mapping manager"	"DPMI BOP; VDM_TIB/context; SoftPC/SAS; LDT/exception/interrupt; checked guest-memory mapping"	"original MIPS/PPC/Alpha provider alternative; retain source and failure-form evidence but exclude from x86/x64 recovery profile"	"non-x86 profile exclusion; source evidence only"	"provisional-not-enabled"	"dpmi32/dpmimemr.c; dpmi32/sources; dpmi32/precomp.h"
"MVDM-FILE-0126"	"dpmi32/dpmimscr.c"	"source"	"historical-risc-dpmi32-provider-body"	"opennt-mvdm-host"	"adapter-softpc; adapter-vdm-monitor; adapter-bop; adapter-bochs; session guest-memory mapping manager"	"DPMI BOP; VDM_TIB/context; SoftPC/SAS; LDT/exception/interrupt; checked guest-memory mapping"	"original MIPS/PPC/Alpha provider alternative; retain source and failure-form evidence but exclude from x86/x64 recovery profile"	"non-x86 profile exclusion; source evidence only"	"provisional-not-enabled"	"dpmi32/dpmimscr.c; dpmi32/sources; dpmi32/precomp.h"
