"file_id"	"source_path"	"file_kind"	"original_role_group"	"provisional_component_owner"	"required_boundary_owner"	"original_contract_summary"	"provisional_disposition"	"state"	"evidence"
"MVDM-FILE-1474"	"wow32/debug.c"	"source"	"historical-wow32-unselected-source"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"not selected by active original WOW32 sources configuration"	"unselected source evidence only"	"provisional-not-enabled"	"wow32/debug.c; wow32/sources (condition-aware)"
"MVDM-FILE-1475"	"wow32/fastwow.h"	"declaration"	"historical-wow32-declaration-or-table"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"original WOW32 ABI/table/layout evidence"	"declaration/table recovery prerequisite"	"provisional-not-enabled"	"wow32/fastwow.h; wow32/sources (condition-aware)"
"MVDM-FILE-1476"	"wow32/i386/callpr32.asm"	"source"	"historical-wow32-unselected-source"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"not selected by active original WOW32 sources configuration"	"unselected source evidence only"	"provisional-not-enabled"	"wow32/i386/callpr32.asm; wow32/sources (condition-aware)"
"MVDM-FILE-1477"	"wow32/i386/fastwow.asm"	"source"	"historical-wow32-unselected-source"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"not selected by active original WOW32 sources configuration"	"unselected source evidence only"	"provisional-not-enabled"	"wow32/i386/fastwow.asm; wow32/sources (condition-aware)"
"MVDM-FILE-1478"	"wow32/i386/sources"	"resource-or-other"	"historical-wow32-build-or-resource-input"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"original WOW32 DLL build, export, profile or resource input"	"build/resource evidence only"	"provisional-not-enabled"	"wow32/i386/sources; wow32/sources (condition-aware)"
"MVDM-FILE-1479"	"wow32/isvwow.h"	"declaration"	"historical-wow32-declaration-or-table"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"original WOW32 ABI/table/layout evidence"	"declaration/table recovery prerequisite"	"provisional-not-enabled"	"wow32/isvwow.h; wow32/sources (condition-aware)"
"MVDM-FILE-1480"	"wow32/isz.h"	"declaration"	"historical-wow32-declaration-or-table"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"original WOW32 ABI/table/layout evidence"	"declaration/table recovery prerequisite"	"provisional-not-enabled"	"wow32/isz.h; wow32/sources (condition-aware)"
"MVDM-FILE-1481"	"wow32/makefile"	"resource-or-other"	"historical-wow32-build-or-resource-input"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"original WOW32 DLL build, export, profile or resource input"	"build/resource evidence only"	"provisional-not-enabled"	"wow32/makefile; wow32/sources (condition-aware)"
"MVDM-FILE-1482"	"wow32/makefile.inc"	"declaration"	"historical-wow32-declaration-or-table"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"original WOW32 ABI/table/layout evidence"	"declaration/table recovery prerequisite"	"provisional-not-enabled"	"wow32/makefile.inc; wow32/sources (condition-aware)"
"MVDM-FILE-1483"	"wow32/mapembed.c"	"source"	"historical-wow32-active-provider-body"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"selected by original WOW32 DLL build; preserve original user/gdi/thunk/provider control flow as one package"	"WOW owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"wow32/mapembed.c; wow32/sources (condition-aware)"
"MVDM-FILE-1484"	"wow32/mapembed.h"	"declaration"	"historical-wow32-declaration-or-table"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"original WOW32 ABI/table/layout evidence"	"declaration/table recovery prerequisite"	"provisional-not-enabled"	"wow32/mapembed.h; wow32/sources (condition-aware)"
"MVDM-FILE-1485"	"wow32/precomp.h"	"declaration"	"historical-wow32-declaration-or-table"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"original WOW32 ABI/table/layout evidence"	"declaration/table recovery prerequisite"	"provisional-not-enabled"	"wow32/precomp.h; wow32/sources (condition-aware)"
"MVDM-FILE-1486"	"wow32/sources"	"resource-or-other"	"historical-wow32-build-or-resource-input"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"original WOW32 DLL build, export, profile or resource input"	"build/resource evidence only"	"provisional-not-enabled"	"wow32/sources; wow32/sources (condition-aware)"
"MVDM-FILE-1487"	"wow32/sz.src"	"resource-or-other"	"historical-wow32-build-or-resource-input"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"original WOW32 DLL build, export, profile or resource input"	"build/resource evidence only"	"provisional-not-enabled"	"wow32/sz.src; wow32/sources (condition-aware)"
"MVDM-FILE-1488"	"wow32/thunkdll.txt"	"resource-or-other"	"historical-wow32-build-or-resource-input"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; adapter-softpc; adapter-vdm-monitor; session"	"original WOW32 DLL build, export, profile or resource input"	"build/resource evidence only"	"provisional-not-enabled"	"wow32/thunkdll.txt; wow32/sources (condition-aware)"
