"disposition_id"	"call_id"	"caller_path"	"caller_package"	"caller_line"	"lexical_callee"	"declaration_id"	"declaration_path"	"declaration_package"	"disposition"	"selected_definition_ids"	"owner"	"recovery_state"	"evidence"
"MVDM-BOUNDARY-00001"	"MVDM-CALL-000693"	"bde/disasm.c"	"bde"	"215"	"int"	"MVDM-DECL-03515"	"softpc.new/host/inc/host_cpu.h"	"softpc.new"	"external-boundary-candidate"	""	"unreviewed"	"unreviewed"	"bde/disasm.c:215; softpc.new/host/inc/host_cpu.h:359"
"MVDM-BOUNDARY-00002"	"MVDM-CALL-000944"	"dbg/dbg.c"	"dbg"	"138"	"DBGInit"	"MVDM-DECL-00148"	"inc/dbgexp.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-00118"	"unreviewed"	"unreviewed"	"dbg/dbg.c:138; inc/dbgexp.h:15"
"MVDM-BOUNDARY-00003"	"MVDM-CALL-001299"	"dbg/dbg.c"	"dbg"	"1361"	"DBGDispatch"	"MVDM-DECL-00149"	"inc/dbgexp.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-00135"	"unreviewed"	"unreviewed"	"dbg/dbg.c:1361; inc/dbgexp.h:16"
"MVDM-BOUNDARY-00004"	"MVDM-CALL-001342"	"dbg/dbg.c"	"dbg"	"1509"	"DBGNotifyNewTask"	"MVDM-DECL-00150"	"inc/dbgexp.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-00136"	"unreviewed"	"unreviewed"	"dbg/dbg.c:1509; inc/dbgexp.h:17"
"MVDM-BOUNDARY-00005"	"MVDM-CALL-001408"	"dbg/dbg.c"	"dbg"	"1689"	"DBGNotifyRemoteThreadAddress"	"MVDM-DECL-00151"	"inc/dbgexp.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-00137"	"unreviewed"	"unreviewed"	"dbg/dbg.c:1689; inc/dbgexp.h:18"
"MVDM-BOUNDARY-00006"	"MVDM-CALL-001409"	"dbg/dbg.c"	"dbg"	"1697"	"DBGNotifyDebugged"	"MVDM-DECL-00152"	"inc/dbgexp.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-00138"	"unreviewed"	"unreviewed"	"dbg/dbg.c:1697; inc/dbgexp.h:19"
"MVDM-BOUNDARY-00007"	"MVDM-CALL-001410"	"dos/command/cmd.c"	"dos"	"23"	"CMDInit"	"MVDM-DECL-00145"	"inc/cmdsvc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-00139"	"unreviewed"	"unreviewed"	"dos/command/cmd.c:23; inc/cmdsvc.h:89"
"MVDM-BOUNDARY-00008"	"MVDM-CALL-001428"	"dos/command/cmdconf.c"	"dos"	"82"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/command/cmdconf.c:82; inc/softpc.h:132"
"MVDM-BOUNDARY-00009"	"MVDM-CALL-001441"	"dos/command/cmdconf.c"	"dos"	"120"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/command/cmdconf.c:120; inc/softpc.h:132"
"MVDM-BOUNDARY-00010"	"MVDM-CALL-001458"	"dos/command/cmdconf.c"	"dos"	"233"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/command/cmdconf.c:233; inc/softpc.h:132"
