"worklist_id"	"declaration_id"	"lexical_name"	"declaration_path"	"declaration_package"	"review_family"	"caller_count"	"caller_packages"	"caller_evidence"	"final_owner"	"recovery_state"	"evidence"
"MVDM-WORK-00001"	"MVDM-DECL-00078"	"cmdPipeFileDataEOF"	"dos/dem/dem.h"	"dos"	"opennt-mvdm-host-or-adapter-win32-review"	"2"	"dos"	"dos/command/cmdredir.c:602; dos/dem/dem.h:256; dos/dem/demhndl.c:572; dos/dem/dem.h:256"	"unreviewed"	"unreviewed"	"dos/dem/dem.h:256"
"MVDM-WORK-00002"	"MVDM-DECL-00079"	"cmdPipeFileEOF"	"dos/dem/dem.h"	"dos"	"opennt-mvdm-host-or-adapter-win32-review"	"2"	"dos"	"dos/command/cmdredir.c:641; dos/dem/dem.h:257; dos/dem/demhndl.c:597; dos/dem/dem.h:257"	"unreviewed"	"unreviewed"	"dos/dem/dem.h:257"
"MVDM-WORK-00003"	"MVDM-DECL-00145"	"CMDInit"	"inc/cmdsvc.h"	"inc"	"opennt-mvdm-host-or-adapter-win32-review"	"4"	"dos;softpc.new;v86"	"dos/command/cmd.c:23; inc/cmdsvc.h:89; softpc.new/host/src/nt_msscs.c:44; inc/cmdsvc.h:89; softpc.new/host/src/nt_msscs.c:67; inc/cmdsvc.h:89; v86/scaffold/i386/softpc.c:143; inc/cmdsvc.h:89"	"unreviewed"	"unreviewed"	"inc/cmdsvc.h:89"
"MVDM-WORK-00004"	"MVDM-DECL-00146"	"CMDRebootVDM"	"inc/cmdsvc.h"	"inc"	"opennt-mvdm-host-or-adapter-win32-review"	"1"	"softpc.new"	"softpc.new/base/bios/reset.c:760; inc/cmdsvc.h:90"	"unreviewed"	"unreviewed"	"inc/cmdsvc.h:90"
"MVDM-WORK-00005"	"MVDM-DECL-00149"	"DBGDispatch"	"inc/dbgexp.h"	"inc"	"adapter-debugger-review"	"5"	"dbg;softpc.new;v86"	"dbg/dbg.c:1361; inc/dbgexp.h:16; softpc.new/host/src/nt_bop.c:331; inc/dbgexp.h:16; softpc.new/host/src/nt_bop.c:336; inc/dbgexp.h:16; v86/scaffold/i386/fakebop.c:24; inc/dbgexp.h:16; v86/scaffold/i386/fakebop.c:155; inc/dbgexp.h:16"	"unreviewed"	"unreviewed"	"inc/dbgexp.h:16"
"MVDM-WORK-00006"	"MVDM-DECL-00443"	"setSS_BASE_LIMIT_AR"	"inc/softpc.h"	"inc"	"adapter-softpc-review"	"2"	"dpmi32;softpc.new"	"dpmi32/modesw.c:72; inc/softpc.h:647; softpc.new/host/src/nt_aorc.c:546; inc/softpc.h:647"	"unreviewed"	"unreviewed"	"inc/softpc.h:647"
"MVDM-WORK-00007"	"MVDM-DECL-00444"	"setCPL"	"inc/softpc.h"	"inc"	"adapter-softpc-review"	"1"	"dpmi32"	"dpmi32/modesw.c:118; inc/softpc.h:648"	"unreviewed"	"unreviewed"	"inc/softpc.h:648"
"MVDM-WORK-00008"	"MVDM-DECL-00448"	"W32Dispatch"	"inc/wowexp.h"	"inc"	"adapter-wow-review"	"1"	"wow32"	"wow32/wow32.c:953; inc/wowexp.h:15"	"unreviewed"	"unreviewed"	"inc/wowexp.h:15"
"MVDM-WORK-00009"	"MVDM-DECL-01948"	"kb_idle_poll"	"softpc.new/base/inc/bios.h"	"softpc.new"	"adapter-softpc-review"	"1"	"softpc.new"	"softpc.new/base/keymouse/keybd_io.c:1477; softpc.new/base/inc/bios.h:242"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/bios.h:242"
"MVDM-WORK-00010"	"MVDM-DECL-01968"	"mouse_EM_callback"	"softpc.new/base/inc/bios.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/base/bios/bios.c:88; softpc.new/base/inc/bios.h:270; softpc.new/base/keymouse/mouse_io.c:2244; softpc.new/base/inc/bios.h:270"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/bios.h:270"
