"worklist_id"	"lexical_name"	"declaration_path"	"source_occurrence_count"	"source_paths"	"review_state"	"evidence"
"MVDM-WORK-00001"	"CMDRebootVDM"	"inc/cmdsvc.h"	"1"	"softpc.new/base/bios/reset.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00002"	"setCPL"	"inc/softpc.h"	"5"	"dpmi32/modesw.c;softpc.new/base/cvidc/accessfn.c;softpc.new/host/src/nt_aorc.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00003"	"init_gen_drivers"	"softpc.new/base/inc/gendrvr.h"	"1"	"softpc.new/base/bios/reset.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00004"	"host_validate_pathname"	"softpc.new/base/inc/host.h"	"1"	"softpc.new/host/src/nt_rflop.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00005"	"host_com_disable_open"	"softpc.new/base/inc/host_com.h"	"3"	"softpc.new/base/comms/com.c;softpc.new/host/src/nt_com.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00006"	"bios_buffer_size"	"softpc.new/base/inc/hunter.h"	"4"	"softpc.new/base/keymouse/keyba.c;softpc.new/base/keymouse/keybd_io.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00007"	"hunter_init"	"softpc.new/base/inc/hunter.h"	"1"	"softpc.new/base/bios/reset.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00008"	"do_hunter"	"softpc.new/base/inc/hunter.h"	"3"	"softpc.new/base/keymouse/keyba.c;softpc.new/base/keymouse/keybd_io.c;softpc.new/base/system/timestrb.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00009"	"ica_clear_int"	"softpc.new/base/inc/ica.h"	"18"	"softpc.new/base/comms/com.c;softpc.new/base/disks/fdisk.c;softpc.new/base/disks/fla.c;softpc.new/base/keymouse/keyba.c;softpc.new/base/keymouse/mouse.c;softpc.new/base/system/ica.c;softpc.new/base/video/ega_prts.c;softpc.new/base/video/vga_prts.c;softpc.new/host/src/nt_eoi.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00010"	"ica_inb"	"softpc.new/base/inc/ica.h"	"10"	"softpc.new/base/system/ica.c;softpc.new/host/src/nt_com.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00011"	"ica_outb"	"softpc.new/base/inc/ica.h"	"40"	"softpc.new/base/system/ica.c;softpc.new/host/src/nt_com.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00012"	"ica_hw_interrupt"	"softpc.new/base/inc/ica.h"	"44"	"softpc.new/base/ccpu386/zfrsrvd.c;softpc.new/base/comms/com.c;softpc.new/base/comms/printer.c;softpc.new/base/disks/fdisk.c;softpc.new/base/disks/fla.c;softpc.new/base/keymouse/keyba.c;softpc.new/base/keymouse/mouse.c;softpc.new/base/system/cmos.c;softpc.new/base/system/cmosnt.c;softpc.new/base/system/ica.c;softpc.new/base/system/timer.c;softpc.new/host/src/cpucstbs.c;softpc.new/host/src/nt_eoi.c;softpc.new/host/src/nt_fulsc.c;softpc.new/host/src/nt_mouse.c;v86/monitor/i386/monitor.c;vdmredir/vrdlcpst.c;vdmredir/vrnmpipe.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00013"	"malloc"	"softpc.new/base/inc/standard.h"	"2245"	"dos/command/cmdconf.c;dos/command/cmdenv.c;dos/command/cmdmisc.c;dos/command/cmdredir.c;dos/dem/dem.c;dos/dem/demdasd.c;dos/dem/demmisc.c;dos/dem/demsrch.c;dpmi32/dpmiselr.c;dpmi32/i386/dpmi386.c;dpmi32/savestat.c;dpmi32/xmem.c;sim32/sim32.c;softpc.new/base/bios/virtual.c;softpc.new/base/ccpu386/ccpupig.c;softpc.new/base/ccpu386/ccpusas4.c;softpc.new/base/ccpu386/ntthread.c;softpc.new/base/comms/com.c;softpc.new/base/cpu/src/evid/ev_glue.c;softpc.new/base/cvidc/ev_glue.c;softpc.new/base/cvidc/sevid000.c;softpc.new/base/cvidc/sevid001.c;softpc.new/base/cvidc/sevid002.c;softpc.new/base/cvidc/sevid003.c;softpc.new/base/cvidc/sevid004.c;softpc.new/base/cvidc/sevid005.c;softpc.new/base/cvidc/sevid006.c;softpc.new/base/cvidc/sevid007.c;softpc.new/base/cvidc/sevid008.c;softpc.new/base/cvidc/sevid009.c;softpc.new/base/cvidc/sevid010.c;softpc.new/base/cvidc/sevid011.c;softpc.new/base/cvidc/sevid012.c;softpc.new/base/cvidc/sevid013.c;softpc.new/base/cvidc/sevid014.c;softpc.new/base/cvidc/sevid015.c;softpc.new/base/cvidc/sevid016.c;softpc.new/base/cvidc/sevid017.c;softpc.new/base/cvidc/sevid018.c;softpc.new/base/cvidc/sevid019.c;softpc.new/base/cvidc/sevid020.c;softpc.new/base/cvidc/sevid021.c;softpc.new/base/cvidc/sevid022.c;softpc.new/base/cvidc/sevid023.c;softpc.new/base/cvidc/sevid024.c;softpc.new/base/cvidc/sevid025.c;softpc.new/base/cvidc/sevid026.c;softpc.new/base/cvidc/sevid027.c;softpc.new/base/cvidc/sevid028.c;softpc.new/base/cvidc/sevid029.c;softpc.new/base/cvidc/sevid030.c;softpc.new/base/cvidc/sinit011.c;softpc.new/base/cvidc/sinit012.c;softpc.new/base/cvidc/sinit013.c;softpc.new/base/debug/yoda.c;softpc.new/base/disks/fla.c;softpc.new/base/dos/emm_mngr.c;softpc.new/base/system/qevnt.c;softpc.new/base/system/quick_ev.c;softpc.new/base/system/rom.c;softpc.new/base/video/video.c;softpc.new/convert/convert.c;softpc.new/host/src/fprt.c;softpc.new/host/src/nt_com.c;softpc.new/host/src/nt_cpu.c;softpc.new/host/src/nt_emm.c;softpc.new/host/src/nt_error.c;softpc.new/host/src/nt_event.c;softpc.new/host/src/nt_fdisk.c;softpc.new/host/src/nt_graph.c;softpc.new/host/src/nt_lpt.c;softpc.new/host/src/nt_msscs.c;softpc.new/host/src/nt_pif.c;softpc.new/host/src/nt_thred.c;softpc.new/host/src/nt_umb.c;softpc.new/host/src/sim32.c;softpc.new/host/src/stf_conf.c;softpc.new/host/src/x86_emm.c;softpc.new/obj.vdm/ntvdm.c;suballoc/suballoc.c;suballoc/tsa.c;v86/monitor/i386/sas.c;v86/monitor/i386/thread.c;v86/scaffold/i386/softpc.c;vdmexts/wow.c;vdmredir/vrdebug.c;vdmredir/vrremote.c;wow32/wddeml32.c;wow32/wgdi31.c;wow32/wkman.c;wow32/wmmedia2.c;wow32/wparam.c;xms.486/xmsumb.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00014"	"check_D"	"softpc.new/base/inc/yoda.h"	"9"	"softpc.new/base/ccpu386/c_page.c;softpc.new/base/ccpu386/stubs.c;softpc.new/base/debug/yoda.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00015"	"do_setSF"	"softpc.new/host/inc/host_cpu.h"	"2"	"softpc.new/host/src/nt_cprgs.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00016"	"do_setOF"	"softpc.new/host/inc/host_cpu.h"	"2"	"softpc.new/host/src/nt_cprgs.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00017"	"do_setPF"	"softpc.new/host/inc/host_cpu.h"	"2"	"softpc.new/host/src/nt_cprgs.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00018"	"do_setZF"	"softpc.new/host/inc/host_cpu.h"	"2"	"softpc.new/host/src/nt_cprgs.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00019"	"do_setCF"	"softpc.new/host/inc/host_cpu.h"	"2"	"softpc.new/host/src/nt_cprgs.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00020"	"outsb"	"softpc.new/host/inc/nt_mon.h"	"8"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/dasm386/dasm386.c;softpc.new/base/debug/dasm.c;softpc.new/base/debug/yoda.c;softpc.new/base/support/ios.c;v86/monitor/i386/monitor.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
"MVDM-WORK-00021"	"insb"	"softpc.new/host/inc/nt_mon.h"	"8"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/dasm386/dasm386.c;softpc.new/base/debug/dasm.c;softpc.new/base/debug/yoda.c;softpc.new/base/support/ios.c;v86/monitor/i386/monitor.c"	"unreviewed-source-semantic"	"selected source occurrence scan"
