"profile_id"	"package_root"	"x86_admission_state"	"x64_admission_state"	"build_claim"	"source_basis"
"MVDM-T277-S8-PROFILE-BDE"	"bde"	"not-enabled; tool-only; separately recoverable debugger extension"	"not-enabled; tool-only; separately recoverable debugger extension"	"no compile, link or provider enablement claimed by T277"	"T276 final file disposition + T277 source-form interface closure"
"MVDM-T277-S8-PROFILE-DBG"	"dbg"	"not-enabled; tool-only; separately recoverable debugger product"	"not-enabled; tool-only; separately recoverable debugger product"	"no compile, link or provider enablement claimed by T277"	"T276 final file disposition + T277 source-form interface closure"
"MVDM-T277-S8-PROFILE-DIRS"	"dirs"	"not-enabled; not-host-runtime; original build control only"	"not-enabled; not-host-runtime; original build control only"	"no compile, link or provider enablement claimed by T277"	"T276 final file disposition + T277 source-form interface closure"
"MVDM-T277-S8-PROFILE-DOS"	"dos"	"not-enabled; candidate W2 host-control/DEM and W3 COMMAND; co-link cycle explicit"	"not-enabled; candidate W2 host-control/DEM and W3 COMMAND; co-link cycle explicit"	"no compile, link or provider enablement claimed by T277"	"T276 final file disposition + T277 source-form interface closure"
"MVDM-T277-S8-PROFILE-DPMI"	"dpmi"	"not-enabled; guest-only; not a host-library candidate"	"not-enabled; guest-only; not a host-library candidate"	"no compile, link or provider enablement claimed by T277"	"T276 final file disposition + T277 source-form interface closure"
"MVDM-T277-S8-PROFILE-DPMI32"	"dpmi32"	"not-enabled; candidate W6; protected-machine interfaces require complete profile"	"not-enabled; candidate W6; protected-machine interfaces require complete profile"	"no compile, link or provider enablement claimed by T277"	"T276 final file disposition + T277 source-form interface closure"
"MVDM-T277-S8-PROFILE-FAX"	"fax"	"not-enabled; candidate W8/W9 extension after WOW/monitor evidence"	"not-enabled; candidate W8/W9 extension after WOW/monitor evidence"	"no compile, link or provider enablement claimed by T277"	"T276 final file disposition + T277 source-form interface closure"
"MVDM-T277-S8-PROFILE-IEUVDDEX"	"ieuvddex"	"not-enabled; tool-only; monitor-extension product excluded from runtime"	"not-enabled; tool-only; monitor-extension product excluded from runtime"	"no compile, link or provider enablement claimed by T277"	"T276 final file disposition + T277 source-form interface closure"
"MVDM-T277-S8-PROFILE-INC"	"inc"	"not-enabled; declaration-only; source-shaped headers"	"not-enabled; declaration-only; source-shaped headers"	"no compile, link or provider enablement claimed by T277"	"T276 final file disposition + T277 source-form interface closure"
"MVDM-T277-S8-PROFILE-MAKEFIL0"	"makefil0"	"not-enabled; not-host-runtime; original build control only"	"not-enabled; not-host-runtime; original build control only"	"no compile, link or provider enablement claimed by T277"	"T276 final file disposition + T277 source-form interface closure"
"MVDM-T277-S8-PROFILE-OEMUNI"	"oemuni"	"not-enabled; candidate W1 original support package"	"not-enabled; candidate W1 original support package"	"no compile, link or provider enablement claimed by T277"	"T276 final file disposition + T277 source-form interface closure"
"MVDM-T277-S8-PROFILE-SIM16"	"sim16"	"not-enabled; declaration-only W5 monitor interface evidence; no monitor provider enabled"	"not-enabled; declaration-only W5 monitor interface evidence; no monitor provider enabled"	"no compile, link or provider enablement claimed by T277"	"T276 final file disposition + T277 source-form interface closure"
"MVDM-T277-S8-PROFILE-SIM32"	"sim32"	"not-enabled; declaration-only W5 monitor interface evidence; no monitor provider enabled"	"not-enabled; declaration-only W5 monitor interface evidence; no monitor provider enabled"	"no compile, link or provider enablement claimed by T277"	"T276 final file disposition + T277 source-form interface closure"
"MVDM-T277-S8-PROFILE-SOFTPC-NEW"	"softpc.new"	"not-enabled; candidate W2 host-control; CPU/device executor replaced by Bochs route"	"not-enabled; candidate W2 host-control; CPU/device executor replaced by Bochs route"	"no compile, link or provider enablement claimed by T277"	"T276 final file disposition + T277 source-form interface closure"
"MVDM-T277-S8-PROFILE-SUBALLOC"	"suballoc"	"not-enabled; candidate W1 original support package"	"not-enabled; candidate W1 original support package"	"no compile, link or provider enablement claimed by T277"	"T276 final file disposition + T277 source-form interface closure"
"MVDM-T277-S8-PROFILE-V86"	"v86"	"not-enabled; not-host-runtime; historical monitor product excluded"	"not-enabled; not-host-runtime; historical monitor product excluded"	"no compile, link or provider enablement claimed by T277"	"T276 final file disposition + T277 source-form interface closure"
"MVDM-T277-S8-PROFILE-VDD"	"vdd"	"not-enabled; not-host-runtime; VDD product not admitted"	"not-enabled; not-host-runtime; VDD product not admitted"	"no compile, link or provider enablement claimed by T277"	"T276 final file disposition + T277 source-form interface closure"
"MVDM-T277-S8-PROFILE-VDMDBG"	"vdmdbg"	"not-enabled; tool-only; debugger extension"	"not-enabled; tool-only; debugger extension"	"no compile, link or provider enablement claimed by T277"	"T276 final file disposition + T277 source-form interface closure"
