"edge_id"	"edge_kind"	"from_package"	"to_package_or_boundary"	"observed_edge_count"	"evidence_kind"	"topological_wave"	"dependency_state"	"evidence"
"MVDM-T277-PACKAGE-BDE"	"package-node"	"bde"	""	"0"	"final-file-inventory"	"W5-product-extensions"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-DBG"	"package-node"	"dbg"	""	"0"	"final-file-inventory"	"W5-product-extensions"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-DIRS"	"package-node"	"dirs"	""	"0"	"final-file-inventory"	"W0-source-carriers"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-DOS"	"package-node"	"dos"	""	"0"	"final-file-inventory"	"W4-host-service"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-DPMI"	"package-node"	"dpmi"	""	"0"	"final-file-inventory"	"W4-host-service"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-DPMI32"	"package-node"	"dpmi32"	""	"0"	"final-file-inventory"	"W4-host-service"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-FAX"	"package-node"	"fax"	""	"0"	"final-file-inventory"	"W5-product-extensions"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-IEUVDDEX"	"package-node"	"ieuvddex"	""	"0"	"final-file-inventory"	"W5-product-extensions"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-INC"	"package-node"	"inc"	""	"0"	"final-file-inventory"	"W0-source-carriers"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-MAKEFIL0"	"package-node"	"makefil0"	""	"0"	"final-file-inventory"	"W0-source-carriers"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-OEMUNI"	"package-node"	"oemuni"	""	"0"	"final-file-inventory"	"W1-support"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-SIM16"	"package-node"	"sim16"	""	"0"	"final-file-inventory"	"W3-monitor-memory"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-SIM32"	"package-node"	"sim32"	""	"0"	"final-file-inventory"	"W3-monitor-memory"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-SOFTPC-NEW"	"package-node"	"softpc.new"	""	"0"	"final-file-inventory"	"W2-machine-boundary"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-SUBALLOC"	"package-node"	"suballoc"	""	"0"	"final-file-inventory"	"W1-support"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-V86"	"package-node"	"v86"	""	"0"	"final-file-inventory"	"W3-monitor-memory"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-VDD"	"package-node"	"vdd"	""	"0"	"final-file-inventory"	"W5-product-extensions"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-VDMDBG"	"package-node"	"vdmdbg"	""	"0"	"final-file-inventory"	"W5-product-extensions"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-VDMEXTS"	"package-node"	"vdmexts"	""	"0"	"final-file-inventory"	"W5-product-extensions"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-VDMREDIR"	"package-node"	"vdmredir"	""	"0"	"final-file-inventory"	"W5-product-extensions"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-VDMUTILS"	"package-node"	"vdmutils"	""	"0"	"final-file-inventory"	"W1-support"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-WOW32"	"package-node"	"wow32"	""	"0"	"final-file-inventory"	"W5-product-extensions"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-PACKAGE-XMS-486"	"package-node"	"xms.486"	""	"0"	"final-file-inventory"	"W3-monitor-memory"	"package-inventory-only"	"m0-t276-final-integration-disposition-ledger.tsv"
"MVDM-T277-CORRELATION-0001"	"observed-name-correlation"	"dbg"	"inc"	"5"	"selected-definition-name-observed-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"dbg/dbg.c:138; inc/dbgexp.h:15; dbg/dbg.c:1361; inc/dbgexp.h:16; dbg/dbg.c:1509; inc/dbgexp.h:17"
"MVDM-T277-CORRELATION-0002"	"observed-name-correlation"	"dos"	"inc"	"41"	"selected-definition-name-observed-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"dos/command/cmd.c:23; inc/cmdsvc.h:89; dos/command/cmdconf.c:82; inc/softpc.h:132; dos/command/cmdconf.c:120; inc/softpc.h:132"
"MVDM-T277-CORRELATION-0003"	"observed-name-correlation"	"dos"	"softpc.new"	"18"	"external-boundary-candidate-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"dos/command/cmdconf.c:236; softpc.new/base/inc/standard.h:83; dos/command/cmdconf.c:243; softpc.new/base/inc/standard.h:83; dos/command/cmdenv.c:52; softpc.new/base/inc/standard.h:83"
"MVDM-T277-CORRELATION-0004"	"observed-name-correlation"	"dos"	"softpc.new"	"4"	"selected-definition-name-observed-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"dos/dem/dem.c:68; softpc.new/base/inc/standard.h:84; dos/dem/dem.c:70; softpc.new/base/inc/standard.h:84; dos/dem/demdasd.c:513; softpc.new/host/inc/host.h:42"
"MVDM-T277-CORRELATION-0005"	"observed-name-correlation"	"dpmi32"	"inc"	"1"	"external-boundary-candidate-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"dpmi32/modesw.c:118; inc/softpc.h:648"
"MVDM-T277-CORRELATION-0006"	"observed-name-correlation"	"dpmi32"	"inc"	"20"	"selected-definition-name-observed-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"dpmi32/debug.c:62; inc/softpc.h:625; dpmi32/dpmiint.c:526; inc/softpc.h:625; dpmi32/dpmiint.c:529; inc/softpc.h:640"
"MVDM-T277-CORRELATION-0007"	"observed-name-correlation"	"dpmi32"	"softpc.new"	"3"	"external-boundary-candidate-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"dpmi32/dpmiselr.c:226; softpc.new/base/inc/standard.h:83; dpmi32/i386/dpmi386.c:87; softpc.new/base/inc/standard.h:83; dpmi32/xmem.c:97; softpc.new/base/inc/standard.h:83"
"MVDM-T277-CORRELATION-0008"	"observed-name-correlation"	"dpmi32"	"softpc.new"	"2"	"selected-definition-name-observed-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"dpmi32/buffer.c:326; softpc.new/host/inc/host.h:42; dpmi32/i386/dpmi386.c:188; softpc.new/base/inc/bios.h:390"
"MVDM-T277-CORRELATION-0009"	"observed-name-correlation"	"sim32"	"softpc.new"	"1"	"external-boundary-candidate-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"sim32/sim32.c:150; softpc.new/base/inc/standard.h:83"
"MVDM-T277-CORRELATION-0010"	"observed-name-correlation"	"softpc.new"	"dos"	"2"	"selected-definition-name-observed-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"softpc.new/host/src/nt_event.c:1879; dos/command/cmd.h:256; softpc.new/host/src/nt_msscs.c:1067; dos/command/cmd.h:255"
"MVDM-T277-CORRELATION-0011"	"observed-name-correlation"	"softpc.new"	"dpmi32"	"2"	"selected-definition-name-observed-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"softpc.new/host/src/nt_eoi.c:478; dpmi32/dpmidata.h:89; softpc.new/host/src/nt_eoi.c:488; dpmi32/dpmidata.h:88"
"MVDM-T277-CORRELATION-0012"	"observed-name-correlation"	"softpc.new"	"inc"	"97"	"selected-definition-name-observed-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"softpc.new/base/ccpu386/ccpusas4.c:1475; inc/softpc.h:622; softpc.new/base/ccpu386/ccpusas4.c:1487; inc/softpc.h:622; softpc.new/base/ccpu386/ccpusas4.c:1530; inc/softpc.h:622"
"MVDM-T277-CORRELATION-0013"	"observed-name-correlation"	"suballoc"	"softpc.new"	"6"	"external-boundary-candidate-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"suballoc/suballoc.c:85; softpc.new/base/inc/standard.h:83; suballoc/tsa.c:340; softpc.new/base/inc/standard.h:83; suballoc/tsa.c:397; softpc.new/base/inc/standard.h:83"
