"summary_id"	"population"	"count"	"state"	"evidence"
"MVDM-T277-S2-ALL"	"all caller/declaration correlations"	"3697"	"preserved T277 S1 population"	"m0-t277-interface-recovery-ledger.tsv"
"MVDM-T277-S2-WORKLIST"	"future-host caller correlations"	"325"	"source-form review worklist"	"m0-t277-s2-source-form-worklist.tsv"
"MVDM-T277-S2-PACKAGE-DOS"	"future-host caller package: dos"	"73"	"source-form review worklist"	"m0-t277-s2-source-form-worklist.tsv"
"MVDM-T277-S2-PACKAGE-DPMI32"	"future-host caller package: dpmi32"	"28"	"source-form review worklist"	"m0-t277-s2-source-form-worklist.tsv"
"MVDM-T277-S2-PACKAGE-SOFTPC-NEW"	"future-host caller package: softpc.new"	"197"	"source-form review worklist"	"m0-t277-s2-source-form-worklist.tsv"
"MVDM-T277-S2-PACKAGE-SUBALLOC"	"future-host caller package: suballoc"	"1"	"source-form review worklist"	"m0-t277-s2-source-form-worklist.tsv"
"MVDM-T277-S2-PACKAGE-VDMREDIR"	"future-host caller package: vdmredir"	"5"	"source-form review worklist"	"m0-t277-s2-source-form-worklist.tsv"
"MVDM-T277-S2-PACKAGE-WOW32"	"future-host caller package: wow32"	"12"	"source-form review worklist"	"m0-t277-s2-source-form-worklist.tsv"
"MVDM-T277-S2-PACKAGE-XMS-486"	"future-host caller package: xms.486"	"9"	"source-form review worklist"	"m0-t277-s2-source-form-worklist.tsv"
"MVDM-T277-S2-STATE-SOURCE_EXTERNAL_BOUNDARY_CANDIDATE"	"all correlations state: source-external-boundary-candidate"	"2268"	"preserved evidence"	"m0-t277-interface-recovery-ledger.tsv"
"MVDM-T277-S2-STATE-SOURCE_NAME_CORRELATION_NOT_ABI_PROVEN"	"all correlations state: source-name-correlation-not-abi-proven"	"1429"	"preserved evidence"	"m0-t277-interface-recovery-ledger.tsv"
