"re_root_id"	"source_path"	"package_root"	"source_sha256"	"current_component"	"destination_component"	"destination_relative_path"	"movement_state"	"source_identity_evidence"
"MVDM-T278-S1-BDE-BDE-DEF"	"bde/bde.def"	"bde"	"cfb2deeb3c42a282c4cf19aa8cf13d3408b007ceb42dc21c1b098e0b7da16979"	"opennt-mvdm-host"	"opennt-mvdm-host"	"bde/bde.def"	"frozen-pre-move"	"m0-t274-s1-non-guest-mvdm-union-ledger.tsv selected primary/secondary SHA-256; current canonical mirror hash verified"
"MVDM-T278-S1-BDE-BDE-H"	"bde/bde.h"	"bde"	"e85678f92da6f86f65e30b38530ccda84a03d632ee39917d5b3eec81d1a8fc8e"	"opennt-mvdm-host"	"opennt-mvdm-host"	"bde/bde.h"	"frozen-pre-move"	"m0-t274-s1-non-guest-mvdm-union-ledger.tsv selected primary/secondary SHA-256; current canonical mirror hash verified"
"MVDM-T278-S1-BDE-BDECMDS-C"	"bde/bdecmds.c"	"bde"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"opennt-mvdm-host"	"opennt-mvdm-host"	"bde/bdecmds.c"	"frozen-pre-move"	"m0-t274-s1-non-guest-mvdm-union-ledger.tsv selected primary/secondary SHA-256; current canonical mirror hash verified"
"MVDM-T278-S1-BDE-BDEHEAP-C"	"bde/bdeheap.c"	"bde"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"opennt-mvdm-host"	"opennt-mvdm-host"	"bde/bdeheap.c"	"frozen-pre-move"	"m0-t274-s1-non-guest-mvdm-union-ledger.tsv selected primary/secondary SHA-256; current canonical mirror hash verified"
"MVDM-T278-S1-BDE-BDEMISC-C"	"bde/bdemisc.c"	"bde"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"opennt-mvdm-host"	"opennt-mvdm-host"	"bde/bdemisc.c"	"frozen-pre-move"	"m0-t274-s1-non-guest-mvdm-union-ledger.tsv selected primary/secondary SHA-256; current canonical mirror hash verified"
"MVDM-T278-S1-BDE-BDESTACK-C"	"bde/bdestack.c"	"bde"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"opennt-mvdm-host"	"opennt-mvdm-host"	"bde/bdestack.c"	"frozen-pre-move"	"m0-t274-s1-non-guest-mvdm-union-ledger.tsv selected primary/secondary SHA-256; current canonical mirror hash verified"
"MVDM-T278-S1-BDE-BDESYM-C"	"bde/bdesym.c"	"bde"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"opennt-mvdm-host"	"opennt-mvdm-host"	"bde/bdesym.c"	"frozen-pre-move"	"m0-t274-s1-non-guest-mvdm-union-ledger.tsv selected primary/secondary SHA-256; current canonical mirror hash verified"
"MVDM-T278-S1-BDE-BDEUTIL-C"	"bde/bdeutil.c"	"bde"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"opennt-mvdm-host"	"opennt-mvdm-host"	"bde/bdeutil.c"	"frozen-pre-move"	"m0-t274-s1-non-guest-mvdm-union-ledger.tsv selected primary/secondary SHA-256; current canonical mirror hash verified"
"MVDM-T278-S1-BDE-DATA-C"	"bde/data.c"	"bde"	"5da2d4e3cd95333273f4c136686f91774685bb017aad14e59e1316c45a601f16"	"opennt-mvdm-host"	"opennt-mvdm-host"	"bde/data.c"	"frozen-pre-move"	"m0-t274-s1-non-guest-mvdm-union-ledger.tsv selected primary/secondary SHA-256; current canonical mirror hash verified"
"MVDM-T278-S1-BDE-DISASM-C"	"bde/disasm.c"	"bde"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"opennt-mvdm-host"	"opennt-mvdm-host"	"bde/disasm.c"	"frozen-pre-move"	"m0-t274-s1-non-guest-mvdm-union-ledger.tsv selected primary/secondary SHA-256; current canonical mirror hash verified"
