"dem_source"	"source_line"	"direct_include"	"disposition"	"final_owner"	"source_provenance_or_action"	"admission_state"
"dos/dem/dem.c"	"7"	"io.h"	"public-sdk-or-crt"	"modern SDK/CRT"	"public compiler/platform header; no project replacement"	"S4-audited; no DEM body enabled"
"dos/dem/dem.c"	"8"	"dem.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demdasd.c"	"9"	"io.h"	"public-sdk-or-crt"	"modern SDK/CRT"	"public compiler/platform header; no project replacement"	"S4-audited; no DEM body enabled"
"dos/dem/demdasd.c"	"10"	"dem.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demdasd.c"	"11"	"stdio.h"	"public-sdk-or-crt"	"modern SDK/CRT"	"public compiler/platform header; no project replacement"	"S4-audited; no DEM body enabled"
"dos/dem/demdasd.c"	"12"	"windows.h"	"public-sdk-or-crt"	"modern SDK/CRT"	"public compiler/platform header; no project replacement"	"S4-audited; no DEM body enabled"
"dos/dem/demdasd.c"	"13"	"demdasd.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demdasd.c"	"14"	"softpc.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demdata.c"	"6"	"dem.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demdir.c"	"13"	"dem.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demdir.c"	"14"	"demmsg.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demdir.c"	"16"	"softpc.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demdisp.c"	"9"	"dem.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demdisp.c"	"10"	"stdio.h"	"public-sdk-or-crt"	"modern SDK/CRT"	"public compiler/platform header; no project replacement"	"S4-audited; no DEM body enabled"
"dos/dem/demdisp.c"	"11"	"softpc.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demerror.c"	"12"	"dem.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demerror.c"	"13"	"demmsg.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demerror.c"	"15"	"softpc.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demfcb.c"	"19"	"dem.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demfcb.c"	"20"	"demmsg.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demfcb.c"	"22"	"softpc.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demfcb.c"	"23"	"winbase.h"	"public-sdk-or-crt"	"modern SDK/CRT"	"public compiler/platform header; no project replacement"	"S4-audited; no DEM body enabled"
"dos/dem/demfcb.c"	"24"	"mvdm.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demfile.c"	"15"	"dem.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demfile.c"	"16"	"demmsg.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demfile.c"	"18"	"softpc.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demfile.c"	"19"	"winbase.h"	"public-sdk-or-crt"	"modern SDK/CRT"	"public compiler/platform header; no project replacement"	"S4-audited; no DEM body enabled"
"dos/dem/demfile.c"	"20"	"vrnmpipe.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demfile.c"	"21"	"nt_vdd.h"	"platform-abi-mirror"	"opennt-platform-abi"	"byte-exact public SDK declaration mirror"	"S4-audited; no DEM body enabled"
"dos/dem/demgset.c"	"21"	"dem.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demgset.c"	"22"	"demmsg.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demgset.c"	"24"	"softpc.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demgset.c"	"25"	"mvdm.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demgset.c"	"26"	"winbase.h"	"public-sdk-or-crt"	"modern SDK/CRT"	"public compiler/platform header; no project replacement"	"S4-audited; no DEM body enabled"
"dos/dem/demgset.c"	"27"	"demdasd.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demhndl.c"	"15"	"dem.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demhndl.c"	"16"	"demmsg.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demhndl.c"	"18"	"softpc.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demhndl.c"	"19"	"io.h"	"public-sdk-or-crt"	"modern SDK/CRT"	"public compiler/platform header; no project replacement"	"S4-audited; no DEM body enabled"
"dos/dem/demhndl.c"	"20"	"fcntl.h"	"public-sdk-or-crt"	"modern SDK/CRT"	"public compiler/platform header; no project replacement"	"S4-audited; no DEM body enabled"
"dos/dem/demhndl.c"	"21"	"vrnmpipe.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demhndl.c"	"22"	"exterr.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demhndl.c"	"23"	"mvdm.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demioctl.c"	"11"	"dem.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demioctl.c"	"12"	"demmsg.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demioctl.c"	"14"	"softpc.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demioctl.c"	"15"	"winbase.h"	"public-sdk-or-crt"	"modern SDK/CRT"	"public compiler/platform header; no project replacement"	"S4-audited; no DEM body enabled"
"dos/dem/demioctl.c"	"16"	"demdasd.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demlabel.c"	"12"	"dem.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demlabel.c"	"13"	"demmsg.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demlabel.c"	"15"	"softpc.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demlabel.c"	"17"	"winbase.h"	"public-sdk-or-crt"	"modern SDK/CRT"	"public compiler/platform header; no project replacement"	"S4-audited; no DEM body enabled"
"dos/dem/demlock.c"	"10"	"dem.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demlock.c"	"11"	"demmsg.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
