source	x64_syntax_survey	x86_syntax_survey	first_blocking_family	future_owner	mapping_manager_rule	next_disposition
dem.c	blocked	blocked	original DEM diagnostic globals and demexp declarations	opennt-mvdm-host build form	no guest mapping at declaration layer	admit one package precompiled-header/declaration-form decision
demfcb.c	warning-only	blocked: modern SDK GetDiskSpaceInformationA declaration collision	DEM x86 binding form	adapter-win32	GetVDMAddr callers require guest_memory lease when enabled	admit one package x86 source-shaped declaration collision decision
demdata.c	warning-only	blocked: modern SDK GetDiskSpaceInformationA declaration collision	DEM x86 binding form	adapter-win32	no direct mapping in syntax survey	admit one package x86 source-shaped declaration collision decision
demdir.c	warning-only	blocked: modern SDK GetDiskSpaceInformationA declaration collision	DEM x86 binding form	adapter-win32	GetVDMAddr callers require guest_memory lease when enabled	admit one package x86 source-shaped declaration collision decision
demdisp.c	blocked	blocked	original DEM diagnostic global declaration visibility	opennt-mvdm-host build form	no guest mapping at declaration layer	share DEM declaration-form decision with dem.c
demerror.c	blocked	blocked	NT file-object/device information declarations and status constants	adapter-win32	GetVDMAddr callers require guest_memory lease when enabled	inventory same-shaped public/compat ABI before body enablement
demfile.c	warning-only	blocked: modern SDK GetDiskSpaceInformationA declaration collision	DEM x86 binding form	adapter-win32	GetVDMAddr callers require guest_memory lease when enabled	admit one package x86 source-shaped declaration collision decision
demgset.c	blocked	blocked	NT file-system device information plus DASD geometry types	adapter-win32 and adapter-softpc	DPB/guest pointer paths use guest_memory lease; host device structs do not	inventory public storage ABI and DASD mechanical seam together
demhndl.c	warning-only	blocked: modern SDK GetDiskSpaceInformationA declaration collision	DEM x86 binding form	adapter-win32	DOS handle identity uses session handle space; guest pointers use guest_memory lease	admit one package x86 source-shaped declaration collision decision
demioctl.c	blocked	blocked	DASD MEDIA_TYPE/DISK_GEOMETRY and device IOCTL declarations	adapter-win32 and adapter-softpc	drive data must cross only as copied records; no host pointer mapping	inventory public storage ABI and DASD mechanical seam together
demlabel.c	warning-only	blocked: modern SDK GetDiskSpaceInformationA declaration collision	DEM x86 binding form	adapter-win32	GetVDMAddr callers require guest_memory lease when enabled	admit one package x86 source-shaped declaration collision decision
demlock.c	warning-only	blocked: modern SDK GetDiskSpaceInformationA declaration collision	DEM x86 binding form	adapter-win32	guest pointers require guest_memory lease when enabled	admit one package x86 source-shaped declaration collision decision
demmisc.c	blocked	blocked	original DEM diagnostic global declaration visibility	opennt-mvdm-host build form	register access remains adapter-softpc; no host pointer mapping	share DEM declaration-form decision with dem.c
demmsg.c	warning-only	warning-only	no syntax blocker	future DEM link closure	no guest mapping at declaration layer	retain as original body candidate
demsrch.c	blocked	blocked	NT directory-query record/status declarations, source diagnostic globals	adapter-win32 plus opennt-mvdm-host build form	VDMQUERYDIRINFO is host-local; later GetVDMAddr use requires guest_memory lease	complete directory-query ABI family before source enablement
demdasd.c	blocked	blocked	DASD MEDIA_TYPE/DISK_GEOMETRY declarations	adapter-win32 and adapter-softpc	guest transfer buffers require guest_memory lease; host geometry does not	inventory public storage ABI and DASD mechanical seam together
