"logical_path"	"target_path"	"selected_source"	"selected_sha256"	"rejected_source"	"rejected_sha256"	"candidate_class"	"selection_basis"	"first_mvdm_source"	"direct_occurrences"
"private/inc/dlcio.h"	"source/private/inc/dlcio.h"	"O:\repos.external\OpenNT-4.5\nt\private\inc\dlcio.h"	"5059d127630e19906e973266e34ffe8b648181b0962900551964147e527602de"	"O:\repos.external\OpenNT\private\inc\dlcio.h"	""	"one-sided"	"only corresponding OpenNT/OpenNT-4.5 logical candidate exists"	"vdmredir/vrdisp.c"	"6"
"private/wangview/oiwh/jpeg1/x.h"	"source/private/wangview/oiwh/jpeg1/x.h"	"O:\repos.external\OpenNT-4.5\nt\private\wangview\oiwh\jpeg1\x.h"	"93b912fbb85518e1be806e5c9fb74f22b53e1832c449f2feab864036128a8236"	"O:\repos.external\OpenNT\private\wangview\oiwh\jpeg1\x.h"	""	"one-sided"	"only corresponding OpenNT/OpenNT-4.5 logical candidate exists"	"softpc.new/base/inc/host_msw.h"	"1"
"private/windows/inc/pmvdm.h"	"source/private/windows/inc/pmvdm.h"	"O:\repos.external\OpenNT-4.5\nt\private\windows\inc\pmvdm.h"	"d9bc8a4e975f9d2bc1aef89d8e8854f2dc8ad8fac53b49d6f4998bccafd4afc8"	"O:\repos.external\OpenNT\private\windows\inc\pmvdm.h"	""	"one-sided"	"only corresponding OpenNT/OpenNT-4.5 logical candidate exists"	"softpc.new/host/src/config.c"	"1"
"public/ddk/inc/ntddbeep.h"	"source/public/ddk/inc/ntddbeep.h"	"O:\repos.external\OpenNT\public\ddk\inc\ntddbeep.h"	"4e9e17a77c0e173166ab528de3a68d0c53883f513d55a998329d14f207e4272a"	"O:\repos.external\OpenNT-4.5\nt\public\ddk\inc\ntddbeep.h"	""	"one-sided"	"only corresponding OpenNT/OpenNT-4.5 logical candidate exists"	"softpc.new/host/src/nt_sound.c"	"1"
"public/ddk/inc/ntddcdrm.h"	"source/public/ddk/inc/ntddcdrm.h"	"O:\repos.external\OpenNT\public\ddk\inc\ntddcdrm.h"	"a6c5c64a7dec56163dc86382ba550b2ae4eeacbc2bea2016e38001e3b3d90286"	"O:\repos.external\OpenNT-4.5\nt\public\ddk\inc\ntddcdrm.h"	""	"one-sided"	"only corresponding OpenNT/OpenNT-4.5 logical candidate exists"	"vdd/samples/mscdex/vdd/vcdex.c"	"1"
"public/ddk/inc/ntdddisk.h"	"source/public/ddk/inc/ntdddisk.h"	"O:\repos.external\opennt\public\ddk\inc\ntdddisk.h"	"ab1a18990f477e823de45110a12a83498e87b0c4ce87c39d89720cce8ed9e455"	"O:\repos.external\OpenNT-4.5\nt\public\ddk\inc\ntdddisk.h"	""	"one-sided"	"only corresponding OpenNT/OpenNT-4.5 logical candidate exists"	"base/mvdm/dos/dem/dem.h"	"4"
"public/ddk/inc/ntdddlc.h"	"source/public/ddk/inc/ntdddlc.h"	"O:\repos.external\OpenNT\public\ddk\inc\ntdddlc.h"	"a2fea077682752262c6ad78a1119aad6cb60f816cf14c8c68f05aa9e281d8077"	"O:\repos.external\OpenNT-4.5\nt\public\ddk\inc\ntdddlc.h"	""	"one-sided"	"only corresponding OpenNT/OpenNT-4.5 logical candidate exists"	"vdmredir/vrdisp.c"	"6"
"public/ddk/inc/ntddkbd.h"	"source/public/ddk/inc/ntddkbd.h"	"O:\repos.external\OpenNT\public\ddk\inc\ntddkbd.h"	"f3bf258135d2853ebb77d6bc81e12499528c5b7efe1f58ead6f5c1315c5bf5c1"	"O:\repos.external\OpenNT-4.5\nt\public\ddk\inc\ntddkbd.h"	""	"one-sided"	"only corresponding OpenNT/OpenNT-4.5 logical candidate exists"	"softpc.new/host/src/nt_event.c"	"2"
"public/ddk/inc/ntddser.h"	"source/public/ddk/inc/ntddser.h"	"O:\repos.external\OpenNT\public\ddk\inc\ntddser.h"	"707287adc6162093ebe5dd9608b6f4e528b4b94cb0e2caa0df930ecffd4d3b46"	"O:\repos.external\OpenNT-4.5\nt\public\ddk\inc\ntddser.h"	""	"one-sided"	"only corresponding OpenNT/OpenNT-4.5 logical candidate exists"	"softpc.new/host/src/nt_com.c"	"3"
"public/ddk/inc/ntddstor.h"	"source/public/ddk/inc/ntddstor.h"	"O:\repos.external\opennt\public\ddk\inc\ntddstor.h"	"78056c337304e2d4e2885c5780f44279c74d39a7c8a261cad39b539652bd316a"	"O:\repos.external\OpenNT-4.5\nt\public\ddk\inc\ntddstor.h"	""	"one-sided"	"only corresponding OpenNT/OpenNT-4.5 logical candidate exists"	"public/ddk/inc/ntdddisk.h"	"1"
