record_id	family	current_root	current_path	source_sha256	source_kind	original_caller	original_declaration	observable_contract	current_disposition	final_disposition	final_component	final_path	failure_or_boundary	x86_selection	x64_selection
T284-F001	win32	src/adapter-win32	src\adapter-win32\README.md	3fbe1af6fad87371f0a9712577d899792ae7f438e87832fcaf7cd71267be8843	root-documentation	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	inc/{oemuni,vdmredir,cmdsvc,vdmtib}.h; historical NT/RTL headers	historical Win32/NTDLL/OEM declaration and call shape	root-boundary-documentation	replace-with-final-family-readme	adapter-mvdm-host-out	adapter-mvdm-host-out/win32/README.md	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED	not applicable	not applicable
T284-F002	win32	src/adapter-win32	src/adapter-win32/include/nt.h	d700b437a53f2aac0a9db21528f7291416ef64bb86ec5e6ae3b309e374ab3442	public-header	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	inc/{oemuni,vdmredir,cmdsvc,vdmtib}.h; historical NT/RTL headers	historical Win32/NTDLL/OEM declaration and call shape	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/win32/include/nt.h	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F003	win32	src/adapter-win32	src/adapter-win32/include/ntioapi.h	b2c1f7e474c1e139e71cd3e959bd5f832d1fc28ebd0d96bbbb03ab56a60d170c	public-header	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	inc/{oemuni,vdmredir,cmdsvc,vdmtib}.h; historical NT/RTL headers	historical Win32/NTDLL/OEM declaration and call shape	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/win32/include/ntioapi.h	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F004	win32	src/adapter-win32	src/adapter-win32/include/ntrtl.h	b0bc8f24479f700ef226549cf34ee1b80815fa91e1518182e2909ad3a621e2b2	public-header	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	inc/{oemuni,vdmredir,cmdsvc,vdmtib}.h; historical NT/RTL headers	historical Win32/NTDLL/OEM declaration and call shape	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/win32/include/ntrtl.h	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F005	win32	src/adapter-win32	src/adapter-win32/include/nturtl.h	fb8f287d2a72598bf73a245507d8c732ef478c63504b73c54df01e025ecece36	public-header	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	inc/{oemuni,vdmredir,cmdsvc,vdmtib}.h; historical NT/RTL headers	historical Win32/NTDLL/OEM declaration and call shape	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/win32/include/nturtl.h	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F006	win32	src/adapter-win32	src/adapter-win32/include/vdmapi.h	edcae3f053e11e02118892b9f86a71ba2d7eeb71765bdacb356bf96d264c2a50	public-header	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	inc/{oemuni,vdmredir,cmdsvc,vdmtib}.h; historical NT/RTL headers	historical Win32/NTDLL/OEM declaration and call shape	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/win32/include/vdmapi.h	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F007	win32	src/adapter-win32	src/adapter-win32/include/winbasep.h	780220360bb29733ef353d05126ec8f0889c3bdce39f374737c0092e5c55e1f1	public-header	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	inc/{oemuni,vdmredir,cmdsvc,vdmtib}.h; historical NT/RTL headers	historical Win32/NTDLL/OEM declaration and call shape	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/win32/include/winbasep.h	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F008	win32	src/adapter-win32	src/adapter-win32/include/winconp.h	989be642fab202f85c1e2384edb63758ca4d50dfd50afdc6f4f44c4473f337d2	public-header	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	inc/{oemuni,vdmredir,cmdsvc,vdmtib}.h; historical NT/RTL headers	historical Win32/NTDLL/OEM declaration and call shape	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/win32/include/winconp.h	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F009	win32	src/adapter-win32	src/adapter-win32/source/ntioapi_facade.c	3e1b6057176c5ea8a481b50e2052bf71160c9d7d668b933d5f07dcef8c43a815	implementation	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	inc/{oemuni,vdmredir,cmdsvc,vdmtib}.h; historical NT/RTL headers	historical Win32/NTDLL/OEM declaration and call shape	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/win32/source/ntioapi_facade.c	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F010	win32	src/adapter-win32	src/adapter-win32/source/opennt_support_rtl.c	3500c96128cf18c4c77e10c176b6289736102f554aaac8ac55084155b904a346	implementation	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	inc/{oemuni,vdmredir,cmdsvc,vdmtib}.h; historical NT/RTL headers	historical Win32/NTDLL/OEM declaration and call shape	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/win32/source/opennt_support_rtl.c	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F011	softpc	src/adapter-softpc	src\adapter-softpc\README.md	7bb5414e99f3adf04f3131a5730b8cae48e1c217f6498d027018608f83734c08	root-documentation	dos/dem/*, dos/command/*, xms.486/*, vdd/*	inc/softpc.h; softpc.new/base/inc/sas.h; softpc.new/host/inc/*	historical SoftPC/CCPU/SAS call shape over bounded session mechanics	root-boundary-documentation	replace-with-final-family-readme	adapter-mvdm-host-out	adapter-mvdm-host-out/softpc/README.md	typed adapter-bochs/session result; never a raw host pointer	not applicable	not applicable
T284-F012	softpc	src/adapter-softpc	src/adapter-softpc/include/error_abi.h	6a0ca6d7306c0d660c14975aff10aa771ec62569a765c3ba9145ab735a8ccf6f	public-header	dos/dem/*, dos/command/*, xms.486/*, vdd/*	inc/softpc.h; softpc.new/base/inc/sas.h; softpc.new/host/inc/*	historical SoftPC/CCPU/SAS call shape over bounded session mechanics	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/softpc/include/error_abi.h	typed adapter-bochs/session result; never a raw host pointer	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F013	softpc	src/adapter-softpc	src/adapter-softpc/include/mvdm_command_registers.h	825e8a106b70ecf5e38be917fe559d630e89f64ce2d982347470e6297bdd409d	public-header	dos/dem/*, dos/command/*, xms.486/*, vdd/*	inc/softpc.h; softpc.new/base/inc/sas.h; softpc.new/host/inc/*	historical SoftPC/CCPU/SAS call shape over bounded session mechanics	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/softpc/include/mvdm_command_registers.h	typed adapter-bochs/session result; never a raw host pointer	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F014	softpc	src/adapter-softpc	src/adapter-softpc/include/mvdm_guest_location.h	24763a24677099df9c8c1b843a35cceced81ee9b989af3dd48675f9e267f6af2	public-header	dos/dem/*, dos/command/*, xms.486/*, vdd/*	inc/softpc.h; softpc.new/base/inc/sas.h; softpc.new/host/inc/*	historical SoftPC/CCPU/SAS call shape over bounded session mechanics	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/softpc/include/mvdm_guest_location.h	typed adapter-bochs/session result; never a raw host pointer	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F015	softpc	src/adapter-softpc	src/adapter-softpc/include/mvdm_host_identity.h	4b7546051b5bee5aa89ffd948554f3ff723df547e8e8ea7d92d55b59d79bc968	public-header	dos/dem/*, dos/command/*, xms.486/*, vdd/*	inc/softpc.h; softpc.new/base/inc/sas.h; softpc.new/host/inc/*	historical SoftPC/CCPU/SAS call shape over bounded session mechanics	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/softpc/include/mvdm_host_identity.h	typed adapter-bochs/session result; never a raw host pointer	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F016	softpc	src/adapter-softpc	src/adapter-softpc/include/mvdm_vdd_sft_shadow.h	04934d30b6a8b20c67a882e4688d4e5e8b7e8c901d15cd1d782c5da1d23b95e1	public-header	dos/dem/*, dos/command/*, xms.486/*, vdd/*	inc/softpc.h; softpc.new/base/inc/sas.h; softpc.new/host/inc/*	historical SoftPC/CCPU/SAS call shape over bounded session mechanics	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/softpc/include/mvdm_vdd_sft_shadow.h	typed adapter-bochs/session result; never a raw host pointer	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F017	softpc	src/adapter-softpc	src/adapter-softpc/mvdm_command_registers.c	283ff56b625248ff270b16857931f544c59384c1b44c3f147c5fb3c01f62ed24	implementation	dos/dem/*, dos/command/*, xms.486/*, vdd/*	inc/softpc.h; softpc.new/base/inc/sas.h; softpc.new/host/inc/*	historical SoftPC/CCPU/SAS call shape over bounded session mechanics	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/softpc/mvdm_command_registers.c	typed adapter-bochs/session result; never a raw host pointer	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F018	softpc	src/adapter-softpc	src/adapter-softpc/mvdm_guest_location.c	9e5a62ffa08d01b8ee0ddae80c13ae01bd23ad3b00219c7d923e20774f02317d	implementation	dos/dem/*, dos/command/*, xms.486/*, vdd/*	inc/softpc.h; softpc.new/base/inc/sas.h; softpc.new/host/inc/*	historical SoftPC/CCPU/SAS call shape over bounded session mechanics	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/softpc/mvdm_guest_location.c	typed adapter-bochs/session result; never a raw host pointer	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
