symbol_id	family	declaration_path	symbol	symbol_kind	original_caller	final_component	final_subfamily	binding_disposition	failure_or_boundary
T284-S000	win32	src/adapter-win32/include/nt.h	opennt_support_current_teb	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S001	win32	src/adapter-win32/include/nt.h	NtCurrentPeb	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S002	win32	src/adapter-win32/include/nt.h	MoveMemory	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S003	win32	src/adapter-win32/include/ntioapi.h	opennt_NtQueryDirectoryFile	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S004	win32	src/adapter-win32/include/ntioapi.h	opennt_NtQueryVolumeInformationFile	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S005	win32	src/adapter-win32/include/ntioapi.h	opennt_NtOpenSymbolicLinkObject	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S006	win32	src/adapter-win32/include/ntioapi.h	opennt_NtQuerySymbolicLinkObject	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S007	win32	src/adapter-win32/include/ntioapi.h	opennt_NtOpenFile	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S008	win32	src/adapter-win32/include/ntioapi.h	opennt_NtQueryObject	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S009	win32	src/adapter-win32/include/ntrtl.h	RtlProcessHeap	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S010	win32	src/adapter-win32/include/ntrtl.h	RtlAllocateHeap	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S011	win32	src/adapter-win32/include/ntrtl.h	RtlFreeHeap	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S012	win32	src/adapter-win32/include/ntrtl.h	RtlInitString	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S013	win32	src/adapter-win32/include/ntrtl.h	RtlInitAnsiString	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S014	win32	src/adapter-win32/include/ntrtl.h	RtlInitUnicodeString	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S015	win32	src/adapter-win32/include/ntrtl.h	RtlOemStringToUnicodeString	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S016	win32	src/adapter-win32/include/ntrtl.h	RtlUnicodeStringToOemString	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S017	win32	src/adapter-win32/include/ntrtl.h	RtlAnsiStringToUnicodeString	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S018	win32	src/adapter-win32/include/ntrtl.h	RtlUnicodeStringToAnsiString	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S019	win32	src/adapter-win32/include/ntrtl.h	RtlFreeUnicodeString	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S020	win32	src/adapter-win32/include/ntrtl.h	RtlFreeOemString	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S021	win32	src/adapter-win32/include/ntrtl.h	RtlFreeAnsiString	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S022	win32	src/adapter-win32/include/ntrtl.h	RtlEqualUnicodeString	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S023	win32	src/adapter-win32/include/ntrtl.h	RtlOemStringToUnicodeSize	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S024	win32	src/adapter-win32/include/ntrtl.h	RtlGetFullPathName_U	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S025	win32	src/adapter-win32/include/ntrtl.h	RtlGetCurrentDirectory_U	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S026	win32	src/adapter-win32/include/ntrtl.h	RtlSetCurrentDirectory_U	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S027	win32	src/adapter-win32/include/ntrtl.h	RtlNtStatusToDosError	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S028	win32	src/adapter-win32/include/ntrtl.h	RtlAcquirePebLock	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S029	win32	src/adapter-win32/include/ntrtl.h	RtlReleasePebLock	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S030	win32	src/adapter-win32/include/ntrtl.h	RtlCreateUnicodeString	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S031	win32	src/adapter-win32/include/ntrtl.h	RtlCompareUnicodeString	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S032	win32	src/adapter-win32/include/ntrtl.h	RtlAppendUnicodeToString	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S033	win32	src/adapter-win32/include/ntrtl.h	RtlUpcaseUnicodeStringToCountedOemString	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S034	win32	src/adapter-win32/include/nturtl.h	RtlIsDosDeviceName_U	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S035	win32	src/adapter-win32/include/nturtl.h	RtlDosPathNameToNtPathName_U	callable declaration	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve exact exposed spelling; audit implementation in family migration	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S036	win32	src/adapter-win32/include/vdmapi.h	(declaration-carrier types/macros only)	declaration carrier	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve carrier; no behavior added	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S037	win32	src/adapter-win32/include/winbasep.h	(declaration-carrier types/macros only)	declaration carrier	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve carrier; no behavior added	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S038	win32	src/adapter-win32/include/winconp.h	(declaration-carrier types/macros only)	declaration carrier	dos/dem/*, dos/command/*, softpc.new/host/src/nt_error.c	adapter-mvdm-host-out	win32	preserve carrier; no behavior added	public Win32/NTDLL binding or original-style STATUS_NOT_IMPLEMENTED
T284-S039	softpc	src/adapter-softpc/include/error_abi.h	(declaration-carrier types/macros only)	declaration carrier	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve carrier; no behavior added	typed adapter-bochs/session result; never a raw host pointer
T284-S040	softpc	src/adapter-softpc/include/mvdm_command_registers.h	getAX	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S041	softpc	src/adapter-softpc/include/mvdm_command_registers.h	getAL	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S042	softpc	src/adapter-softpc/include/mvdm_command_registers.h	getBX	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S043	softpc	src/adapter-softpc/include/mvdm_command_registers.h	getDX	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S044	softpc	src/adapter-softpc/include/mvdm_command_registers.h	getSI	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S045	softpc	src/adapter-softpc/include/mvdm_command_registers.h	getDS	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S046	softpc	src/adapter-softpc/include/mvdm_command_registers.h	getES	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S047	softpc	src/adapter-softpc/include/mvdm_command_registers.h	setAL	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S048	softpc	src/adapter-softpc/include/mvdm_command_registers.h	setAX	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S049	softpc	src/adapter-softpc/include/mvdm_command_registers.h	setBX	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S050	softpc	src/adapter-softpc/include/mvdm_command_registers.h	setCF	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S051	softpc	src/adapter-softpc/include/mvdm_guest_location.h	mvdm_guest_location_set_real_mode	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S052	softpc	src/adapter-softpc/include/mvdm_guest_location.h	mvdm_guest_location_from_far_value	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
