"file_id"	"current_path"	"OpenNT_path"	"OpenNT-4.5_path"	"sha256"	"identity"	"final_disposition"	"successor"
"XMS-F-01"	"xms.h"	"base/mvdm/xms.486/xms.h"	"nt/private/mvdm/xms.486/xms.h"	"0fad52bf1e4c6db87bdc77cf9ec2f35540da2fc4972d2b32e32d57a46776a9fc"	"exact both"	"binding-only mirror"	"S2"
"XMS-F-02"	"xms.c"	"base/mvdm/xms.486/xms.c"	"nt/private/mvdm/xms.486/xms.c"	"592f4a063ad84c21890cdc15e56d4900e6669224c7c34c829c09d25dff9bed75"	"exact both"	"adapter-backed initialization"	"S4"
"XMS-F-03"	"xmsa20.c"	"base/mvdm/xms.486/xmsa20.c"	"nt/private/mvdm/xms.486/xmsa20.c"	"7261b7064a089b655b8d41d3e4ef6887be869af2b7b62970389aeee9a8acc94b"	"exact both"	"adapter-backed A20 body"	"S3"
"XMS-F-04"	"xmsblock.c"	"base/mvdm/xms.486/xmsblock.c"	"nt/private/mvdm/xms.486/xmsblock.c"	"bad1de87b499d3052e757d858b39437232f5653610dc5560c06afcc5e05fd391"	"exact both"	"adapter-backed block body"	"S4"
"XMS-F-05"	"xmsdisp.c"	"base/mvdm/xms.486/xmsdisp.c"	"nt/private/mvdm/xms.486/xmsdisp.c"	"24b0fa2fe32bd7a94606d424a10b0961a9911190cb2684456af04034e04bff01"	"exact both"	"direct dispatcher after bindings"	"S6"
"XMS-F-06"	"xmsmisc.c"	"base/mvdm/xms.486/xmsmisc.c"	"nt/private/mvdm/xms.486/xmsmisc.c"	"10ad205d9dede714749a9746dd99b3389546b8aaf3a63dd0236386a9d4ce5245"	"exact both"	"adapter-backed IVT query body"	"S5"
"XMS-F-07"	"xmsumb.c"	"base/mvdm/xms.486/xmsumb.c"	"nt/private/mvdm/xms.486/xmsumb.c"	"1608b70f239570f2cb5beeaeeaca63065cc9550bd6bad15b47f4160307b33ddc"	"exact both"	"adapter-backed UMB body; preserve empty-map failure"	"S5"
"XMS-F-08"	"i386/xmsmem86.c"	"base/mvdm/xms.486/i386/xmsmem86.c"	"nt/private/mvdm/xms.486/i386/xmsmem86.c"	"10b4128215d7ff9f101f7c517805fd9a6d177b01679bd587eb5747040960485a"	"exact both"	"not direct runtime; same-shape backend"	"S4"
"XMS-F-09"	"xmsmemr.c"	"base/mvdm/xms.486/xmsmemr.c"	"nt/private/mvdm/xms.486/xmsmemr.c"	"70970ed738101458f8036b5a283f034eb64baf32ead84a59a6b02278b327612c"	"exact both"	"not host runtime (RISC evidence)"	"S7"
"XMS-F-10"	"sources"	"base/mvdm/xms.486/sources"	"nt/private/mvdm/xms.486/sources"	"f57773cee2d51e76a255f966a3e97d749cec0c48945f975e9b8075f44350cdac"	"exact both"	"build description"	"S2"
"XMS-F-11"	"i386/sources"	"base/mvdm/xms.486/i386/sources"	"nt/private/mvdm/xms.486/i386/sources"	"c8d22f4169bbf598d5ed5dbe81f0382c091dc04dcad5b98d9e5724c0e8ad1162"	"exact both"	"build description"	"S2"
"XMS-F-12"	"alpha/sources"	"base/mvdm/xms.486/alpha/sources"	"nt/private/mvdm/xms.486/alpha/sources"	"b43d8c070518038c41108b463c1cbd09bf77fc534adc320e596029005d0ec69d"	"exact both"	"non-host target evidence"	"S7"
"XMS-F-13"	"mips/sources"	"base/mvdm/xms.486/mips/sources"	"nt/private/mvdm/xms.486/mips/sources"	"b3aa4de02b3ff61e635dd5604e38b189e46dcec7681fa7b5255d32fd6422af78"	"exact both"	"non-host target evidence"	"S7"
"XMS-F-14"	"ppc/sources"	"base/mvdm/xms.486/ppc/sources"	"nt/private/mvdm/xms.486/ppc/sources"	"c5fc3cdd5aedef091710cacbe45ed2607f8ed22bc114793930ac97fceded14c0"	"exact both"	"non-host target evidence"	"S7"
"XMS-F-15"	"makefile"	"base/mvdm/xms.486/makefile"	"nt/private/mvdm/xms.486/makefile"	"0e91e3ac947853ae1230c8ae1d9c83bf0b3adfcfd282d84139265f44c9f803f4"	"exact both"	"build description"	"S2"
