"logical_path"	"target_path"	"selected_source"	"selected_sha256"	"role"	"selection_basis"
"public/internal/ds/inc/accessp.h"	"source/public/internal/ds/inc/accessp.h"	"O:\repos.external\opennt\public\internal\ds\inc\accessp.h"	"61f90f0707ea9081d5ef66a20f0b1154a39d320debefef6fac691b9eb065d75d"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/align.h"	"source/public/internal/ds/inc/align.h"	"O:\repos.external\opennt\public\internal\ds\inc\align.h"	"b2922ca133bfd608bf86f33595c1dfb2b325cb31a0e83d4bfe18f0d91795e28f"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/apinums.h"	"source/public/internal/ds/inc/apinums.h"	"O:\repos.external\opennt\public\internal\ds\inc\apinums.h"	"bed7ba3bb424fcfaf7d9b498c7f298f1563bd7abaa1c0198aa8cf10dce54d0e6"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/apiparam.h"	"source/public/internal/ds/inc/apiparam.h"	"O:\repos.external\opennt\public\internal\ds\inc\apiparam.h"	"f5d8f906f3af10302f9e877091661dd3e2ba7d1f6760ce3c8dfb3bffc8e9e462"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/apperr.h"	"source/public/internal/ds/inc/apperr.h"	"O:\repos.external\opennt\public\internal\ds\inc\apperr.h"	"b00b149cd5f3f2ecaadd5522046f11309a765fbf9a244ce854d12df5de30ea4c"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/apperr2.h"	"source/public/internal/ds/inc/apperr2.h"	"O:\repos.external\opennt\public\internal\ds\inc\apperr2.h"	"c88b993249c81b206eb432d578af33c4cf766221e82ff8d2310bc32f31386047"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/candata.h"	"source/public/internal/ds/inc/candata.h"	"O:\repos.external\opennt\public\internal\ds\inc\candata.h"	"bf926f221e8072e114706991aaad25d4cd64851775338050442bc45d24c8db26"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/config.h"	"source/public/internal/ds/inc/config.h"	"O:\repos.external\opennt\public\internal\ds\inc\config.h"	"e246112ea37cc2158e494d3acfebf2d2023603ac1b6c2b4f38971b48e0794578"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/configp.h"	"source/public/internal/ds/inc/configp.h"	"O:\repos.external\opennt\public\internal\ds\inc\configp.h"	"b20d9cc466dad59ea33becfe923824e959a7551cd4db2ea5359d48e6259d053a"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/confname.h"	"source/public/internal/ds/inc/confname.h"	"O:\repos.external\opennt\public\internal\ds\inc\confname.h"	"e992c67363160f99259395503e3fbde72d968e4063b243559fdcf7ec010820f8"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/crypt.h"	"source/public/internal/ds/inc/crypt.h"	"O:\repos.external\opennt\public\internal\ds\inc\crypt.h"	"0a325a131b109964594681317389ac7b7e4dce8f05f6dc553c499203f296c3ed"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/debuglib.h"	"source/public/internal/ds/inc/debuglib.h"	"O:\repos.external\opennt\public\internal\ds\inc\debuglib.h"	"d3f73f4317c039937ba51ef439cff38a721328e5ae7c0a7bccce290e2031ac51"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/dlserver.h"	"source/public/internal/ds/inc/dlserver.h"	"O:\repos.external\opennt\public\internal\ds\inc\dlserver.h"	"517e24032f715358914bafe963eb15d26f10def77330433f24f0c78ea9c2a481"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/dlwksta.h"	"source/public/internal/ds/inc/dlwksta.h"	"O:\repos.external\opennt\public\internal\ds\inc\dlwksta.h"	"386f9dc0bb6dda6d20f651e088dd959d138237a227b0b8603c09229d0cde214f"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/dosprint.h"	"source/public/internal/ds/inc/dosprint.h"	"O:\repos.external\opennt\public\internal\ds\inc\dosprint.h"	"2123d9c40a7cd8073792cfe7ee7cbfb1785282365766d0339b65c0a4e58fabef"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/dosprint.x"	"source/public/internal/ds/inc/dosprint.x"	"O:\repos.external\opennt\public\internal\ds\inc\dosprint.x"	"f0bf6cc55fc7e72a49018f37b970a1f429539c18ae906e43622859b039628eb7"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/dosprtp.h"	"source/public/internal/ds/inc/dosprtp.h"	"O:\repos.external\opennt\public\internal\ds\inc\dosprtp.h"	"e3e2662857ea2fe5ae97642f6a0bef5ea981002660e5a8ceffaacac4f6935d5c"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/hashfunc.h"	"source/public/internal/ds/inc/hashfunc.h"	"O:\repos.external\opennt\public\internal\ds\inc\hashfunc.h"	"b7269c8699f2c057cd86c610d3319df90cb2682770c65493322b3e7d530521e2"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/icanon.h"	"source/public/internal/ds/inc/icanon.h"	"O:\repos.external\opennt\public\internal\ds\inc\icanon.h"	"e837ba030bfb4f55a4e7b8ac4c88f7d54ef5b5ff63434cc2b65111f9c5152799"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/inames.h"	"source/public/internal/ds/inc/inames.h"	"O:\repos.external\opennt\public\internal\ds\inc\inames.h"	"37ea984f29916a41a208009bd041012163cbc4fa2bbf18bbe960cdaea40431e0"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/loghours.h"	"source/public/internal/ds/inc/loghours.h"	"O:\repos.external\opennt\public\internal\ds\inc\loghours.h"	"480cedd1d939dae01a814fd9b7de01f19e9ec136a48c379fb1dbae4fa5e42a94"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/logonmsv.h"	"source/public/internal/ds/inc/logonmsv.h"	"O:\repos.external\opennt\public\internal\ds\inc\logonmsv.h"	"3994307ad3b7520f7574a6b8177125b3d5ba5bf37ce096b3d9611ff978118b37"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/logonp.h"	"source/public/internal/ds/inc/logonp.h"	"O:\repos.external\opennt\public\internal\ds\inc\logonp.h"	"1ba9c0998f616859411488b98518184374da8799f1929cb4145a4f3f8e818749"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/lsaicli.h"	"source/public/internal/ds/inc/lsaicli.h"	"O:\repos.external\opennt\public\internal\ds\inc\lsaicli.h"	"25cbf9c48bd8587f0585ddfdc0ee36061a8a25c9de4db44cb8f473867193028b"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/lsaimp.h"	"source/public/internal/ds/inc/lsaimp.h"	"O:\repos.external\opennt\public\internal\ds\inc\lsaimp.h"	"cc5e6e70456ffd0839df1a53a5d80707ca9b406486d09df94464956a216ebadd"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/lsaisrv.h"	"source/public/internal/ds/inc/lsaisrv.h"	"O:\repos.external\opennt\public\internal\ds\inc\lsaisrv.h"	"71b5b11121b7570dbb56d06024fc55d3f892dc606812bde6d954375ef983d5ff"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/lsarpc.h"	"source/public/internal/ds/inc/lsarpc.h"	"O:\repos.external\opennt\public\internal\ds\inc\lsarpc.h"	"5a742ea3124df63830c53c44ca5b3876555e2d408a62729c02047f393c4c82aa"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/lsass.h"	"source/public/internal/ds/inc/lsass.h"	"O:\repos.external\opennt\public\internal\ds\inc\lsass.h"	"2bb766c27ee8129833a55de4aca5a9e52392570ca5c149fd48a73cc9943a13b6"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/luidate.h"	"source/public/internal/ds/inc/luidate.h"	"O:\repos.external\opennt\public\internal\ds\inc\luidate.h"	"cf1deffbb2680407834a6e7eb00f701668e5f2685bbbce6000f82c74588dd7db"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/luiint.h"	"source/public/internal/ds/inc/luiint.h"	"O:\repos.external\opennt\public\internal\ds\inc\luiint.h"	"358fb0a38675f7b7a0fee83537936919a389a46e63ad08598a0e8dc24cfc57a0"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/luitext.h"	"source/public/internal/ds/inc/luitext.h"	"O:\repos.external\opennt\public\internal\ds\inc\luitext.h"	"1c1625dbe7a69911caf987b382ca3743db46001c304e2202c2b22dfad44bdbac"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/mapsupp.h"	"source/public/internal/ds/inc/mapsupp.h"	"O:\repos.external\opennt\public\internal\ds\inc\mapsupp.h"	"c426d20a0bea1350fd202f7c45638f68647b8c3119acc84ccad83df0385a1d2a"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/msgrutil.h"	"source/public/internal/ds/inc/msgrutil.h"	"O:\repos.external\opennt\public\internal\ds\inc\msgrutil.h"	"1d7491e655e087c3105e604659ce8d156199ce700d2cd9ebf64f9c0598338e6f"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/names.h"	"source/public/internal/ds/inc/names.h"	"O:\repos.external\opennt\public\internal\ds\inc\names.h"	"93adf5f9f1231c9328ed9753b5538f4d96a53d5c459616742f5ba756ddb441e1"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/netcan.h"	"source/public/internal/ds/inc/netcan.h"	"O:\repos.external\opennt\public\internal\ds\inc\netcan.h"	"27999e97f7cb4b948e89d3552f92eb385ddab55d176b9cbada7b3d9a5537ed85"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/netdebug.h"	"source/public/internal/ds/inc/netdebug.h"	"O:\repos.external\opennt\public\internal\ds\inc\netdebug.h"	"6e6acf20d4dcf56f6a51f99152c6792e080ea21db74efc37b6c70f2f5e00ec72"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/netlib.h"	"source/public/internal/ds/inc/netlib.h"	"O:\repos.external\opennt\public\internal\ds\inc\netlib.h"	"d160c2657ce8bd4cd006af505a5325b311fe27a7f80682518adb01771ab5b7c4"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/netlibnt.h"	"source/public/internal/ds/inc/netlibnt.h"	"O:\repos.external\opennt\public\internal\ds\inc\netlibnt.h"	"8545a4ebfe8156e40405fd6a22d6c49b42aaf3b6df1b6254a52b63c330e11ba8"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/netlock.h"	"source/public/internal/ds/inc/netlock.h"	"O:\repos.external\opennt\public\internal\ds\inc\netlock.h"	"dadaefe455d80221691dee11e0304645e4996b8a2195d2e5a61001640ce9ff08"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/netlockp.h"	"source/public/internal/ds/inc/netlockp.h"	"O:\repos.external\opennt\public\internal\ds\inc\netlockp.h"	"5ffef28fad37f08213886c254b491b8a480c1fca9926d47a3d3d3293a3fae9ea"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/netrpc.h"	"source/public/internal/ds/inc/netrpc.h"	"O:\repos.external\opennt\public\internal\ds\inc\netrpc.h"	"df7e7d38b781cc4df30983c15afa98bc30878ae0ed1971ac5fc486733791fc83"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/nlrepl.h"	"source/public/internal/ds/inc/nlrepl.h"	"O:\repos.external\opennt\public\internal\ds\inc\nlrepl.h"	"beb527d9ceefc9e5b152c41871abeba2ea859957f6f9965824637c5ae608e710"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/nticanon.h"	"source/public/internal/ds/inc/nticanon.h"	"O:\repos.external\opennt\public\internal\ds\inc\nticanon.h"	"1d60b2f751de29cc7f8b834740d9fb68e247fd1833cfd241692de249b829a221"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/ntrmlsa.h"	"source/public/internal/ds/inc/ntrmlsa.h"	"O:\repos.external\opennt\public\internal\ds\inc\ntrmlsa.h"	"c819d14b5008d5111e2933a9b0c1133742e2e62a12cb8e48eddb7ee92229b7eb"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/ntsamp.h"	"source/public/internal/ds/inc/ntsamp.h"	"O:\repos.external\opennt\public\internal\ds\inc\ntsamp.h"	"2abbf3e981feb807bb3594c2fd94ebb5755e447c3d18c97e306dfd83fa7fdd30"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/permit.h"	"source/public/internal/ds/inc/permit.h"	"O:\repos.external\opennt\public\internal\ds\inc\permit.h"	"c2d1e8e9e3e7ea4dc11805df0afba7e3e4f532c6ff462428d3d21cf7aefd0013"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/prefix.h"	"source/public/internal/ds/inc/prefix.h"	"O:\repos.external\opennt\public\internal\ds\inc\prefix.h"	"f37544194f395b67176d4e99067e605a4c79269fd6a34a2353b9244d42d32e71"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
