"audit_id"	"source_path"	"owner_package"	"file_kind"	"original_role_group"	"original_subdomain"	"final_product_disposition"	"boundary_owners"	"mapping_instance"	"current_sha256"	"source_evidence"
"MVDM-FILE-0142"	"fax/dirs"	"fax"	"resource-or-other"	"historical-fax-product-resource"	"carrier-or-inactive-form"	"not-host-runtime"	"adapter-mvdm-host-out/wow; adapter-mvdm-host-out/win32; session; broker"	"none; declaration/resource/inactive form"	"C104AF22EBD0B2E0FE03A08D10A499EF1821ADECAFA907E63395B5C528FD26F3"	"fax/dirs; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0143"	"fax/dummy.hlp"	"fax"	"resource-or-other"	"historical-fax-product-resource"	"carrier-or-inactive-form"	"not-host-runtime"	"adapter-mvdm-host-out/wow; adapter-mvdm-host-out/win32; session; broker"	"none; declaration/resource/inactive form"	"12F99F53144294750FE8713D580EDA286F4BD95CD9C840DB8AB957DEF8040028"	"fax/dummy.hlp; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0144"	"fax/dummy.ppd"	"fax"	"resource-or-other"	"historical-fax-product-resource"	"carrier-or-inactive-form"	"not-host-runtime"	"adapter-mvdm-host-out/wow; adapter-mvdm-host-out/win32; session; broker"	"none; declaration/resource/inactive form"	"12F99F53144294750FE8713D580EDA286F4BD95CD9C840DB8AB957DEF8040028"	"fax/dummy.ppd; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0145"	"fax/faxcomm.h"	"fax"	"declaration"	"historical-fax-declaration"	"carrier-or-inactive-form"	"binding-only"	"adapter-mvdm-host-out/wow; adapter-mvdm-host-out/win32; session; broker"	"none; declaration/resource/inactive form"	"3F0EBB1007332C1C02B6B32AF42577992886F5E2447433C0193CC89B988B25F4"	"fax/faxcomm.h; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0146"	"fax/printer.inf"	"fax"	"resource-or-other"	"historical-fax-product-resource"	"carrier-or-inactive-form"	"not-host-runtime"	"adapter-mvdm-host-out/wow; adapter-mvdm-host-out/win32; session; broker"	"none; declaration/resource/inactive form"	"C3F15C09D4556009E6484E1C08D01D8405C9B1080F3B963C31F5955443DE6949"	"fax/printer.inf; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0147"	"fax/wowfax/makefile"	"fax"	"resource-or-other"	"historical-fax-build-or-resource-input"	"carrier-or-inactive-form"	"not-host-runtime"	"adapter-mvdm-host-out/wow; adapter-mvdm-host-out/win32; session; broker"	"none; declaration/resource/inactive form"	"26957856E8A7F42A1740419CF3451497129F1D8284301D42F1A89EE13DD5A459"	"fax/wowfax/makefile; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0148"	"fax/wowfax/sources"	"fax"	"resource-or-other"	"historical-fax-build-or-resource-input"	"carrier-or-inactive-form"	"not-host-runtime"	"adapter-mvdm-host-out/wow; adapter-mvdm-host-out/win32; session; broker"	"none; declaration/resource/inactive form"	"5C5F6E9961909600BBDA91264DA9524D02CEBFC0831A491FDAA003492B2035A8"	"fax/wowfax/sources; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0149"	"fax/wowfax/wowfax.c"	"fax"	"source"	"historical-gdi-driver-provider-body"	"carrier-or-inactive-form"	"not-host-runtime; private GDI driver product shell"	"adapter-mvdm-host-out/wow; adapter-mvdm-host-out/win32; session; broker"	"none; declaration/resource/inactive form"	"CF77AD0A7FAD02C80A872C388EBF5B38D59E69CCA2B84C36D316734C095381D4"	"fax/wowfax/wowfax.c; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0150"	"fax/wowfax/wowfax.def"	"fax"	"resource-or-other"	"historical-fax-product-resource"	"carrier-or-inactive-form"	"not-host-runtime"	"adapter-mvdm-host-out/wow; adapter-mvdm-host-out/win32; session; broker"	"none; declaration/resource/inactive form"	"4C62075FC119FF7C44CBDC554470F044C102BCBC420F8CD3CD4B9F0C12A4F983"	"fax/wowfax/wowfax.def; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0151"	"fax/wowfax/wowfax.rc"	"fax"	"resource-or-other"	"historical-fax-product-resource"	"carrier-or-inactive-form"	"not-host-runtime"	"adapter-mvdm-host-out/wow; adapter-mvdm-host-out/win32; session; broker"	"none; declaration/resource/inactive form"	"ED78F5F9A5046511D4624EAE5CA0D6B13913A6A5CDE23B7AEEE3E9E2478A1120"	"fax/wowfax/wowfax.rc; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
