"source_path"	"current_sha256"	"canonical_source_path"	"canonical_sha256"	"mirror_identity"
"fax/dirs"	"C104AF22EBD0B2E0FE03A08D10A499EF1821ADECAFA907E63395B5C528FD26F3"	"opennt-4.5/nt/private/mvdm/fax/dirs"	"C104AF22EBD0B2E0FE03A08D10A499EF1821ADECAFA907E63395B5C528FD26F3"	"byte-exact"
"fax/dummy.hlp"	"12F99F53144294750FE8713D580EDA286F4BD95CD9C840DB8AB957DEF8040028"	"opennt-4.5/nt/private/mvdm/fax/dummy.hlp"	"12F99F53144294750FE8713D580EDA286F4BD95CD9C840DB8AB957DEF8040028"	"byte-exact"
"fax/dummy.ppd"	"12F99F53144294750FE8713D580EDA286F4BD95CD9C840DB8AB957DEF8040028"	"opennt-4.5/nt/private/mvdm/fax/dummy.ppd"	"12F99F53144294750FE8713D580EDA286F4BD95CD9C840DB8AB957DEF8040028"	"byte-exact"
"fax/faxcomm.h"	"3F0EBB1007332C1C02B6B32AF42577992886F5E2447433C0193CC89B988B25F4"	"opennt-4.5/nt/private/mvdm/fax/faxcomm.h"	"3F0EBB1007332C1C02B6B32AF42577992886F5E2447433C0193CC89B988B25F4"	"byte-exact"
"fax/printer.inf"	"C3F15C09D4556009E6484E1C08D01D8405C9B1080F3B963C31F5955443DE6949"	"opennt-4.5/nt/private/mvdm/fax/printer.inf"	"C3F15C09D4556009E6484E1C08D01D8405C9B1080F3B963C31F5955443DE6949"	"byte-exact"
"fax/wowfax/makefile"	"26957856E8A7F42A1740419CF3451497129F1D8284301D42F1A89EE13DD5A459"	"opennt-4.5/nt/private/mvdm/fax/wowfax/makefile"	"26957856E8A7F42A1740419CF3451497129F1D8284301D42F1A89EE13DD5A459"	"byte-exact"
"fax/wowfax/sources"	"5C5F6E9961909600BBDA91264DA9524D02CEBFC0831A491FDAA003492B2035A8"	"opennt-4.5/nt/private/mvdm/fax/wowfax/sources"	"5C5F6E9961909600BBDA91264DA9524D02CEBFC0831A491FDAA003492B2035A8"	"byte-exact"
"fax/wowfax/wowfax.c"	"CF77AD0A7FAD02C80A872C388EBF5B38D59E69CCA2B84C36D316734C095381D4"	"opennt-4.5/nt/private/mvdm/fax/wowfax/wowfax.c"	"CF77AD0A7FAD02C80A872C388EBF5B38D59E69CCA2B84C36D316734C095381D4"	"byte-exact"
"fax/wowfax/wowfax.def"	"4C62075FC119FF7C44CBDC554470F044C102BCBC420F8CD3CD4B9F0C12A4F983"	"opennt-4.5/nt/private/mvdm/fax/wowfax/wowfax.def"	"4C62075FC119FF7C44CBDC554470F044C102BCBC420F8CD3CD4B9F0C12A4F983"	"byte-exact"
"fax/wowfax/wowfax.rc"	"ED78F5F9A5046511D4624EAE5CA0D6B13913A6A5CDE23B7AEEE3E9E2478A1120"	"opennt-4.5/nt/private/mvdm/fax/wowfax/wowfax.rc"	"ED78F5F9A5046511D4624EAE5CA0D6B13913A6A5CDE23B7AEEE3E9E2478A1120"	"byte-exact"
"fax/wowfax/wowfaxdd.h"	"B198E348FAD62C416D8451DDD24E25F76132786A1CC8AED6A9C4B481F7518129"	"opennt-4.5/nt/private/mvdm/fax/wowfax/wowfaxdd.h"	"B198E348FAD62C416D8451DDD24E25F76132786A1CC8AED6A9C4B481F7518129"	"byte-exact"
"fax/wowfaxui/makefile"	"26957856E8A7F42A1740419CF3451497129F1D8284301D42F1A89EE13DD5A459"	"opennt-4.5/nt/private/mvdm/fax/wowfaxui/makefile"	"26957856E8A7F42A1740419CF3451497129F1D8284301D42F1A89EE13DD5A459"	"byte-exact"
"fax/wowfaxui/sources"	"693B15E2A3FB3CD22B5761BBDB2418D574C075408D5D4AE6AA6CB9CE3E705852"	"opennt-4.5/nt/private/mvdm/fax/wowfaxui/sources"	"693B15E2A3FB3CD22B5761BBDB2418D574C075408D5D4AE6AA6CB9CE3E705852"	"byte-exact"
"fax/wowfaxui/wfhelper.c"	"BF8CD7FE0A51E9339B98C1CED13A7D295A25A0F49DC08BE83D7C07E1B6785BEC"	"opennt-4.5/nt/private/mvdm/fax/wowfaxui/wfhelper.c"	"BF8CD7FE0A51E9339B98C1CED13A7D295A25A0F49DC08BE83D7C07E1B6785BEC"	"byte-exact"
