target_path	role	source_edition	selected_source_path	alternate_source_paths	source_sha256	target_sha256	selection	import_action	product_boundary
"tools/opennt/tools16/buildidx.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\buildidx.exe"	""	"6a301eaee8ea8516e541da2a61a22f1db7d09b15c278a88a8d73083aac0f4d91"	"6a301eaee8ea8516e541da2a61a22f1db7d09b15c278a88a8d73083aac0f4d91"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/buildmsg.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\buildmsg.exe"	""	"0d8ea59396a769e440549322a2ec9d1ab70423147e702ef1b1f42606cadd50cd"	"0d8ea59396a769e440549322a2ec9d1ab70423147e702ef1b1f42606cadd50cd"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/c1.err"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT;OpenNT-4.5"	"O:\repos.external\OpenNT\base\mvdm\tools16\c1.err"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\c1.err"	"2f6af4a7ca7dd061e340f517609482fd263845f2f2b9ed837490a3a980d5018d"	"2f6af4a7ca7dd061e340f517609482fd263845f2f2b9ed837490a3a980d5018d"	"dual-identical"	"already-identical"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/c13216.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\c13216.exe"	""	"3170a7c6e90faa3fc593d7b8514c8e23d67e8bd5de0eb3d8173c8b89bbe1fa1c"	"3170a7c6e90faa3fc593d7b8514c8e23d67e8bd5de0eb3d8173c8b89bbe1fa1c"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/c1xx3216.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\c1xx3216.exe"	""	"86f1b2f4411fc9ad48030c0503d92f53d93be9f020404ce8bd32cf3d67fd41d1"	"86f1b2f4411fc9ad48030c0503d92f53d93be9f020404ce8bd32cf3d67fd41d1"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/c23.err"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT;OpenNT-4.5"	"O:\repos.external\OpenNT\base\mvdm\tools16\c23.err"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\c23.err"	"816cf9ee6deddd4cbb1655f5aba516b9471b6cf6494de9d44e52d9d59d73e6ff"	"816cf9ee6deddd4cbb1655f5aba516b9471b6cf6494de9d44e52d9d59d73e6ff"	"dual-identical"	"already-identical"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/c23216.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\c23216.exe"	""	"153f14c922089c962fe42668bfc38d3a68adeead50d65e0e6a196dfc56b211cc"	"153f14c922089c962fe42668bfc38d3a68adeead50d65e0e6a196dfc56b211cc"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/c23pcd.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\c23pcd.exe"	""	"5a4820b00a5e6310ae5d2976423b8359e97f475e7f1c597f39cedd450c975fd8"	"5a4820b00a5e6310ae5d2976423b8359e97f475e7f1c597f39cedd450c975fd8"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/c33216.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\c33216.exe"	""	"e38b304e6f3f3abf9b7afcc2d4867bd19bb89c2789436aa96f91c8333c7ab044"	"e38b304e6f3f3abf9b7afcc2d4867bd19bb89c2789436aa96f91c8333c7ab044"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/cl.def"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT;OpenNT-4.5"	"O:\repos.external\OpenNT\base\mvdm\tools16\cl.def"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\cl.def"	"9aef258da8e4a37245306b7e238ae89c6099c323149881e1c42e5e0cdde4e9ba"	"9aef258da8e4a37245306b7e238ae89c6099c323149881e1c42e5e0cdde4e9ba"	"dual-identical"	"already-identical"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
