source_root	source_relative_path	target_path	disposition	size_bytes	source_sha256	target_sha256	copy_applied
O:\repos.external\opennt-src-2\nt\private\mvdm	bde/bde.def	src/mvdm-host/bde/bde.def	already-tracked-identical	176	cfb2deeb3c42a282c4cf19aa8cf13d3408b007ceb42dc21c1b098e0b7da16979	cfb2deeb3c42a282c4cf19aa8cf13d3408b007ceb42dc21c1b098e0b7da16979	no
O:\repos.external\opennt-src-2\nt\private\mvdm	bde/bde.h	src/mvdm-host/bde/bde.h	already-tracked-identical	11074	e85678f92da6f86f65e30b38530ccda84a03d632ee39917d5b3eec81d1a8fc8e	e85678f92da6f86f65e30b38530ccda84a03d632ee39917d5b3eec81d1a8fc8e	no
O:\repos.external\opennt-src-2\nt\private\mvdm	bde/bdecmds.c	src/mvdm-host/bde/bdecmds.c	already-tracked-identical	13210	ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e	ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e	no
O:\repos.external\opennt-src-2\nt\private\mvdm	bde/bdeheap.c	src/mvdm-host/bde/bdeheap.c	already-tracked-identical	6844	d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a	d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a	no
O:\repos.external\opennt-src-2\nt\private\mvdm	bde/bdemisc.c	src/mvdm-host/bde/bdemisc.c	already-tracked-identical	9573	0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b	0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b	no
O:\repos.external\opennt-src-2\nt\private\mvdm	bde/bdestack.c	src/mvdm-host/bde/bdestack.c	already-tracked-identical	19345	d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c	d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c	no
O:\repos.external\opennt-src-2\nt\private\mvdm	bde/bdesym.c	src/mvdm-host/bde/bdesym.c	already-tracked-identical	28787	c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096	c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096	no
O:\repos.external\opennt-src-2\nt\private\mvdm	bde/bdeutil.c	src/mvdm-host/bde/bdeutil.c	already-tracked-identical	14710	0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b	0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b	no
O:\repos.external\opennt-src-2\nt\private\mvdm	bde/data.c	src/mvdm-host/bde/data.c	already-tracked-identical	854	5da2d4e3cd95333273f4c136686f91774685bb017aad14e59e1316c45a601f16	5da2d4e3cd95333273f4c136686f91774685bb017aad14e59e1316c45a601f16	no
O:\repos.external\opennt-src-2\nt\private\mvdm	bde/disasm.c	src/mvdm-host/bde/disasm.c	already-tracked-identical	42141	8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417	8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417	no
