signature_gate_id	one_ledger1_identity	caller_physical_identity	callee_spelling	selected_definition_identity	selected_definition_path	source_class	planning_disposition	proposed_owner	next_action
"MVDM-HOST-ONE1-SIGNATURE-000001"	"MVDM-HOST-ONE1-000083"	"MVDM-HOST-ONE1-RESOLUTION-000039"	"ReadByte"	"O:\repos.external\OpenNT|com/oleaut32/typelib/fstream.cxx|9c94dce5df44d225336ef2becef25ac3e095f3cddbbfd2d62280827cf7154f82|130|ReadByte"	"com/oleaut32/typelib/fstream.cxx"	"oleaut-public-abi-candidate"	"public COM/OLE ABI candidate"	"adapter-mvdm-host-out/win32"	"verify the exact reached ABI against public COM/OLE before importing historical OLE source"
"MVDM-HOST-ONE1-SIGNATURE-000006"	"MVDM-HOST-ONE1-000475"	"MVDM-HOST-ONE1-RESOLUTION-000385"	"memcpy"	"O:\repos.external\OpenNT|base/crts/crtw32/string/memcpy.c|f027e21ead08f51c38cb0f8e3e9070c6ff35d57e7b738996100a726ca59ed641|60|memcpy"	"base/crts/crtw32/string/memcpy.c"	"public-crt-leaf"	"public CRT leaf"	"MSVC CRT"	"verify calling convention and source expectation; do not import historical CRT body by default"
"MVDM-HOST-ONE1-SIGNATURE-000007"	"MVDM-HOST-ONE1-000511"	"MVDM-HOST-ONE1-RESOLUTION-000421"	"GetEnvironmentVariableOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/process.c|38c9125f9f3c43f32f696616e565e63b8f056da7ec264d980a5e5278cc640468|564|GetEnvironmentVariableOem"	"base/mvdm/oemuni/process.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000008"	"MVDM-HOST-ONE1-000545"	"MVDM-HOST-ONE1-RESOLUTION-000455"	"GetNextVDMCommand"	"O:\repos.external\OpenNT|base/win32/client/vdm.c|3f03d0dbb08e0163f2d9cf415daad0981e42e1b1855f6f48a3b59022b7374173|340|GetNextVDMCommand"	"base/win32/client/vdm.c"	"baseclient-candidate"	"OpenNT BaseClient package candidate"	"opennt-host / BaseClient"	"inspect only the reached client source closure through public Win32 or named BaseSrv boundary"
"MVDM-HOST-ONE1-SIGNATURE-000009"	"MVDM-HOST-ONE1-000570"	"MVDM-HOST-ONE1-RESOLUTION-000480"	"GetNextVDMCommand"	"O:\repos.external\OpenNT|base/win32/client/vdm.c|3f03d0dbb08e0163f2d9cf415daad0981e42e1b1855f6f48a3b59022b7374173|340|GetNextVDMCommand"	"base/win32/client/vdm.c"	"baseclient-candidate"	"OpenNT BaseClient package candidate"	"opennt-host / BaseClient"	"inspect only the reached client source closure through public Win32 or named BaseSrv boundary"
"MVDM-HOST-ONE1-SIGNATURE-000010"	"MVDM-HOST-ONE1-000577"	"MVDM-HOST-ONE1-RESOLUTION-000485"	"GetNextVDMCommand"	"O:\repos.external\OpenNT|base/win32/client/vdm.c|3f03d0dbb08e0163f2d9cf415daad0981e42e1b1855f6f48a3b59022b7374173|340|GetNextVDMCommand"	"base/win32/client/vdm.c"	"baseclient-candidate"	"OpenNT BaseClient package candidate"	"opennt-host / BaseClient"	"inspect only the reached client source closure through public Win32 or named BaseSrv boundary"
"MVDM-HOST-ONE1-SIGNATURE-000011"	"MVDM-HOST-ONE1-000586"	"MVDM-HOST-ONE1-RESOLUTION-000492"	"GetNextVDMCommand"	"O:\repos.external\OpenNT|base/win32/client/vdm.c|3f03d0dbb08e0163f2d9cf415daad0981e42e1b1855f6f48a3b59022b7374173|340|GetNextVDMCommand"	"base/win32/client/vdm.c"	"baseclient-candidate"	"OpenNT BaseClient package candidate"	"opennt-host / BaseClient"	"inspect only the reached client source closure through public Win32 or named BaseSrv boundary"
"MVDM-HOST-ONE1-SIGNATURE-000012"	"MVDM-HOST-ONE1-000618"	"MVDM-HOST-ONE1-RESOLUTION-000522"	"nt_init_event_thread"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_fulsc.c|e7dc683be45a04b63d783ae91263f55d50bf41aac480d7bac1a302f19205934c|170|nt_init_event_thread"	"base/mvdm/softpc.new/host/src/nt_fulsc.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000013"	"MVDM-HOST-ONE1-000622"	"MVDM-HOST-ONE1-RESOLUTION-000526"	"GetDriveTypeOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|756|GetDriveTypeOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000014"	"MVDM-HOST-ONE1-000628"	"MVDM-HOST-ONE1-RESOLUTION-000532"	"SetVDMCurrentDirectories"	"O:\repos.external\OpenNT|base/win32/client/vdm.c|3f03d0dbb08e0163f2d9cf415daad0981e42e1b1855f6f48a3b59022b7374173|804|SetVDMCurrentDirectories"	"base/win32/client/vdm.c"	"baseclient-candidate"	"OpenNT BaseClient package candidate"	"opennt-host / BaseClient"	"inspect only the reached client source closure through public Win32 or named BaseSrv boundary"
