slot	slot_declaration_line	slot_return_type	slot_canonical_return_type	selected_implementation	selected_assignment_line	generated_declaration_line	generated_return_type	generated_canonical_return_type	generated_arity	generated_parameters	generated_canonical_parameters	public_declaration_line	public_return_type	public_canonical_return_type	public_arity	public_parameters	public_canonical_parameters	review_focus
getAX_func	61	word	u16	c_getAX	216	1236	IU16	u16	0									selected-zero-argument-contract-observed
getAH_func	62	half_word	u8	c_getAH	217	1223	IU8	u8	0									selected-zero-argument-contract-observed
getAL_func	63	half_word	u8	c_getAL	218	1210	IU8	u8	0									selected-zero-argument-contract-observed
getBX_func	64	word	u16	c_getBX	219	1288	IU16	u16	0									selected-zero-argument-contract-observed
getBH_func	65	half_word	u8	c_getBH	220	1275	IU8	u8	0									selected-zero-argument-contract-observed
getBL_func	66	half_word	u8	c_getBL	221	1262	IU8	u8	0									selected-zero-argument-contract-observed
getCX_func	67	word	u16	c_getCX	222	1340	IU16	u16	0									selected-zero-argument-contract-observed
getCH_func	68	half_word	u8	c_getCH	223	1327	IU8	u8	0									selected-zero-argument-contract-observed
getCL_func	69	half_word	u8	c_getCL	224	1314	IU8	u8	0									selected-zero-argument-contract-observed
getDX_func	70	word	u16	c_getDX	225	1392	IU16	u16	0									selected-zero-argument-contract-observed
getDH_func	71	half_word	u8	c_getDH	226	1379	IU8	u8	0									selected-zero-argument-contract-observed
getDL_func	72	half_word	u8	c_getDL	227	1366	IU8	u8	0									selected-zero-argument-contract-observed
getSP_func	73	word	u16	c_getSP	228	1470	IU16	u16	0									selected-zero-argument-contract-observed
getBP_func	74	word	u16	c_getBP	229	1496	IU16	u16	0									selected-zero-argument-contract-observed
getSI_func	75	word	u16	c_getSI	230	1418	IU16	u16	0									selected-zero-argument-contract-observed
getDI_func	76	word	u16	c_getDI	231	1444	IU16	u16	0									selected-zero-argument-contract-observed
getIP_func	77	word	u16	c_getIP	232	1522	IU16	u16	0									selected-zero-argument-contract-observed
getCS_func	78	word	u16	c_getCS	233	1548	IU16	u16	0									selected-zero-argument-contract-observed
getDS_func	79	word	u16	c_getDS	234	1574	IU16	u16	0									selected-zero-argument-contract-observed
