record_id	macro	original_line	original_offset	declared_type	same_offset_macros	x64_overlay_disposition
T310-S8-P4-GDP-0001	GLOBAL_HookNumber	3	0	IUH *	GLOBAL_HookNumber	candidate-generated-typed-slot
T310-S8-P4-GDP-0002	GLOBAL_EfiNumber	4	4	IUH *	GLOBAL_EfiNumber	candidate-generated-typed-slot
T310-S8-P4-GDP-0003	GLOBAL_SubrRingPtr	5	8	IUH* *	GLOBAL_SubrRingPtr	candidate-generated-typed-slot
T310-S8-P4-GDP-0004	GLOBAL_SubrRingLowIncl	6	12	IUH* *	GLOBAL_SubrRingLowIncl	candidate-generated-typed-slot
T310-S8-P4-GDP-0005	GLOBAL_SubrRingHighIncl	7	16	IUH* *	GLOBAL_SubrRingHighIncl	candidate-generated-typed-slot
T310-S8-P4-GDP-0006	GLOBAL_WhichAssertion	8	20	IUH *	GLOBAL_WhichAssertion	candidate-generated-typed-slot
T310-S8-P4-GDP-0007	GLOBAL_WhereAmI	9	24	IU32* *	GLOBAL_WhereAmI	candidate-generated-typed-slot
T310-S8-P4-GDP-0008	GLOBAL_CoRoRet	10	28	IUH *	GLOBAL_CoRoRet	candidate-generated-typed-slot
T310-S8-P4-GDP-0009	GLOBAL_ErrorNumber	11	32	IUH *	GLOBAL_ErrorNumber	candidate-generated-typed-slot
T310-S8-P4-GDP-0010	GLOBAL_EDL_WORKSPACE_0	12	36	IUH *	GLOBAL_EDL_WORKSPACE_0	candidate-generated-typed-slot
T310-S8-P4-GDP-0011	GLOBAL_EDL_WORKSPACE_1	13	40	IUH *	GLOBAL_EDL_WORKSPACE_1	candidate-generated-typed-slot
T310-S8-P4-GDP-0012	GLOBAL_EDL_WORKSPACE_2	14	44	IUH *	GLOBAL_EDL_WORKSPACE_2	candidate-generated-typed-slot
T310-S8-P4-GDP-0013	GLOBAL_EDL_WORKSPACE_3	15	48	IUH *	GLOBAL_EDL_WORKSPACE_3	candidate-generated-typed-slot
T310-S8-P4-GDP-0014	GLOBAL_EDL_WORKSPACE_4	16	52	IUH *	GLOBAL_EDL_WORKSPACE_4	candidate-generated-typed-slot
T310-S8-P4-GDP-0015	GLOBAL_EDL_WORKSPACE_5	17	56	IUH *	GLOBAL_EDL_WORKSPACE_5	candidate-generated-typed-slot
T310-S8-P4-GDP-0016	GLOBAL_EDL_WORKSPACE_6	18	60	IUH *	GLOBAL_EDL_WORKSPACE_6	candidate-generated-typed-slot
T310-S8-P4-GDP-0017	GLOBAL_EDL_WORKSPACE_7	19	64	IUH *	GLOBAL_EDL_WORKSPACE_7	candidate-generated-typed-slot
T310-S8-P4-GDP-0018	GLOBAL_EDL_WORKSPACE_8	20	68	IUH *	GLOBAL_EDL_WORKSPACE_8	candidate-generated-typed-slot
T310-S8-P4-GDP-0019	GLOBAL_EDL_WORKSPACE_9	21	72	IUH *	GLOBAL_EDL_WORKSPACE_9	candidate-generated-typed-slot
T310-S8-P4-GDP-0020	GLOBAL_EDL_WORKSPACE_10	22	76	IUH *	GLOBAL_EDL_WORKSPACE_10	candidate-generated-typed-slot
T310-S8-P4-GDP-0021	GLOBAL_EDL_WORKSPACE_11	23	80	IUH *	GLOBAL_EDL_WORKSPACE_11	candidate-generated-typed-slot
T310-S8-P4-GDP-0022	GLOBAL_EDL_WORKSPACE_12	24	84	IUH *	GLOBAL_EDL_WORKSPACE_12	candidate-generated-typed-slot
T310-S8-P4-GDP-0023	GLOBAL_EDL_WORKSPACE_13	25	88	IUH *	GLOBAL_EDL_WORKSPACE_13	candidate-generated-typed-slot
T310-S8-P4-GDP-0024	GLOBAL_EDL_WORKSPACE_14	26	92	IUH *	GLOBAL_EDL_WORKSPACE_14	candidate-generated-typed-slot
T310-S8-P4-GDP-0025	GLOBAL_EDL_WORKSPACE_15	27	96	IUH *	GLOBAL_EDL_WORKSPACE_15	candidate-generated-typed-slot
T310-S8-P4-GDP-0026	GLOBAL_EDL_WORKSPACE_16	28	100	IUH *	GLOBAL_EDL_WORKSPACE_16	candidate-generated-typed-slot
T310-S8-P4-GDP-0027	GLOBAL_EDL_WORKSPACE_17	29	104	IUH *	GLOBAL_EDL_WORKSPACE_17	candidate-generated-typed-slot
T310-S8-P4-GDP-0028	GLOBAL_EDL_WORKSPACE_18	30	108	IUH *	GLOBAL_EDL_WORKSPACE_18	candidate-generated-typed-slot
T310-S8-P4-GDP-0029	GLOBAL_EDL_WORKSPACE_19	31	112	IUH *	GLOBAL_EDL_WORKSPACE_19	candidate-generated-typed-slot
T310-S8-P4-GDP-0030	GLOBAL_EDL_WORKSPACE_20	32	116	IUH *	GLOBAL_EDL_WORKSPACE_20	candidate-generated-typed-slot
T310-S8-P4-GDP-0031	GLOBAL_EDL_WORKSPACE_21	33	120	IUH *	GLOBAL_EDL_WORKSPACE_21	candidate-generated-typed-slot
T310-S8-P4-GDP-0032	GLOBAL_EDL_WORKSPACE_22	34	124	IUH *	GLOBAL_EDL_WORKSPACE_22	candidate-generated-typed-slot
T310-S8-P4-GDP-0033	GLOBAL_EDL_WORKSPACE_23	35	128	IUH *	GLOBAL_EDL_WORKSPACE_23	candidate-generated-typed-slot
T310-S8-P4-GDP-0034	GLOBAL_EDL_WORKSPACE_24	36	132	IUH *	GLOBAL_EDL_WORKSPACE_24	candidate-generated-typed-slot
T310-S8-P4-GDP-0035	GLOBAL_EDL_WORKSPACE_25	37	136	IUH *	GLOBAL_EDL_WORKSPACE_25	candidate-generated-typed-slot
