coverage_id	review_cluster	static_candidate_count	classification_record_count	current_worklist_count	current_dispositions	prior_evidence_to_reread	coverage_state	mandatory_cluster_action
T310-S8-P4-COVERAGE-001	MVDM-BDE-OWNER-PACKAGE	14	0	0		-	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-002	MVDM-DBG-OWNER-PACKAGE	40	0	0		-	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-003	MVDM-DOS-OWNER-PACKAGE	11	189	68	must-read-old-style-call-contract:9;must-read-x64-narrowing:3;must-repair-call-abi:5;nonwidth-source-quality-not-current-blocker:118;nonwidth-unless-call-contract-evidence:3;read-value-range-and-architecture-delta:14;unclassified-read-source:37	docs/etc/evidence/m0-t310-s8-p4-command-environment-native-width-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-command-host-record-alignment-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-command-multisz-pointer-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-command-pipe-worker-callback-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-command-rtl-environment-binding-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-dem-host-handle-abi-closure-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-004	MVDM-DPMI32-OWNER-PACKAGE	68	0	0		-	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-005	MVDM-FAX-OWNER-PACKAGE	7	0	0		-	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-006	MVDM-IEUVDDEX-OWNER-PACKAGE	162	0	0		-	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-007	MVDM-SIM32-OWNER-PACKAGE	2	8	2	nonwidth-unless-call-contract-evidence:6;read-value-range-and-architecture-delta:2	docs/etc/evidence/m0-t310-s8-p4-vdd-umb-current-source-revalidation-001.md;docs/etc/evidence/m0-t310-s8-p4-vdd-umb-numeric-address-abi-closure-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-008	MVDM-SUPPORT-LIBRARY	32	32	0	direct-original-runtime-body:3;binding-only-later-owner-header:29	docs/etc/evidence/m0-t310-s29-p1-host-configuration-source-assembly-001.md;docs/etc/evidence/m0-t310-s34-mvdm-support-library-closure-001.md	closed-source-package	retain exact original suballoc.c and oemuni/file.c+process.c selections; historical UMTEST bodies stay not-host-runtime; later XMS/DPMI/Redirector/WOW consumers retain their named owner packets
T310-S8-P4-COVERAGE-009	MVDM-VDD-OWNER-PACKAGE	4	0	0		-	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-010	MVDM-VDMDBG-OWNER-PACKAGE	5	0	0		-	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-011	MVDM-VDMEXTS-OWNER-PACKAGE	104	0	0		-	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-012	MVDM-VDMREDIR-OWNER-PACKAGE	23	0	0		-	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-013	MVDM-WOW32-OWNER-PACKAGE	200	0	0		-	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-014	MVDM-XMS.486-OWNER-PACKAGE	8	3	1	must-repair-call-abi:1;nonwidth-unless-call-contract-evidence:2	docs/etc/evidence/m0-t310-s8-p4-xms-a20-call-contract-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-xms-guest-address-abi-closure-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-015	P4-GLOBAL-BASELINE	0	0	0		docs/etc/evidence/m0-t310-s8-p4-selected-softpc-contract-reading-001.md;docs/etc/evidence/m0-t310-s8-p4-whole-tree-current-abi-baseline-001.md;docs/etc/evidence/m0-t310-s8-p4-whole-tree-current-baseline-001.md;docs/etc/evidence/m0-t310-s8-p4-whole-tree-formal-architecture-delta-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-016	SPC-BIOS-FIRMWARE-BINDINGS	2	27	23	must-read-old-style-call-contract:3;must-read-x64-narrowing:1;must-repair-call-abi:1;nonwidth-source-quality-not-current-blocker:4;read-value-range-and-architecture-delta:16;unclassified-read-source:2	docs/etc/evidence/m0-t310-s8-p4-rom-scratch-length-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-softpc-startup-call-contract-closure-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-017	SPC-CCPU-ACCESS-TABLE	611	0	0		-	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-018	SPC-CCPU-EXECUTOR-DISPATCH	79	505	242	must-read-old-style-call-contract:1;must-read-x64-narrowing:1;must-repair-call-abi:1;must-repair-control-or-result-contract:2;nonwidth-source-quality-not-current-blocker:147;nonwidth-unless-call-contract-evidence:16;not-x86-x64-fixed-width-ccpu-operand-contract:100;read-value-range-and-architecture-delta:192;unclassified-read-source:45	docs/etc/evidence/m0-t310-s8-p4-ccpu-edl-fast-bop-default-contract-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-ccpu-effective-address-recovery-001.md;docs/etc/evidence/m0-t310-s8-p4-ccpu-eflags-contract-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-ccpu-executor-call-contract-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-ccpu-fixed-width-operand-call-disposition-001.md;docs/etc/evidence/m0-t310-s8-p4-ccpu-fixed-width-scalar-disposition-001.md;docs/etc/evidence/m0-t310-s8-p4-ccpu-fixed-width-signedness-disposition-001.md;docs/etc/evidence/m0-t310-s8-p4-ccpu-host-getenv-abi-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-ccpu-instruction-delta-width-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-ccpu-note486-call-contract-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-ccpu-original-call-declaration-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-ccpu-private-call-contract-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-ccpu-sas-monitor-boundary-audit-001.md;docs/etc/evidence/m0-t310-s8-p4-ccpu-vector-defaults-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-ccpu-vglob-native-pointer-contract-audit-001.md;docs/etc/evidence/m0-t310-s8-p4-ccpu-vglob-native-pointer-contract-audit-001.md;docs/etc/evidence/m0-t310-s8-p4-ccpu-video-rule-storage-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-ccpusas4-x86-x64-classification-001.md;docs/etc/evidence/m0-t310-s8-p4-selected-ccpu-access-table-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-vglob-generated-slot-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-zfrsrvd-x86-x64-classification-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-019	SPC-COMMS-CONTROLLER-CALLBACKS	2	24	17	must-repair-call-abi:2;nonwidth-source-quality-not-current-blocker:7;read-value-range-and-architecture-delta:15	docs/etc/evidence/m0-t310-s8-p4-comms-native-transport-closure-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-020	SPC-CVIDC-GENERATED-DISPATCH	0	17542	46	must-repair-control-or-result-contract:42;nonwidth-source-quality-not-current-blocker:17361;nonwidth-unless-call-contract-evidence:135;read-value-range-and-architecture-delta:4	docs/etc/evidence/m0-t310-s8-p4-copy-fill-current-source-revalidation-001.md;docs/etc/evidence/m0-t310-s8-p4-copy-fnc-native-alignment-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-cvidc-direct-pointer-profile-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-cvidc-fixed-width-bios-write-disposition-001.md;docs/etc/evidence/m0-t310-s8-p4-cvidc-generated-crules-control-disposition-001.md;docs/etc/evidence/m0-t310-s8-p4-cvidc-generated-interface-audit-001.md;docs/etc/evidence/m0-t310-s8-p4-cvidc-generated-table-abi-audit-001.md;docs/etc/evidence/m0-t310-s8-p4-cvidc-mark-rule-declaration-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-cvidc-native-callback-contract-closure-002.md;docs/etc/evidence/m0-t310-s8-p4-cvidc-native-word-shift-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-cvidc-native-word-varargs-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-cvidc-runtime-error-call-contract-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-cvidc-selected-glue-abi-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-native-c-varargs-call-contract-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-nt-cpu-generated-gdp-debug-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-selected-gdp-layout-audit-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-021	SPC-DEBUG-UNSELECTED	6	0	0		-	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-022	SPC-HOST-BOP-BINDING	14	8	0	nonwidth-source-quality-not-current-blocker:8	docs/etc/evidence/m0-t310-s8-p4-ccpu-edl-fast-bop-default-contract-closure-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
