cluster_id	review_cluster	raw_occurrence_count	unique_source_diagnostic_count	source_file_count	warning_counts	review_state	required_source_review
T310-S8-P4-WARN-CLUSTER-001	SPC-HOST-PLATFORM-BINDINGS	445	123	8	C4005:308;C4996:40;C4431:28;C4100:18;C4131:10;C4244:9;C4013:8;C4057:4;C4142:4;C4311:4;C4312:4;C4101:2;C4133:2;C4189:2;C4213:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-002	SPC-INPUT-CONTROLLER-CALLBACKS	360	360	4	C4100:218;C4244:88;C4431:16;C4101:14;C4013:10;C4131:6;C4996:4;C4245:2;C4706:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-003	SPC-CCPU-EXECUTOR-DISPATCH	339	339	7	C4244:219;C4100:52;C4013:28;C4033:6;C4101:6;C4389:6;C4018:4;C4024:4;C4047:4;C4996:4;C4113:2;C4431:2;C4456:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-004	SPC-HOST-VIDEO-BINDINGS	200	198	2	C4131:74;C4244:62;C4100:38;C4211:10;C4431:8;C4305:4;C4013:2;C4142:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-005	SPC-STORAGE-CONTROLLER-CALLBACKS	176	176	6	C4431:72;C4244:52;C4100:44;C4245:4;C4102:2;C4189:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-006	SPC-CVIDC-GENERATED-DISPATCH	118	84	2	C4431:68;C4152:32;C4244:8;C4113:4;C4013:2;C4100:2;C4133:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-007	SPC-OTHER-MACHINE-SOURCE	107	79	3	C4005:30;C4244:16;C4101:14;C4312:9;C4057:8;C4245:6;C4311:6;C4013:4;C4047:4;C4996:4;C4028:2;C4100:2;C4115:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-008	SPC-HOST-INPUT-BINDINGS	85	85	2	C4100:28;C4101:14;C4311:13;C4244:10;C4013:6;C4312:4;C4047:2;C4057:2;C4189:2;C4431:2;C4552:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-009	SPC-BIOS-FIRMWARE-BINDINGS	72	72	4	C4244:33;C4013:14;C4018:4;C4101:4;C4996:4;C4312:3;C4131:2;C4305:2;C4310:2;C4311:2;C4431:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-010	SPC-SYSTEM-CONTROLLER-CALLBACKS	55	55	6	C4244:20;C4101:10;C4100:6;C4245:4;C4005:2;C4067:2;C4127:2;C4201:2;C4267:2;C4706:2;C4996:2;C4311:1	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
