record_id	architecture	source_path	source_line	warning	message	occurrence_count	review_cluster	source_review_requirement	disposition
T310-S8-P4-WARN-000001	x64	src/mvdm-host/dos/command/cmd.c	23	C4100	'argv': unreferenced formal parameter	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000002	x64	src/mvdm-host/dos/command/cmd.c	23	C4100	'argc': unreferenced formal parameter	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000003	x64	src/mvdm-host/dos/command/cmd.c	23	C4131	'CMDInit': uses old-style declarator	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000004	x86	src/mvdm-host/dos/command/cmd.c	23	C4100	'argv': unreferenced formal parameter	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000005	x86	src/mvdm-host/dos/command/cmd.c	23	C4100	'argc': unreferenced formal parameter	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000006	x86	src/mvdm-host/dos/command/cmd.c	23	C4131	'CMDInit': uses old-style declarator	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000007	x64	src/mvdm-host/dos/command/cmdconf.c	226	C4312	'type cast': conversion from 'unsigned int' to 'HANDLE' of greater size	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000008	x64	src/mvdm-host/dos/command/cmdconf.c	325	C4267	'=': conversion from 'size_t' to 'DWORD', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000009	x64	src/mvdm-host/dos/command/cmdconf.c	380	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000010	x86	src/mvdm-host/dos/command/cmdconf.c	380	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000011	x64	src/mvdm-host/dos/command/cmdconf.c	405	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000012	x86	src/mvdm-host/dos/command/cmdconf.c	405	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000013	x64	src/mvdm-host/dos/command/cmdconf.c	487	C4996	'sprintf': This function or variable may be unsafe. Consider using sprintf_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000014	x86	src/mvdm-host/dos/command/cmdconf.c	487	C4996	'sprintf': This function or variable may be unsafe. Consider using sprintf_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000015	x64	src/mvdm-host/dos/command/cmdconf.c	490	C4267	'function': conversion from 'size_t' to 'DWORD', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000016	x64	src/mvdm-host/dos/command/cmdconf.c	507	C4996	'sprintf': This function or variable may be unsafe. Consider using sprintf_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000017	x86	src/mvdm-host/dos/command/cmdconf.c	507	C4996	'sprintf': This function or variable may be unsafe. Consider using sprintf_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000018	x64	src/mvdm-host/dos/command/cmdconf.c	510	C4267	'function': conversion from 'size_t' to 'DWORD', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000019	x64	src/mvdm-host/dos/command/cmdconf.c	531	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000020	x86	src/mvdm-host/dos/command/cmdconf.c	531	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
