record_id	source_path	owner_package	review_cluster	profile_class	source_line	candidate_kind	symbol	source_excerpt	review_requirement	x86_x64_disposition
T310-S8-P4-ABI-000001	src/mvdm-host/bde/bde.h	bde	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	234	architecture-conditional	-	#ifndef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000002	src/mvdm-host/bde/bdemisc.c	bde	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	245	architecture-conditional	-	#ifndef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000003	src/mvdm-host/bde/bdeutil.c	bde	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	15	function-pointer-indirect-call	ReadProcessMemWinDbg	return (*ReadProcessMemWinDbg)( (DWORD)lpBaseAddress, lpBuffer, nSize, lpNumberOfBytesRead );	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000004	src/mvdm-host/bde/bdeutil.c	bde	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	32	function-pointer-indirect-call	WriteProcessMemWinDbg	return (*WriteProcessMemWinDbg)( (DWORD)lpBaseAddress, lpBuffer, nSize, lpNumberOfBytesWritten );	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000005	src/mvdm-host/bde/bdeutil.c	bde	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	39	architecture-conditional	-	#ifndef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000006	src/mvdm-host/bde/bdeutil.c	bde	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	106	architecture-conditional	-	#ifndef i386 //	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000007	src/mvdm-host/bde/bdeutil.c	bde	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	230	architecture-conditional	-	#ifndef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000008	src/mvdm-host/bde/bdeutil.c	bde	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	375	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000009	src/mvdm-host/bde/bdeutil.c	bde	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	436	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000010	src/mvdm-host/bde/bdeutil.c	bde	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	452	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000011	src/mvdm-host/bde/bdeutil.c	bde	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	498	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000012	src/mvdm-host/bde/disasm.c	bde	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	215	function-pointer-declaration-or-slot	pfn	int (*pfn)(LPBYTE);	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000013	src/mvdm-host/bde/disasm.c	bde	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	215	function-pointer-indirect-call	pfn	int (*pfn)(LPBYTE);	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000014	src/mvdm-host/bde/precomp.h	bde	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	10	architecture-conditional	-	#if defined (i386)	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000015	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	189	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000016	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	200	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000017	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	239	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000018	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	302	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
