classification_id	source_path	source_line	warning	message	architectures	review_cluster	x86_x64_disposition	required_next_read	source_records
T310-S8-P4-CLASS-000003	src/mvdm-host/dos/command/cmd.c	23	C4131	'CMDInit': uses old-style declarator	x64,x86	MVDM-DOS-OWNER-PACKAGE	must-read-old-style-call-contract	K&R declaration may hide a modern parameter/return ABI mismatch; compare the selected declaration and callers before deciding whether it is a harmless source-style warning	T310-S8-P4-WARN-000003,T310-S8-P4-WARN-000006
T310-S8-P4-CLASS-000042	src/mvdm-host/dos/command/cmdmisc.c	298	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000083
T310-S8-P4-CLASS-000043	src/mvdm-host/dos/command/cmdmisc.c	300	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000084
T310-S8-P4-CLASS-000044	src/mvdm-host/dos/command/cmdmisc.c	302	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000085
T310-S8-P4-CLASS-000045	src/mvdm-host/dos/command/cmdmisc.c	304	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000086
T310-S8-P4-CLASS-000046	src/mvdm-host/dos/command/cmdmisc.c	307	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000087
T310-S8-P4-CLASS-000047	src/mvdm-host/dos/command/cmdmisc.c	310	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000088
T310-S8-P4-CLASS-000049	src/mvdm-host/dos/command/cmdmisc.c	365	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000091
T310-S8-P4-CLASS-000050	src/mvdm-host/dos/command/cmdmisc.c	370	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000092
T310-S8-P4-CLASS-000051	src/mvdm-host/dos/command/cmdmisc.c	371	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000093
T310-S8-P4-CLASS-000052	src/mvdm-host/dos/command/cmdmisc.c	372	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000094
T310-S8-P4-CLASS-000053	src/mvdm-host/dos/command/cmdmisc.c	374	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000095
T310-S8-P4-CLASS-000054	src/mvdm-host/dos/command/cmdmisc.c	393	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000096
T310-S8-P4-CLASS-000055	src/mvdm-host/dos/command/cmdmisc.c	464	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000097
T310-S8-P4-CLASS-000056	src/mvdm-host/dos/command/cmdmisc.c	526	C4244	'-=': conversion from 'int' to '__unaligned USHORT', possible loss of data	x64	MVDM-DOS-OWNER-PACKAGE	must-read-x64-narrowing	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000098
T310-S8-P4-CLASS-000057	src/mvdm-host/dos/command/cmdmisc.c	526	C4244	'-=': conversion from 'int' to 'USHORT', possible loss of data	x86	MVDM-DOS-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000099
T310-S8-P4-CLASS-000060	src/mvdm-host/dos/command/cmdmisc.c	680	C4244	'=': conversion from 'int' to 'CHAR', possible loss of data	x64,x86	MVDM-DOS-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000104,T310-S8-P4-WARN-000105
T310-S8-P4-CLASS-000061	src/mvdm-host/dos/command/cmdmisc.c	689	C4244	'=': conversion from 'int' to 'CHAR', possible loss of data	x64,x86	MVDM-DOS-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000106,T310-S8-P4-WARN-000107
T310-S8-P4-CLASS-000064	src/mvdm-host/dos/command/cmdmisc.c	720	C4267	'=': conversion from 'size_t' to 'USHORT', possible loss of data	x64,x86	MVDM-DOS-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000112,T310-S8-P4-WARN-000113
T310-S8-P4-CLASS-000069	src/mvdm-host/dos/command/cmdpif.c	122	C4244	'=': conversion from 'int' to 'USHORT', possible loss of data	x64,x86	MVDM-DOS-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000122,T310-S8-P4-WARN-000123
T310-S8-P4-CLASS-000072	src/mvdm-host/dos/command/cmdpif.c	227	C4267	'=': conversion from 'size_t' to 'USHORT', possible loss of data	x64,x86	MVDM-DOS-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000128,T310-S8-P4-WARN-000129
T310-S8-P4-CLASS-000076	src/mvdm-host/dos/command/cmdpif.c	258	C4267	'=': conversion from 'size_t' to 'USHORT', possible loss of data	x64,x86	MVDM-DOS-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000136,T310-S8-P4-WARN-000137
T310-S8-P4-CLASS-000077	src/mvdm-host/dos/command/cmdredir.c	31	C4131	'cmdCheckCopyForRedirection': uses old-style declarator	x64,x86	MVDM-DOS-OWNER-PACKAGE	must-read-old-style-call-contract	K&R declaration may hide a modern parameter/return ABI mismatch; compare the selected declaration and callers before deciding whether it is a harmless source-style warning	T310-S8-P4-WARN-000138,T310-S8-P4-WARN-000139
T310-S8-P4-CLASS-000079	src/mvdm-host/dos/command/cmdredir.c	114	C4131	'cmdCreateTempFile': uses old-style declarator	x64,x86	MVDM-DOS-OWNER-PACKAGE	must-read-old-style-call-contract	K&R declaration may hide a modern parameter/return ABI mismatch; compare the selected declaration and callers before deciding whether it is a harmless source-style warning	T310-S8-P4-WARN-000142,T310-S8-P4-WARN-000143
T310-S8-P4-CLASS-000085	src/mvdm-host/dos/dem/demdasd.c	491	C4244	'=': conversion from 'int' to 'BYTE', possible loss of data	x64,x86	MVDM-DOS-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000154,T310-S8-P4-WARN-000155
T310-S8-P4-CLASS-000086	src/mvdm-host/dos/dem/demdasd.c	493	C4244	'=': conversion from 'int' to 'BYTE', possible loss of data	x64,x86	MVDM-DOS-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000156,T310-S8-P4-WARN-000157
T310-S8-P4-CLASS-000089	src/mvdm-host/dos/dem/demdir.c	165	C4244	'=': conversion from 'int' to 'CHAR', possible loss of data	x64,x86	MVDM-DOS-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000162,T310-S8-P4-WARN-000163
T310-S8-P4-CLASS-000091	src/mvdm-host/dos/dem/demerror.c	161	C4244	'=': conversion from 'int' to 'char', possible loss of data	x64,x86	MVDM-DOS-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000166,T310-S8-P4-WARN-000167
T310-S8-P4-CLASS-000092	src/mvdm-host/dos/dem/demerror.c	306	C4244	'=': conversion from 'int' to 'CHAR', possible loss of data	x64,x86	MVDM-DOS-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000168,T310-S8-P4-WARN-000169
T310-S8-P4-CLASS-000103	src/mvdm-host/dos/dem/demfcb.c	757	C4131	'demGetMiscInfo': uses old-style declarator	x64,x86	MVDM-DOS-OWNER-PACKAGE	must-read-old-style-call-contract	K&R declaration may hide a modern parameter/return ABI mismatch; compare the selected declaration and callers before deciding whether it is a harmless source-style warning	T310-S8-P4-WARN-000190,T310-S8-P4-WARN-000191
T310-S8-P4-CLASS-000104	src/mvdm-host/dos/dem/demfile.c	610	C4131	'demCreateCommon': uses old-style declarator	x64,x86	MVDM-DOS-OWNER-PACKAGE	must-read-old-style-call-contract	K&R declaration may hide a modern parameter/return ABI mismatch; compare the selected declaration and callers before deciding whether it is a harmless source-style warning	T310-S8-P4-WARN-000192,T310-S8-P4-WARN-000193
T310-S8-P4-CLASS-000107	src/mvdm-host/dos/dem/demfile.c	797	C4057	'function': 'LPSTR' differs in indirection to slightly different base types from 'UCHAR [260]'	x64,x86	MVDM-DOS-OWNER-PACKAGE	must-repair-call-abi	undeclared, old-style, or incompatible call/table contract may truncate a pointer or pass the wrong calling convention; reconcile declaration, definition, table slot and selected callers	T310-S8-P4-WARN-000198,T310-S8-P4-WARN-000199
T310-S8-P4-CLASS-000108	src/mvdm-host/dos/dem/demfile.c	798	C4057	'function': 'LPSTR' differs in indirection to slightly different base types from 'UCHAR [260]'	x64,x86	MVDM-DOS-OWNER-PACKAGE	must-repair-call-abi	undeclared, old-style, or incompatible call/table contract may truncate a pointer or pass the wrong calling convention; reconcile declaration, definition, table slot and selected callers	T310-S8-P4-WARN-000200,T310-S8-P4-WARN-000201
T310-S8-P4-CLASS-000109	src/mvdm-host/dos/dem/demfile.c	799	C4057	'function': 'const char *' differs in indirection to slightly different base types from 'UCHAR [260]'	x64,x86	MVDM-DOS-OWNER-PACKAGE	must-repair-call-abi	undeclared, old-style, or incompatible call/table contract may truncate a pointer or pass the wrong calling convention; reconcile declaration, definition, table slot and selected callers	T310-S8-P4-WARN-000202,T310-S8-P4-WARN-000203
T310-S8-P4-CLASS-000111	src/mvdm-host/dos/dem/demfile.c	1204	C4131	'VDDAllocateDosHandle': uses old-style declarator	x64,x86	MVDM-DOS-OWNER-PACKAGE	must-read-old-style-call-contract	K&R declaration may hide a modern parameter/return ABI mismatch; compare the selected declaration and callers before deciding whether it is a harmless source-style warning	T310-S8-P4-WARN-000206,T310-S8-P4-WARN-000207
T310-S8-P4-CLASS-000112	src/mvdm-host/dos/dem/demfile.c	1220	C4131	'VDDAssociateNtHandle': uses old-style declarator	x64,x86	MVDM-DOS-OWNER-PACKAGE	must-read-old-style-call-contract	K&R declaration may hide a modern parameter/return ABI mismatch; compare the selected declaration and callers before deciding whether it is a harmless source-style warning	T310-S8-P4-WARN-000208,T310-S8-P4-WARN-000209
T310-S8-P4-CLASS-000113	src/mvdm-host/dos/dem/demfile.c	1228	C4131	'VDDReleaseDosHandle': uses old-style declarator	x64,x86	MVDM-DOS-OWNER-PACKAGE	must-read-old-style-call-contract	K&R declaration may hide a modern parameter/return ABI mismatch; compare the selected declaration and callers before deciding whether it is a harmless source-style warning	T310-S8-P4-WARN-000210,T310-S8-P4-WARN-000211
T310-S8-P4-CLASS-000114	src/mvdm-host/dos/dem/demfile.c	1250	C4131	'VDDRetrieveNtHandle': uses old-style declarator	x64,x86	MVDM-DOS-OWNER-PACKAGE	must-read-old-style-call-contract	K&R declaration may hide a modern parameter/return ABI mismatch; compare the selected declaration and callers before deciding whether it is a harmless source-style warning	T310-S8-P4-WARN-000212,T310-S8-P4-WARN-000213
T310-S8-P4-CLASS-000115	src/mvdm-host/dos/dem/demgset.c	126	C4057	'function': 'LPBYTE' differs in indirection to slightly different base types from 'CHAR [260]'	x64,x86	MVDM-DOS-OWNER-PACKAGE	must-repair-call-abi	undeclared, old-style, or incompatible call/table contract may truncate a pointer or pass the wrong calling convention; reconcile declaration, definition, table slot and selected callers	T310-S8-P4-WARN-000214,T310-S8-P4-WARN-000215
T310-S8-P4-CLASS-000117	src/mvdm-host/dos/dem/demgset.c	370	C4244	'=': conversion from 'UINT' to 'UCHAR', possible loss of data	x64,x86	MVDM-DOS-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000218,T310-S8-P4-WARN-000219
T310-S8-P4-CLASS-000120	src/mvdm-host/dos/dem/demgset.c	763	C4244	'=': conversion from 'int' to '__unaligned BYTE', possible loss of data	x64	MVDM-DOS-OWNER-PACKAGE	must-read-x64-narrowing	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000224
T310-S8-P4-CLASS-000121	src/mvdm-host/dos/dem/demgset.c	763	C4244	'=': conversion from 'int' to 'BYTE', possible loss of data	x86	MVDM-DOS-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000225
T310-S8-P4-CLASS-000135	src/mvdm-host/dos/dem/demmisc.c	469	C4013	'DbgPrompt' undefined; assuming extern returning int	x64,x86	MVDM-DOS-OWNER-PACKAGE	must-repair-call-abi	undeclared, old-style, or incompatible call/table contract may truncate a pointer or pass the wrong calling convention; reconcile declaration, definition, table slot and selected callers	T310-S8-P4-WARN-000252,T310-S8-P4-WARN-000253
T310-S8-P4-CLASS-000137	src/mvdm-host/dos/dem/demmisc.c	522	C4267	'=': conversion from 'size_t' to 'DWORD', possible loss of data	x64	MVDM-DOS-OWNER-PACKAGE	must-read-x64-narrowing	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000256
T310-S8-P4-CLASS-000138	src/mvdm-host/dos/dem/demsrch.c	323	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000257
T310-S8-P4-CLASS-000139	src/mvdm-host/dos/dem/demsrch.c	324	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000258
T310-S8-P4-CLASS-000140	src/mvdm-host/dos/dem/demsrch.c	347	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000259
T310-S8-P4-CLASS-000141	src/mvdm-host/dos/dem/demsrch.c	348	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000260
