"audit_id"	"source_path"	"file_kind"	"manifest_state"	"mirror_identity"	"current_sha256"	"canonical_source_path"	"canonical_sha256"	"inherited_or_current_disposition"	"S1_note"
"T335-WOW-001"	"fax/dirs"	"none"	"unselected-source-or-product-carrier"	"byte-exact"	"C104AF22EBD0B2E0FE03A08D10A499EF1821ADECAFA907E63395B5C528FD26F3"	"O:/repos.external/opennt-4.5/nt/private/mvdm/fax/dirs"	"C104AF22EBD0B2E0FE03A08D10A499EF1821ADECAFA907E63395B5C528FD26F3"	"inherits-not-host-runtime"	"T335/S1 profile rebaseline; source/body enablement requires a later owner-cohort decision"
"T335-WOW-002"	"fax/dummy.hlp"	".hlp"	"unselected-source-or-product-carrier"	"byte-exact"	"12F99F53144294750FE8713D580EDA286F4BD95CD9C840DB8AB957DEF8040028"	"O:/repos.external/opennt-4.5/nt/private/mvdm/fax/dummy.hlp"	"12F99F53144294750FE8713D580EDA286F4BD95CD9C840DB8AB957DEF8040028"	"inherits-not-host-runtime"	"T335/S1 profile rebaseline; source/body enablement requires a later owner-cohort decision"
"T335-WOW-003"	"fax/dummy.ppd"	".ppd"	"unselected-source-or-product-carrier"	"byte-exact"	"12F99F53144294750FE8713D580EDA286F4BD95CD9C840DB8AB957DEF8040028"	"O:/repos.external/opennt-4.5/nt/private/mvdm/fax/dummy.ppd"	"12F99F53144294750FE8713D580EDA286F4BD95CD9C840DB8AB957DEF8040028"	"inherits-not-host-runtime"	"T335/S1 profile rebaseline; source/body enablement requires a later owner-cohort decision"
"T335-WOW-004"	"fax/faxcomm.h"	".h"	"declaration-or-build-carrier"	"byte-exact"	"3F0EBB1007332C1C02B6B32AF42577992886F5E2447433C0193CC89B988B25F4"	"O:/repos.external/opennt-4.5/nt/private/mvdm/fax/faxcomm.h"	"3F0EBB1007332C1C02B6B32AF42577992886F5E2447433C0193CC89B988B25F4"	"inherits-binding-only"	"T335/S1 profile rebaseline; source/body enablement requires a later owner-cohort decision"
"T335-WOW-005"	"fax/printer.inf"	".inf"	"unselected-source-or-product-carrier"	"byte-exact"	"C3F15C09D4556009E6484E1C08D01D8405C9B1080F3B963C31F5955443DE6949"	"O:/repos.external/opennt-4.5/nt/private/mvdm/fax/printer.inf"	"C3F15C09D4556009E6484E1C08D01D8405C9B1080F3B963C31F5955443DE6949"	"inherits-not-host-runtime"	"T335/S1 profile rebaseline; source/body enablement requires a later owner-cohort decision"
"T335-WOW-006"	"fax/wowfax/makefile"	"none"	"unselected-source-or-product-carrier"	"byte-exact"	"26957856E8A7F42A1740419CF3451497129F1D8284301D42F1A89EE13DD5A459"	"O:/repos.external/opennt-4.5/nt/private/mvdm/fax/wowfax/makefile"	"26957856E8A7F42A1740419CF3451497129F1D8284301D42F1A89EE13DD5A459"	"inherits-not-host-runtime"	"T335/S1 profile rebaseline; source/body enablement requires a later owner-cohort decision"
"T335-WOW-007"	"fax/wowfax/obj/_objects.mac"	".mac"	"declaration-or-build-carrier"	"canonical-path-not-found"	"BED781164D58DC02C9143908694BD28F2A1026D6C9FF2DD030D829B95A3DA022"	""	""	"binding-only"	"T335/S1 profile rebaseline; source/body enablement requires a later owner-cohort decision"
"T335-WOW-008"	"fax/wowfax/obj/i386/wowfax.obj"	".obj"	"mirror-intermediate-or-artifact"	"canonical-path-not-found"	"B68DD7979AA5A112B11D8773C2E5B325E506E9F7108F452D12FE38315B433358"	""	""	"not-host-runtime"	"T335/S1 profile rebaseline; source/body enablement requires a later owner-cohort decision"
"T335-WOW-009"	"fax/wowfax/obj/i386/wowfax.res"	".res"	"mirror-intermediate-or-artifact"	"canonical-path-not-found"	"ECF443AD3BDB1BB5D29EF34B19F9073D3B7F6720FF527F23C27D2046CD3F9756"	""	""	"not-host-runtime"	"T335/S1 profile rebaseline; source/body enablement requires a later owner-cohort decision"
"T335-WOW-010"	"fax/wowfax/sources"	"none"	"unselected-source-or-product-carrier"	"byte-exact"	"5C5F6E9961909600BBDA91264DA9524D02CEBFC0831A491FDAA003492B2035A8"	"O:/repos.external/opennt-4.5/nt/private/mvdm/fax/wowfax/sources"	"5C5F6E9961909600BBDA91264DA9524D02CEBFC0831A491FDAA003492B2035A8"	"inherits-not-host-runtime"	"T335/S1 profile rebaseline; source/body enablement requires a later owner-cohort decision"
