# Generated by tools/research/Generate-WowPointerPlaneLedger.mjs.
# The ledger groups every selected original WOW32 source use by pointer form.
# Selected original C sources: 77.
form	class	span_contract	lease_ready	source_file	occurrences	current_disposition
GETARGPTR	derived-frame	parent-frame-offset	No	wow32.c	2	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wdde.c	1	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wgdi31.c	38	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wgdi.c	119	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wgfont.c	8	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wgmeta.c	10	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wgpal.c	12	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wgprnset.c	3	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wgtext.c	12	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wkbman.c	10	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wkmem.c	5	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wkgthunk.c	5	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wkman.c	27	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wkfileio.c	13	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wkernel.c	13	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wow32fax.c	1	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wshell.c	15	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wuser31.c	16	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wuman.c	5	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wucaret.c	6	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wuclass.c	7	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wuclip.c	13	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wucomm.c	17	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wucursor.c	7	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wudlg.c	21	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wuhook.c	5	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wulang.c	12	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wumenu.c	17	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wumsg.c	21	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wuser.c	53	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wutext.c	2	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wutmr.c	2	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wuwind.c	36	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wdos.c	4	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wcuricon.c	1	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wmmedia.c	2	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wmmedia1.c	11	Derived byte alias; parent lease owns lifetime.
