id	phase	original_owner	original_site_or_symbol	original_contract	machine_or_host_dependency	current_disposition	next_disposition
T340-S1-01	entry	mvdm-guest/dos/v86/doskrnl/dos/msinit.asm	DosInit::SVC_CMDSETINFO (350) -> charinit (453)	Original NTDOS registers SCS state before it creates an INIT request for the initial resident-device header.	None added by CMDSETINFO itself; device request is guest DOSDATA.	54:05 was observed before the fixed-container timeout; no device behavior is inferred from that observation.	Source-defined entry for this package.
T340-S1-02	resident-list	mvdm-guest/dos/v86/doskrnl/bios/msbio1.asm	res_dev_list (76-91)	Original resident order is CON, AUX, PRN, CLOCK$, COM1, LPT1, LPT2, LPT3, COM2, COM3, COM4; each has BIOS strategy plus its declared interrupt entry.	None at header construction.	Selected original guest data; no project replacement.	Retain exact order and header data.
T340-S1-03	resident-init	mvdm-guest/dos/v86/doskrnl/dos/msinit.asm	charinit (788-804) -> DEVIOCALL2	Builds the original init request (DINITHL, unit 0, DEVINIT, status 0) in DOSDATA and invokes strategy then interrupt.	Guest RAM only.	Selected original guest code; packet layout is not reimplemented by host code.	All resident-header rows below share this transaction.
T340-S1-04	resident-header	mvdm-guest/dos/v86/doskrnl/bios/msbio1.asm	CON / strategy -> con_entry -> con_table	CON function 00 dispatches through the original character-device table.	None: con_table function 00 is bc_exvec.	Direct original success path.	No repair cohort selected for this header.
T340-S1-05	resident-header	mvdm-guest/dos/v86/doskrnl/bios/msbio1.asm	AUX / strategy -> aux0_entry -> aux_table	AUX function 00 dispatches through the original character-device table.	None: aux_table function 00 is bc_exvec.	Direct original success path.	No repair cohort selected for this header.
T340-S1-06	resident-header	mvdm-guest/dos/v86/doskrnl/bios/msbio1.asm	PRN / strategy -> prn0_entry -> prn_table	PRN function 00 dispatches through the original character-device table.	None: prn_table function 00 is bc_exvec.	Direct original success path.	No repair cohort selected for this header.
T340-S1-07	resident-header	mvdm-guest/dos/v86/doskrnl/bios/msbio1.asm	CLOCK$ / strategy -> tim_entry -> tim_table	CLOCK$ function 00 dispatches through the original character-device table.	None: tim_table function 00 is bc_exvec.	Direct original success path.	No repair cohort selected for this header.
T340-S1-08	resident-header	mvdm-guest/dos/v86/doskrnl/bios/msbio1.asm	COM1 / strategy -> aux0_entry -> aux_table	COM1 init shares the original AUX table.	None: aux_table function 00 is bc_exvec.	Direct original success path.	No repair cohort selected for this header.
T340-S1-09	resident-header	mvdm-guest/dos/v86/doskrnl/bios/msbio1.asm	LPT1 / strategy -> prn1_entry -> prn_table	LPT1 init shares the original PRN table.	None: prn_table function 00 is bc_exvec.	Direct original success path.	No repair cohort selected for this header.
T340-S1-10	resident-header	mvdm-guest/dos/v86/doskrnl/bios/msbio1.asm	LPT2 / strategy -> prn2_entry -> prn_table	LPT2 init shares the original PRN table.	None: prn_table function 00 is bc_exvec.	Direct original success path.	No repair cohort selected for this header.
T340-S1-11	resident-header	mvdm-guest/dos/v86/doskrnl/bios/msbio1.asm	LPT3 / strategy -> prn3_entry -> prn_table	LPT3 init shares the original PRN table.	None: prn_table function 00 is bc_exvec.	Direct original success path.	No repair cohort selected for this header.
T340-S1-12	resident-header	mvdm-guest/dos/v86/doskrnl/bios/msbio1.asm	COM2 / strategy -> aux1_entry -> aux_table	COM2 init shares the original AUX table.	None: aux_table function 00 is bc_exvec.	Direct original success path.	No repair cohort selected for this header.
T340-S1-13	resident-header	mvdm-guest/dos/v86/doskrnl/bios/msbio1.asm	COM3 / strategy -> aux2_entry -> aux_table	COM3 init shares the original AUX table.	None: aux_table function 00 is bc_exvec.	Direct original success path.	No repair cohort selected for this header.
T340-S1-14	resident-header	mvdm-guest/dos/v86/doskrnl/bios/msbio1.asm	COM4 / strategy -> aux3_entry -> aux_table	COM4 init shares the original AUX table.	None: aux_table function 00 is bc_exvec.	Direct original success path.	No repair cohort selected for this header.
T340-S1-15	resident-dispatch	mvdm-guest/dos/v86/doskrnl/bios/{msbio1.asm,mschar.asm}	strategy (226-232) -> cdev_entry (363-385) -> chardev_entry (807-873) -> bc_exvec (359-361)	Strategy saves ES:BX request; cdev_entry preserves the original HMA guard; chardev_entry selects request command, invokes table entry and writes normal status when carry is clear.	For the charinit request, ES:BX is DOSDATA, so cdev_entry follows its documented already-A20-on branch; the function-00 table entry performs no hardware I/O.	Direct original resident-init contract; no host console, serial, printer, timer or video service is reached at function 00.	Do not invent a console or port repair for this cohort.
T340-S1-16	post-resident	mvdm-guest/dos/v86/doskrnl/dos/msinit.asm	perdrv (514-519) -> continit -> SVC_DEMGETDPBLIST (524)	After all headers linked at this point return from init, NTDOS transfers to original DEM DPB-list service.	DEM drive/DPB provider, already a distinct owner package.	Next BOP is a transfer boundary, not evidence that it has executed in the current run.	Keep outside resident-device recovery unless a later admitted package reaches it.
T340-S1-17	config-input	mvdm-host/dos/command/{cmdconf.c,nt_pif.c}	cmdGetConfigSys -> ExpandConfigFiles(TRUE) -> GetPIFConfigFiles	The selected config.nt is ordinary input: raw shell= is filtered; the resulting temporary CONFIG.SYS receives a normalized SystemRoot command.com shell line. No-PIF selection is selected-root config.nt; invalid/missing input follows cmdconf's terminal failure path.	Public file operations plus current selected immutable MVDM root binding.	Original body already bound with registered path-binding divergences; no configuration fallback body exists.	Retain; this corrects the scope of the configuration-linked successor.
T340-S1-18	config-device	mvdm-guest/dos/v86/doskrnl/bios/{sysinit1.asm,sysconf.asm,sysinit2.asm}	ProcessConfig -> doconf -> multi_pass=1 -> DEVICE= LoadDevice -> calldev(strategy, interrupt)	Configuration-linked drivers are loaded and initialized only after the resident DOS initialization returns to SysInit. This path uses SysConf's original load/relocate/packet transaction, not DOS::DEVIOCALL2.	DOS EXEC/load, device header, INT 12 presentation, UMB/HMA allocation and each loaded driver's own machine contract.	The staged config.nt explicitly selects DEVICE=%SystemRoot%\\system32\\himem.sys; original HIMEM.SYS exists in the selected immutable package.	The first non-trivial source-shaped cohort is complete HIMEM.SYS init plus its original SoftPC XMS/A20/INT15/HMA contract.
T340-S1-19	first-nontrivial-cohort	mvdm-guest/dos/v86/dev/himem/{himem.asm,himem1.asm,himem2.asm,himem4.asm,himem5.asm}	HIMEM device init and XMS service/control paths	HIMEM's guest implementation owns the driver body; it expects XMS service calls, A20 enable/disable, INT 15 memory behavior and HMA/UMB outcomes with original failure returns.	Original SoftPC XMS/INT15/A20/physical-memory interfaces; mapping-manager rules apply only at existing host/guest pointer seams.	Not yet reviewed or recovered in this S; no device behavior changed.	Admit a package-first HIMEM/SoftPC XMS-A20-INT15 audit before any repair or further runtime observation.
