ID	Original entry / source	Direct original calls	Selected current owner	Current disposition	Failure / result contract	Evidence / conclusion
T340-S2-01	mvdm-guest/dos/v86/dev/himem/himem2.asm::InitInterrupt	Function 00 -> InitDriver -> request Status |= 0100h	Original guest HIMEM.SYS, staged under mvdm/system32	original source-built guest binary	Non-init function returns original zero/unknown-command status; init preserves original status word	Selected package binary is the retained source-built HIMEM.SYS; no guest source modification.
T340-S2-02	himem2.asm::InitDriver	INT 2F install check; GetParms; XMSSVC XMS_A20(query)	Original HIMEM body + mvdm-host/xms.486/xmsdisp.c	original table and dispatcher	Existing XMS installation or unavailable A20 follows original fatal/flush path	No standalone BOP/provider is introduced.
T340-S2-03	himem2.asm::InitDriver	InstallA20; InitHandles; GetInt15Memory	Original HIMEM body + SoftPC SAS/A20 + XMS service table	original owner with narrow mapping binding	HIMEM retains its original A20/error and no-extended-memory branches	No host pointer is passed to guest code.
T340-S2-04	himem2.asm::GetInt15Memory	Selected build: XMSSVC XMS_EXTMEM	mvdm-host/xms.486/xmsmisc.c::xmsQueryExtMem	byte-identical original body	AX receives original xmsMemorySize in KB	CPU40 graph does not select a synthetic INT 15 substitute in this path.
T340-S2-05	himem2.asm::InitDriver	XMSSVC XMS_INITUMB(AX:BX=A20State); HookInt2F	mvdm-host/xms.486/xmsumb.c::xmsInitUMB	original list algorithm + bounded state-location overlay	Original UMB list outcomes remain; invalid guest location is not converted into a native pointer	MVDM-HOST-DIV-010 and -078 are the only reached location/physical-value bindings.
T340-S2-06	himem.asm/himem5.asm XMS public paths	XMS_A20, XMS_MOVEBLOCK, allocation/free/realloc, UMB request/release	mvdm-host/xms.486/{xmsa20,xmsblock,xmsumb}.c	original bodies + existing mapping-manager adapter	Original register result/failure contracts remain in the source bodies	MVDM-HOST-DIV-077 redirects only descriptor byte transport through session leases.
T340-S2-07	mvdm-host/softpc.new/host/src/nt_msscs.c::scs_init	XMSInit before DBGInit	mvdm-host/xms.486/xms.c::XMSInit	original startup call and allocator order	Original XMSInit failure remains terminal through host_error/TerminateVDM	XMSInit calls original SAInitialize with same-shaped commit/decommit/move callbacks.
T340-S2-08	mvdm-host/xms.486/xms.c::XMSInit	ReserveUMB; SAInitialize	mvdm-host/suballoc + adapter-mvdm-host-out/softpc/mvdm_xms_memory.c	original allocator with same-shaped mapper callbacks	Memory allocation failure remains XMSInit FALSE; no fabricated guest success	MVDM-HOST-DIV-132 selects the mapper backend on both host widths.
T340-S2-09	mvdm-host/xms.486/xmsmisc.c::xmsNotifyHookI15	UpdateKbdInt15(CS:AX)	adapter-mvdm-host-out/softpc/mvdm_int15.c	original caller plus source-shaped typed firmware binding	CX returns original memory size; mismatched vector resets cached state	The binding does not own keyboard/PIC/CPU semantics.
T340-S2-10	formal CPU40 x86 graph	Original xms.c/xmsa20.c/xmsblock.c/xmsdisp.c/xmsmisc.c/xmsumb.c	original-mvdm-xms.lib plus xms_a20_state and mvdm_xms_memory	selected and linked	No link-time missing XMS owner	Ninja formal-x86 reports no work after source/graph review; manifest names all selected original bodies and bindings.
T340-S2-11	fixed-container observation	No XMS/HIMEM marker was emitted before timeout	Unchanged formal-x86 product / fixed package-contract-r3 media	unreached at this observation boundary	No runtime cause is assigned to HIMEM/XMS	Raw report m0-t340-s3-himem-fixed-container.txt records 50:11, 50:3B, 50:0F, 50:1B, 54:05 only.
