"profile_id"	"package_root"	"x86_target"	"x64_target"	"original_inputs"	"include_and_library_closure"	"profile_state"	"compile_evidence"	"link_evidence"	"local_test_evidence"
"MVDM-PROFILE-BDE"	"bde"	"unreviewed"	"unreviewed"	"observed-source=8; observed-build-control=2"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-DBG"	"dbg"	"unreviewed"	"unreviewed"	"observed-source=1; observed-build-control=2"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-DIRS"	"dirs"	"unreviewed"	"unreviewed"	"observed-source=0; observed-build-control=1"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-DOS"	"dos"	"unreviewed"	"unreviewed"	"observed-source=27; observed-build-control=5"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-DPMI"	"dpmi"	"unreviewed"	"unreviewed"	"observed-source=34; observed-build-control=1"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-DPMI32"	"dpmi32"	"unreviewed"	"unreviewed"	"observed-source=18; observed-build-control=2"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-FAX"	"fax"	"unreviewed"	"unreviewed"	"observed-source=5; observed-build-control=5"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-IEUVDDEX"	"ieuvddex"	"unreviewed"	"unreviewed"	"observed-source=14; observed-build-control=6"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-INC"	"inc"	"unreviewed"	"unreviewed"	"observed-source=0; observed-build-control=1"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-MAKEFIL0"	"makefil0"	"unreviewed"	"unreviewed"	"observed-source=0; observed-build-control=1"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-OEMUNI"	"oemuni"	"unreviewed"	"unreviewed"	"observed-source=3; observed-build-control=2"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-SIM16"	"sim16"	"unreviewed"	"unreviewed"	"observed-source=2; observed-build-control=1"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-SIM32"	"sim32"	"unreviewed"	"unreviewed"	"observed-source=1; observed-build-control=2"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-SOFTPC-NEW"	"softpc.new"	"unreviewed"	"unreviewed"	"observed-source=339; observed-build-control=43"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-SUBALLOC"	"suballoc"	"unreviewed"	"unreviewed"	"observed-source=3; observed-build-control=2"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-V86"	"v86"	"unreviewed"	"unreviewed"	"observed-source=14; observed-build-control=8"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-VDD"	"vdd"	"unreviewed"	"unreviewed"	"observed-source=9; observed-build-control=19"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-VDMDBG"	"vdmdbg"	"unreviewed"	"unreviewed"	"observed-source=1; observed-build-control=2"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-VDMEXTS"	"vdmexts"	"unreviewed"	"unreviewed"	"observed-source=19; observed-build-control=2"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-VDMREDIR"	"vdmredir"	"unreviewed"	"unreviewed"	"observed-source=15; observed-build-control=2"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-VDMUTILS"	"vdmutils"	"unreviewed"	"unreviewed"	"observed-source=6; observed-build-control=9"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-WOW32"	"wow32"	"unreviewed"	"unreviewed"	"observed-source=85; observed-build-control=3"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
"MVDM-PROFILE-XMS-486"	"xms.486"	"unreviewed"	"unreviewed"	"observed-source=8; observed-build-control=6"	"observed-textual-includes; library-closure-unreviewed"	"unreviewed"	""	""	""
