candidate_id	caller_symbol	caller_source_path	caller_source_sha256	caller_source_line	callee_spelling	source_map_disposition	global_original_definition_packages	declaration_shapes	declaration_count	static_disposition	rationale	next_action
"MVDM-FIRST-REBASELINED-000001"	"GetSegmentOwnerInfo"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"58"	"strcpy"	"CRT-source-candidate-present"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"none"	"0"	"public-crt-leaf"	"CRT implementation is a public leaf; do not select an OpenNT CRT body."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000002"	"GetSegmentOwnerInfo"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"61"	"strcpy"	"CRT-source-candidate-present"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"none"	"0"	"public-crt-leaf"	"CRT implementation is a public leaf; do not select an OpenNT CRT body."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000003"	"GetSegmentOwnerInfo"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"92"	"_stricmp"	"CRT-source-candidate-present"	"admin/netui/common;base/crts/crtw32"	"none"	"0"	"public-crt-leaf"	"CRT implementation is a public leaf; do not select an OpenNT CRT body."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000004"	"GetSegmentOwnerInfo"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"93"	"strcpy"	"CRT-source-candidate-present"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"none"	"0"	"public-crt-leaf"	"CRT implementation is a public leaf; do not select an OpenNT CRT body."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000005"	"GetSegmentOwnerInfo"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"95"	"strcpy"	"CRT-source-candidate-present"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"none"	"0"	"public-crt-leaf"	"CRT implementation is a public leaf; do not select an OpenNT CRT body."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000008"	"look_for_far"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"376"	"strcpy"	"CRT-source-candidate-present"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"none"	"0"	"public-crt-leaf"	"CRT implementation is a public leaf; do not select an OpenNT CRT body."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000009"	"read_name"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"13"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000010"	"read_name"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"19"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000011"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"67"	"strcpy"	"CRT-source-candidate-present"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"none"	"0"	"public-crt-leaf"	"CRT implementation is a public leaf; do not select an OpenNT CRT body."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000012"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"68"	"OpenFile"	"host-boundary-source-candidate-present"	"base/mvdm/dos;base/win32/client;com/ole32/stg"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
