candidate_id	caller_source_path	caller_source_sha256	caller_source_line	callee_spelling	global_original_definition_candidate_count	global_original_definition_packages	source_map_disposition
"MVDM-FIRST-REBASELINED-000001"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"58"	"strcpy"	"3"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"CRT-source-candidate-present"
"MVDM-FIRST-REBASELINED-000002"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"61"	"strcpy"	"3"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"CRT-source-candidate-present"
"MVDM-FIRST-REBASELINED-000003"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"92"	"_stricmp"	"4"	"admin/netui/common;base/crts/crtw32"	"CRT-source-candidate-present"
"MVDM-FIRST-REBASELINED-000004"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"93"	"strcpy"	"3"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"CRT-source-candidate-present"
"MVDM-FIRST-REBASELINED-000005"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"95"	"strcpy"	"3"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"CRT-source-candidate-present"
"MVDM-FIRST-REBASELINED-000008"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"376"	"strcpy"	"3"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"CRT-source-candidate-present"
"MVDM-FIRST-REBASELINED-000009"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"13"	"_lread"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000010"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"19"	"_lread"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000011"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"67"	"strcpy"	"3"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"CRT-source-candidate-present"
"MVDM-FIRST-REBASELINED-000012"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"68"	"OpenFile"	"3"	"base/mvdm/dos;base/win32/client;com/ole32/stg"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000013"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"71"	"strcpy"	"3"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"CRT-source-candidate-present"
"MVDM-FIRST-REBASELINED-000014"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"72"	"strcat"	"4"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"CRT-source-candidate-present"
"MVDM-FIRST-REBASELINED-000015"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"74"	"OpenFile"	"3"	"base/mvdm/dos;base/win32/client;com/ole32/stg"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000016"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"77"	"strcpy"	"3"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"CRT-source-candidate-present"
"MVDM-FIRST-REBASELINED-000017"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"78"	"strcat"	"4"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"CRT-source-candidate-present"
"MVDM-FIRST-REBASELINED-000018"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"80"	"OpenFile"	"3"	"base/mvdm/dos;base/win32/client;com/ole32/stg"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000019"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"87"	"_lread"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000020"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"96"	"_llseek"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000021"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"101"	"_lread"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000022"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"110"	"_llseek"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000023"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"115"	"_lread"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000024"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"173"	"_lclose"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000025"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"184"	"_llseek"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000026"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"189"	"_lread"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000027"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"206"	"_llseek"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000028"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"211"	"_lread"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000029"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"230"	"_lclose"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000030"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"243"	"_lread"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000031"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"293"	"strcpy"	"3"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"CRT-source-candidate-present"
"MVDM-FIRST-REBASELINED-000032"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"307"	"strcpy"	"3"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"CRT-source-candidate-present"
"MVDM-FIRST-REBASELINED-000033"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"308"	"strcat"	"4"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"CRT-source-candidate-present"
"MVDM-FIRST-REBASELINED-000034"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"310"	"OpenFile"	"3"	"base/mvdm/dos;base/win32/client;com/ole32/stg"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000035"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"328"	"_lread"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000036"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"331"	"_lclose"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000037"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"336"	"_lread"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000038"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"339"	"_lclose"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000039"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"343"	"_lread"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000040"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"346"	"_lclose"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000041"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"349"	"_lread"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
"MVDM-FIRST-REBASELINED-000042"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"352"	"_lclose"	"1"	"base/win32/client"	"host-boundary-source-candidate-present"
