candidate_id	callee_spelling	caller_frontier_id	declaration_header_identity	declaration_header_path	declaration_line	declaration_package_root	disposition
"MVDM-FIRST-REBASELINED-000122"	"strlen"	"MVDM-FIRST-CALLER-FRONTIER-000006"	"OpenNT:base/mvdm/wow32/wow32.h@06148a93a63faf7fc5480e4c9f80c98ddfe6e2a0a782eafe6a6fd1ccdd46de27"	"base/mvdm/wow32/wow32.h"	"557"	"base/mvdm/wow32"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000124"	"strlen"	"MVDM-FIRST-CALLER-FRONTIER-000006"	"OpenNT:base/mvdm/wow32/wow32.h@06148a93a63faf7fc5480e4c9f80c98ddfe6e2a0a782eafe6a6fd1ccdd46de27"	"base/mvdm/wow32/wow32.h"	"557"	"base/mvdm/wow32"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000184"	"cmdCreateTempFile"	"MVDM-FIRST-CALLER-FRONTIER-000008"	"OpenNT:base/mvdm/dos/command/cmd.h@ea707e7955198462f93a0e795ae1751d83749578e93653e9b0baf4594d069711"	"base/mvdm/dos/command/cmd.h"	"192"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000207"	"cmdInitConsole"	"MVDM-FIRST-CALLER-FRONTIER-000008"	"OpenNT:base/mvdm/dos/command/cmd.h@ea707e7955198462f93a0e795ae1751d83749578e93653e9b0baf4594d069711"	"base/mvdm/dos/command/cmd.h"	"194"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000220"	"DbgPrint"	"MVDM-FIRST-CALLER-FRONTIER-000009"	"OpenNT-4.5:nt/private/mvdm/inc/softpc.h@1e6fbd5f67aa04749d7896bd0109fe45daa22e691839d1261bbc3f039924bd9b"	"nt/private/mvdm/inc/softpc.h"	"513"	"nt/private/mvdm/inc"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000220"	"DbgPrint"	"MVDM-FIRST-CALLER-FRONTIER-000009"	"OpenNT:base/mvdm/inc/softpc.h@1e6fbd5f67aa04749d7896bd0109fe45daa22e691839d1261bbc3f039924bd9b"	"base/mvdm/inc/softpc.h"	"513"	"base/mvdm/inc"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000268"	"memcpy"	"MVDM-FIRST-CALLER-FRONTIER-000010"	"OpenNT-4.5:nt/private/mvdm/inc/softpc.h@1e6fbd5f67aa04749d7896bd0109fe45daa22e691839d1261bbc3f039924bd9b"	"nt/private/mvdm/inc/softpc.h"	"476"	"nt/private/mvdm/inc"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000268"	"memcpy"	"MVDM-FIRST-CALLER-FRONTIER-000010"	"OpenNT-4.5:nt/private/mvdm/inc/softpc.h@1e6fbd5f67aa04749d7896bd0109fe45daa22e691839d1261bbc3f039924bd9b"	"nt/private/mvdm/inc/softpc.h"	"479"	"nt/private/mvdm/inc"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000268"	"memcpy"	"MVDM-FIRST-CALLER-FRONTIER-000010"	"OpenNT:base/mvdm/inc/softpc.h@1e6fbd5f67aa04749d7896bd0109fe45daa22e691839d1261bbc3f039924bd9b"	"base/mvdm/inc/softpc.h"	"476"	"base/mvdm/inc"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000268"	"memcpy"	"MVDM-FIRST-CALLER-FRONTIER-000010"	"OpenNT:base/mvdm/inc/softpc.h@1e6fbd5f67aa04749d7896bd0109fe45daa22e691839d1261bbc3f039924bd9b"	"base/mvdm/inc/softpc.h"	"479"	"base/mvdm/inc"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000331"	"GetNextVDMCommand"	"MVDM-FIRST-CALLER-FRONTIER-000011"	"OpenNT-4.5:nt/private/windows/inc/vdmapi.h@b942656ba8761ddb9325a7eea7997394562d2e57797c923ff5688d7be86426de"	"nt/private/windows/inc/vdmapi.h"	"106"	"nt/private/windows/inc"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
