first_definition_id	symbol	source_root	source_path	source_sha256	source_line	signature_evidence	linkage	parameter_count	selection_status
"MVDM-FIRST-REBASE-DEF-000001"	"_lclose"	"O:\repos.external\OpenNT"	"../OpenNT-4.5/nt/private/windows/base/client/lcompat.c"	"4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b"	"172"	"_lclose( HFILE hFile )"	"externally-linkable"	"1"	"unselected original-definition candidate; declaration-guided caller compatibility remains required"
"MVDM-FIRST-REBASE-DEF-000002"	"_lclose"	"O:\repos.external\OpenNT"	"base/win32/client/lcompat.c"	"4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b"	"172"	"_lclose( HFILE hFile )"	"externally-linkable"	"1"	"unselected original-definition candidate; declaration-guided caller compatibility remains required"
"MVDM-FIRST-REBASE-DEF-000003"	"_llseek"	"O:\repos.external\OpenNT"	"../OpenNT-4.5/nt/private/windows/base/client/lcompat.c"	"4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b"	"189"	"_llseek( HFILE hFile, LONG lOffset, int iOrigin )"	"externally-linkable"	"3"	"unselected original-definition candidate; declaration-guided caller compatibility remains required"
"MVDM-FIRST-REBASE-DEF-000004"	"_llseek"	"O:\repos.external\OpenNT"	"base/win32/client/lcompat.c"	"4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b"	"189"	"_llseek( HFILE hFile, LONG lOffset, int iOrigin )"	"externally-linkable"	"3"	"unselected original-definition candidate; declaration-guided caller compatibility remains required"
"MVDM-FIRST-REBASE-DEF-000005"	"_lopen"	"O:\repos.external\OpenNT"	"../OpenNT-4.5/nt/private/windows/base/client/lcompat.c"	"4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b"	"26"	"_lopen( LPCSTR lpPathName, int iReadWrite )"	"externally-linkable"	"2"	"unselected original-definition candidate; declaration-guided caller compatibility remains required"
"MVDM-FIRST-REBASE-DEF-000006"	"_lopen"	"O:\repos.external\OpenNT"	"base/win32/client/lcompat.c"	"4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b"	"26"	"_lopen( LPCSTR lpPathName, int iReadWrite )"	"externally-linkable"	"2"	"unselected original-definition candidate; declaration-guided caller compatibility remains required"
"MVDM-FIRST-REBASE-DEF-000007"	"_lread"	"O:\repos.external\OpenNT"	"../OpenNT-4.5/nt/private/windows/base/client/lcompat.c"	"4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b"	"124"	"_lread( HFILE hFile, LPVOID lpBuffer, UINT uBytes )"	"externally-linkable"	"3"	"unselected original-definition candidate; declaration-guided caller compatibility remains required"
"MVDM-FIRST-REBASE-DEF-000008"	"_lread"	"O:\repos.external\OpenNT"	"base/win32/client/lcompat.c"	"4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b"	"124"	"_lread( HFILE hFile, LPVOID lpBuffer, UINT uBytes )"	"externally-linkable"	"3"	"unselected original-definition candidate; declaration-guided caller compatibility remains required"
"MVDM-FIRST-REBASE-DEF-000009"	"_lwrite"	"O:\repos.external\OpenNT"	"../OpenNT-4.5/nt/private/windows/base/client/lcompat.c"	"4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b"	"145"	"_lwrite( HFILE hFile, LPCSTR lpBuffer, UINT uBytes )"	"externally-linkable"	"3"	"unselected original-definition candidate; declaration-guided caller compatibility remains required"
"MVDM-FIRST-REBASE-DEF-000010"	"_lwrite"	"O:\repos.external\OpenNT"	"base/win32/client/lcompat.c"	"4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b"	"145"	"_lwrite( HFILE hFile, LPCSTR lpBuffer, UINT uBytes )"	"externally-linkable"	"3"	"unselected original-definition candidate; declaration-guided caller compatibility remains required"
