candidate_id	caller_symbol	caller_source_path	caller_source_sha256	caller_source_line	caller_source_root	callee_spelling	original_mvdm_definition_candidate_count	root_matching_candidate_count	linkage_matching_candidate_count	allowed_package_roots	selectable_definition_count	selectable_definition_identities	next_disposition
"MVDM-FIRST-REBASELINED-000184"	"ExpandConfigFiles"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"251"	"O:\repos.external\OpenNT\base\mvdm"	"cmdCreateTempFile"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc;nt/private/windows/inc;public/internal"	"1"	"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|99"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000207"	"ExpandConfigFiles"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"530"	"O:\repos.external\OpenNT\base\mvdm"	"cmdInitConsole"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc;nt/private/windows/inc;public/internal"	"1"	"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|729"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000220"	"CmdDispatch"	"dos/command/cmddisp.c"	"2a906e7100da9db6f16bab91c767b149f28e63a0db2803297812a8e86d2b19d6"	"48"	"O:\repos.external\OpenNT\base\mvdm"	"DbgPrint"	"0"	"0"	"0"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc;nt/private/windows/inc;public/internal"	"0"	""	"no original-MVDM body candidate; continue approved-source-union resolution"
"MVDM-FIRST-REBASELINED-000331"	"cmdCreateProcess"	"dos/command/cmdexec.c"	"98a941095d47ae73ef9731d389a433203c7184b0a016b62e24b202bb89f829d0"	"330"	"O:\repos.external\OpenNT\base\mvdm"	"GetNextVDMCommand"	"0"	"0"	"0"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc;nt/private/windows/inc;public/internal"	"0"	""	"no original-MVDM body candidate; continue approved-source-union resolution"
"MVDM-FIRST-REBASELINED-000351"	"cmdCreateProcess"	"dos/command/cmdexec.c"	"98a941095d47ae73ef9731d389a433203c7184b0a016b62e24b202bb89f829d0"	"419"	"O:\repos.external\OpenNT\base\mvdm"	"GetNextVDMCommand"	"0"	"0"	"0"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc;nt/private/windows/inc;public/internal"	"0"	""	"no original-MVDM body candidate; continue approved-source-union resolution"
"MVDM-FIRST-REBASELINED-000355"	"cmdExec32"	"dos/command/cmdexec.c"	"98a941095d47ae73ef9731d389a433203c7184b0a016b62e24b202bb89f829d0"	"472"	"O:\repos.external\OpenNT\base\mvdm"	"GetNextVDMCommand"	"0"	"0"	"0"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc;nt/private/windows/inc;public/internal"	"0"	""	"no original-MVDM body candidate; continue approved-source-union resolution"
"MVDM-FIRST-REBASELINED-000361"	"cmdReturnExitCode"	"dos/command/cmdexec.c"	"98a941095d47ae73ef9731d389a433203c7184b0a016b62e24b202bb89f829d0"	"625"	"O:\repos.external\OpenNT\base\mvdm"	"cmdUpdateCurrentDirectories"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc;nt/private/windows/inc;public/internal"	"1"	"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000362"	"cmdReturnExitCode"	"dos/command/cmdexec.c"	"98a941095d47ae73ef9731d389a433203c7184b0a016b62e24b202bb89f829d0"	"630"	"O:\repos.external\OpenNT\base\mvdm"	"cmdCheckCopyForRedirection"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc;nt/private/windows/inc;public/internal"	"1"	"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000363"	"cmdReturnExitCode"	"dos/command/cmdexec.c"	"98a941095d47ae73ef9731d389a433203c7184b0a016b62e24b202bb89f829d0"	"633"	"O:\repos.external\OpenNT\base\mvdm"	"GetNextVDMCommand"	"0"	"0"	"0"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc;nt/private/windows/inc;public/internal"	"0"	""	"no original-MVDM body candidate; continue approved-source-union resolution"
"MVDM-FIRST-REBASELINED-000391"	"cmdGetKbdLayout"	"dos/command/cmdkeyb.c"	"b945cd4a072b592211f6427ee526b2ca47be05ac6bef9a33956105749d899eba"	"248"	"O:\repos.external\OpenNT\base\mvdm"	"cmdInitConsole"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc;nt/private/windows/inc;public/internal"	"1"	"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|729"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000420"	"demDasdRead"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"213"	"O:\repos.external\OpenNT\base\mvdm"	"nt_floppy_media_check"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc"	"0"	""	"original-MVDM body exists but fails root/linkage/package gate; preserve first-degree record"
"MVDM-FIRST-REBASELINED-000424"	"demDasdRead"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"250"	"O:\repos.external\OpenNT\base\mvdm"	"nt_floppy_read"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc"	"0"	""	"original-MVDM body exists but fails root/linkage/package gate; preserve first-degree record"
"MVDM-FIRST-REBASELINED-000425"	"demDasdWrite"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"293"	"O:\repos.external\OpenNT\base\mvdm"	"nt_floppy_media_check"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc"	"0"	""	"original-MVDM body exists but fails root/linkage/package gate; preserve first-degree record"
"MVDM-FIRST-REBASELINED-000429"	"demDasdWrite"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"330"	"O:\repos.external\OpenNT\base\mvdm"	"nt_floppy_write"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc"	"0"	""	"original-MVDM body exists but fails root/linkage/package gate; preserve first-degree record"
"MVDM-FIRST-REBASELINED-000430"	"demDasdFormat"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"363"	"O:\repos.external\OpenNT\base\mvdm"	"nt_floppy_get_media_type"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc"	"0"	""	"original-MVDM body exists but fails root/linkage/package gate; preserve first-degree record"
"MVDM-FIRST-REBASELINED-000431"	"demDasdFormat"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"371"	"O:\repos.external\OpenNT\base\mvdm"	"nt_floppy_format"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc"	"0"	""	"original-MVDM body exists but fails root/linkage/package gate; preserve first-degree record"
"MVDM-FIRST-REBASELINED-000432"	"demDasdVerify"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"393"	"O:\repos.external\OpenNT\base\mvdm"	"nt_floppy_verify"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc"	"0"	""	"original-MVDM body exists but fails root/linkage/package gate; preserve first-degree record"
