symbol	source_root	source_path	source_sha256	source_line	definition_form
"AddPileItem"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"688"	"ctags-function-body"
"AddPileItem"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"688"	"ctags-function-body"
"Addqi"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmgq.c"	"254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b"	"86"	"k-and-r-body"
"Addqi"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgq.c"	"254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b"	"86"	"k-and-r-body"
"AllocDDESel"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmgdde.c"	"e9b8d0ee1e58cbb1944171704c735d35d8de41a9d366b25db06094be1ce40505"	"156"	"k-and-r-body"
"AllocDDESel"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdde.c"	"e9b8d0ee1e58cbb1944171704c735d35d8de41a9d366b25db06094be1ce40505"	"156"	"k-and-r-body"
"cmdCheckCopyForRedirection"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"20"	"k-and-r-body"
"cmdCheckCopyForRedirection"	"O:\repos.external\OpenNT\base\mvdm"	"dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"20"	"k-and-r-body"
"cmdCreateTempFile"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"99"	"ctags-function-body"
"cmdCreateTempFile"	"O:\repos.external\OpenNT\base\mvdm"	"dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"99"	"ctags-function-body"
"cmdInitConsole"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"dos/command/cmdmisc.c"	"1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281"	"729"	"ctags-function-body"
"cmdInitConsole"	"O:\repos.external\OpenNT\base\mvdm"	"dos/command/cmdmisc.c"	"1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281"	"729"	"ctags-function-body"
"cmdUpdateCurrentDirectories"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"dos/command/cmdmisc.c"	"1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281"	"778"	"ansi-body"
"cmdUpdateCurrentDirectories"	"O:\repos.external\OpenNT\base\mvdm"	"dos/command/cmdmisc.c"	"1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281"	"778"	"ansi-body"
"cmos_read"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/base/bios/cmos_bis.c"	"e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd"	"143"	"ctags-function-body"
"cmos_read"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/cmos_bis.c"	"e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd"	"143"	"ctags-function-body"
"cmos_write"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"softpc.new/base/bios/cmos_bis.c"	"e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd"	"178"	"ctags-function-body"
"cmos_write"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/cmos_bis.c"	"e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd"	"178"	"ctags-function-body"
"CopyHugeBlock"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"843"	"ctags-function-body"
"CopyHugeBlock"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"843"	"ctags-function-body"
"CreateLst"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"89"	"k-and-r-body"
"CreateLst"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"89"	"k-and-r-body"
"CreatePile"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"552"	"ctags-function-body"
"CreatePile"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"552"	"ctags-function-body"
"CreateQ"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmgq.c"	"254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b"	"38"	"k-and-r-body"
"CreateQ"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgq.c"	"254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b"	"38"	"k-and-r-body"
"Deleteqi"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"wow16/ddeml/dmgq.c"	"254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b"	"124"	"k-and-r-body"
"Deleteqi"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgq.c"	"254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b"	"124"	"k-and-r-body"
"demGetDiskFreeSpace"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm"	"dos/dem/demgset.c"	"19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653"	"825"	"ansi-body"
"demGetDiskFreeSpace"	"O:\repos.external\OpenNT\base\mvdm"	"dos/dem/demgset.c"	"19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653"	"825"	"ansi-body"
