canonical_interface_id	callee_spelling	raw_candidate_ids	raw_call_site_count	resolution	original_definition_ids	original_definition_identities	basis
"MVDM-FIRST-INTERFACE-000001"	"_close"	"MVDM-FIRST-CANDIDATE-001716;MVDM-FIRST-CANDIDATE-001718;MVDM-FIRST-CANDIDATE-001720;MVDM-FIRST-CANDIDATE-001722"	"4"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000002"	"_lseek"	"MVDM-FIRST-CANDIDATE-001713;MVDM-FIRST-CANDIDATE-001714"	"2"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000003"	"_read"	"MVDM-FIRST-CANDIDATE-001715"	"1"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000004"	"_strnset"	"MVDM-FIRST-CANDIDATE-000256;MVDM-FIRST-CANDIDATE-000257"	"2"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000005"	"_wcsnicmp"	"MVDM-FIRST-CANDIDATE-000029"	"1"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000006"	"_write"	"MVDM-FIRST-CANDIDATE-001717;MVDM-FIRST-CANDIDATE-001719;MVDM-FIRST-CANDIDATE-001721"	"3"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000007"	"a_getNpxControlReg"	"MVDM-FIRST-CANDIDATE-001045"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000008"	"a_getNpxStackReg"	"MVDM-FIRST-CANDIDATE-001048"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000009"	"a_getNpxStatusReg"	"MVDM-FIRST-CANDIDATE-001044;MVDM-FIRST-CANDIDATE-001046"	"2"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000010"	"a_getNpxTagwordReg"	"MVDM-FIRST-CANDIDATE-001047"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000011"	"a3_getAF"	"MVDM-FIRST-CANDIDATE-001868"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000012"	"a3_getAH"	"MVDM-FIRST-CANDIDATE-001847"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000013"	"a3_getAL"	"MVDM-FIRST-CANDIDATE-001846"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000014"	"a3_getAX"	"MVDM-FIRST-CANDIDATE-001848"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000015"	"a3_getBH"	"MVDM-FIRST-CANDIDATE-001850"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000016"	"a3_getBL"	"MVDM-FIRST-CANDIDATE-001849"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000017"	"a3_getBP"	"MVDM-FIRST-CANDIDATE-001851"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000018"	"a3_getBX"	"MVDM-FIRST-CANDIDATE-001852"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000019"	"a3_getCF"	"MVDM-FIRST-CANDIDATE-001853"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000020"	"a3_getCH"	"MVDM-FIRST-CANDIDATE-001854"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000021"	"a3_getCL"	"MVDM-FIRST-CANDIDATE-001855"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000022"	"a3_getCS"	"MVDM-FIRST-CANDIDATE-001856"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000023"	"a3_getCX"	"MVDM-FIRST-CANDIDATE-001857"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000024"	"a3_getDF"	"MVDM-FIRST-CANDIDATE-001869"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000025"	"a3_getDH"	"MVDM-FIRST-CANDIDATE-001858"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000026"	"a3_getDI"	"MVDM-FIRST-CANDIDATE-001859"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000027"	"a3_getDL"	"MVDM-FIRST-CANDIDATE-001860"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
