resolution_id	caller_definition_id	caller_source_path	caller_source_sha256	caller_source_line	caller_symbol	callee_spelling	resolution_status	candidate_zero_definition_ids	candidate_zero_source_identities	boundary
"MVDM-ZERO-CONDITIONAL-CALL-000001"	"MVDM-ZERO-DEFINITION-000115"	"dbg/dbg.c"	"5a3a207eff1570908e270c737d12fb40fe66097895063136d17fe6b971494b90"	"306"	"SegmentLoad"	"getIntelRegistersPointer"	"conditional-variant-zero-targets"	"MVDM-ZERO-DEFINITION-009431;MVDM-ZERO-DEFINITION-009635"	"softpc.new/host/src/stubs.c:525;v86/monitor/i386/monitor.c:999"	"historical compile-time/product alternatives; all targets are zero-degree definitions and none is a first-degree function candidate"
"MVDM-ZERO-CONDITIONAL-CALL-000002"	"MVDM-ZERO-DEFINITION-000116"	"dbg/dbg.c"	"5a3a207eff1570908e270c737d12fb40fe66097895063136d17fe6b971494b90"	"351"	"SegmentMove"	"getIntelRegistersPointer"	"conditional-variant-zero-targets"	"MVDM-ZERO-DEFINITION-009431;MVDM-ZERO-DEFINITION-009635"	"softpc.new/host/src/stubs.c:525;v86/monitor/i386/monitor.c:999"	"historical compile-time/product alternatives; all targets are zero-degree definitions and none is a first-degree function candidate"
"MVDM-ZERO-CONDITIONAL-CALL-000003"	"MVDM-ZERO-DEFINITION-000117"	"dbg/dbg.c"	"5a3a207eff1570908e270c737d12fb40fe66097895063136d17fe6b971494b90"	"381"	"SegmentFree"	"getIntelRegistersPointer"	"conditional-variant-zero-targets"	"MVDM-ZERO-DEFINITION-009431;MVDM-ZERO-DEFINITION-009635"	"softpc.new/host/src/stubs.c:525;v86/monitor/i386/monitor.c:999"	"historical compile-time/product alternatives; all targets are zero-degree definitions and none is a first-degree function candidate"
"MVDM-ZERO-CONDITIONAL-CALL-000004"	"MVDM-ZERO-DEFINITION-000118"	"dbg/dbg.c"	"5a3a207eff1570908e270c737d12fb40fe66097895063136d17fe6b971494b90"	"414"	"ModuleLoad"	"getIntelRegistersPointer"	"conditional-variant-zero-targets"	"MVDM-ZERO-DEFINITION-009431;MVDM-ZERO-DEFINITION-009635"	"softpc.new/host/src/stubs.c:525;v86/monitor/i386/monitor.c:999"	"historical compile-time/product alternatives; all targets are zero-degree definitions and none is a first-degree function candidate"
"MVDM-ZERO-CONDITIONAL-CALL-000005"	"MVDM-ZERO-DEFINITION-000119"	"dbg/dbg.c"	"5a3a207eff1570908e270c737d12fb40fe66097895063136d17fe6b971494b90"	"461"	"ModuleSegmentMove"	"getIntelRegistersPointer"	"conditional-variant-zero-targets"	"MVDM-ZERO-DEFINITION-009431;MVDM-ZERO-DEFINITION-009635"	"softpc.new/host/src/stubs.c:525;v86/monitor/i386/monitor.c:999"	"historical compile-time/product alternatives; all targets are zero-degree definitions and none is a first-degree function candidate"
"MVDM-ZERO-CONDITIONAL-CALL-000006"	"MVDM-ZERO-DEFINITION-000120"	"dbg/dbg.c"	"5a3a207eff1570908e270c737d12fb40fe66097895063136d17fe6b971494b90"	"506"	"ModuleFree"	"getIntelRegistersPointer"	"conditional-variant-zero-targets"	"MVDM-ZERO-DEFINITION-009431;MVDM-ZERO-DEFINITION-009635"	"softpc.new/host/src/stubs.c:525;v86/monitor/i386/monitor.c:999"	"historical compile-time/product alternatives; all targets are zero-degree definitions and none is a first-degree function candidate"
"MVDM-ZERO-CONDITIONAL-CALL-000007"	"MVDM-ZERO-DEFINITION-000121"	"dbg/dbg.c"	"5a3a207eff1570908e270c737d12fb40fe66097895063136d17fe6b971494b90"	"548"	"SingleStep"	"getIntelRegistersPointer"	"conditional-variant-zero-targets"	"MVDM-ZERO-DEFINITION-009431;MVDM-ZERO-DEFINITION-009635"	"softpc.new/host/src/stubs.c:525;v86/monitor/i386/monitor.c:999"	"historical compile-time/product alternatives; all targets are zero-degree definitions and none is a first-degree function candidate"
"MVDM-ZERO-CONDITIONAL-CALL-000008"	"MVDM-ZERO-DEFINITION-000122"	"dbg/dbg.c"	"5a3a207eff1570908e270c737d12fb40fe66097895063136d17fe6b971494b90"	"656"	"Breakpoint"	"getIntelRegistersPointer"	"conditional-variant-zero-targets"	"MVDM-ZERO-DEFINITION-009431;MVDM-ZERO-DEFINITION-009635"	"softpc.new/host/src/stubs.c:525;v86/monitor/i386/monitor.c:999"	"historical compile-time/product alternatives; all targets are zero-degree definitions and none is a first-degree function candidate"
"MVDM-ZERO-CONDITIONAL-CALL-000009"	"MVDM-ZERO-DEFINITION-000123"	"dbg/dbg.c"	"5a3a207eff1570908e270c737d12fb40fe66097895063136d17fe6b971494b90"	"769"	"GPFault"	"getIntelRegistersPointer"	"conditional-variant-zero-targets"	"MVDM-ZERO-DEFINITION-009431;MVDM-ZERO-DEFINITION-009635"	"softpc.new/host/src/stubs.c:525;v86/monitor/i386/monitor.c:999"	"historical compile-time/product alternatives; all targets are zero-degree definitions and none is a first-degree function candidate"
"MVDM-ZERO-CONDITIONAL-CALL-000010"	"MVDM-ZERO-DEFINITION-000124"	"dbg/dbg.c"	"5a3a207eff1570908e270c737d12fb40fe66097895063136d17fe6b971494b90"	"957"	"DivOverflow"	"getIntelRegistersPointer"	"conditional-variant-zero-targets"	"MVDM-ZERO-DEFINITION-009431;MVDM-ZERO-DEFINITION-009635"	"softpc.new/host/src/stubs.c:525;v86/monitor/i386/monitor.c:999"	"historical compile-time/product alternatives; all targets are zero-degree definitions and none is a first-degree function candidate"
