canonical_group_id	canonical_group_key	canonical_symbol	grouping_scope	group_kind	raw_identity_count	macro_generated_identity_count	raw_definition_ids	source_identities	dispositions
"MVDM-ZERO-CANONICAL-GROUP-000001"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:clear_interrupt"	"clear_interrupt"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001723"	"softpc.new/base/comms/com.c:455"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000002"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:com_flush_input"	"com_flush_input"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001725"	"softpc.new/base/comms/com.c:503"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000003"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:com_reset"	"com_reset"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001755"	"softpc.new/base/comms/com.c:2474"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000004"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:com_send_not_finished"	"com_send_not_finished"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001726"	"softpc.new/base/comms/com.c:529"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000005"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:do_wait_on_send"	"do_wait_on_send"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001727"	"softpc.new/base/comms/com.c:539"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000006"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:generate_iir"	"generate_iir"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001721"	"softpc.new/base/comms/com.c:389"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000007"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:locate_register"	"locate_register"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001764"	"softpc.new/base/comms/com.c:2817"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000008"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:lsr_change"	"lsr_change"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001736"	"softpc.new/base/comms/com.c:1661"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000009"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:modem_change"	"modem_change"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001739"	"softpc.new/base/comms/com.c:1713"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000010"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:raise_fifo_timeout_interrupt"	"raise_fifo_timeout_interrupt"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001724"	"softpc.new/base/comms/com.c:475"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000011"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:raise_interrupt"	"raise_interrupt"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001722"	"softpc.new/base/comms/com.c:431"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000012"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:raise_ms_interrupt"	"raise_ms_interrupt"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001719"	"softpc.new/base/comms/com.c:353"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000013"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:raise_rda_interrupt"	"raise_rda_interrupt"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001718"	"softpc.new/base/comms/com.c:334"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000014"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:raise_rls_interrupt"	"raise_rls_interrupt"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001717"	"softpc.new/base/comms/com.c:311"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000015"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:raise_thre_interrupt"	"raise_thre_interrupt"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001720"	"softpc.new/base/comms/com.c:371"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000016"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:recv_char_from_fifo"	"recv_char_from_fifo"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001733"	"softpc.new/base/comms/com.c:1565"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000017"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:set_baud_rate"	"set_baud_rate"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001745"	"softpc.new/base/comms/com.c:1977"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000018"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:set_break"	"set_break"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001744"	"softpc.new/base/comms/com.c:1888"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000019"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:set_dtr"	"set_dtr"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001747"	"softpc.new/base/comms/com.c:2142"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000020"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:set_line_control"	"set_line_control"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001746"	"softpc.new/base/comms/com.c:2041"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000021"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:set_loopback"	"set_loopback"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001751"	"softpc.new/base/comms/com.c:2381"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000022"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:set_out1"	"set_out1"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001749"	"softpc.new/base/comms/com.c:2256"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000023"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:set_out2"	"set_out2"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001750"	"softpc.new/base/comms/com.c:2313"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000024"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:set_recv_char_status"	"set_recv_char_status"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001740"	"softpc.new/base/comms/com.c:1840"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000025"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:set_rts"	"set_rts"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001748"	"softpc.new/base/comms/com.c:2202"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-000026"	"file-static:softpc.new/base/comms/com.c@64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3:set_xmit_char_status"	"set_xmit_char_status"	"selected-source-path-and-hash"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-001741"	"softpc.new/base/comms/com.c:1858"	"not-host-runtime"
