definition_id	file_id	source_path	source_sha256	package_root	source_line	symbol	linkage	signature_evidence	file_disposition	final_function_disposition	function_disposition_basis	should_recover	recovery_form	leaf_status	leaf_basis	direct_call_summary
"MVDM-ZERO-DEFINITION-000001"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"bde"	"49"	"db"	"external-or-unspecified"	"db( HANDLE CurrentProcess, HANDLE CurrentThread, DWORD CurrentPc, PWINDBG_EXTENSION_APIS ExtensionApis, LPSTR ArgumentString )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"UNREFERENCED_PARAMETER@75:macro-expression;SETUP_WINDBG_POINTERS@80:macro-expression;DumpMemory@81:first:MVDM-FIRST-CANDIDATE-000001"
"MVDM-ZERO-DEFINITION-000002"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"bde"	"86"	"dw"	"external-or-unspecified"	"dw( HANDLE CurrentProcess, HANDLE CurrentThread, DWORD CurrentPc, PWINDBG_EXTENSION_APIS ExtensionApis, LPSTR ArgumentString )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"UNREFERENCED_PARAMETER@112:macro-expression;SETUP_WINDBG_POINTERS@117:macro-expression;DumpMemory@118:first:MVDM-FIRST-CANDIDATE-000002"
"MVDM-ZERO-DEFINITION-000003"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"bde"	"123"	"dd"	"external-or-unspecified"	"dd( HANDLE CurrentProcess, HANDLE CurrentThread, DWORD CurrentPc, PWINDBG_EXTENSION_APIS ExtensionApis, LPSTR ArgumentString )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"UNREFERENCED_PARAMETER@149:macro-expression;SETUP_WINDBG_POINTERS@154:macro-expression;DumpMemory@155:first:MVDM-FIRST-CANDIDATE-000003"
"MVDM-ZERO-DEFINITION-000004"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"bde"	"160"	"dg"	"external-or-unspecified"	"dg( HANDLE CurrentProcess, HANDLE CurrentThread, DWORD CurrentPc, PWINDBG_EXTENSION_APIS ExtensionApis, LPSTR ArgumentString )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"UNREFERENCED_PARAMETER@186:macro-expression;SETUP_WINDBG_POINTERS@191:macro-expression;DumpDescriptor@192:zero:MVDM-ZERO-DEFINITION-000024"
"MVDM-ZERO-DEFINITION-000005"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"bde"	"197"	"dgh"	"external-or-unspecified"	"dgh( HANDLE CurrentProcess, HANDLE CurrentThread, DWORD CurrentPc, PWINDBG_EXTENSION_APIS ExtensionApis, LPSTR ArgumentString )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"UNREFERENCED_PARAMETER@223:macro-expression;SETUP_WINDBG_POINTERS@228:macro-expression;DumpGHeap@229:zero:MVDM-ZERO-DEFINITION-000020"
"MVDM-ZERO-DEFINITION-000006"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"bde"	"235"	"es"	"external-or-unspecified"	"es( HANDLE CurrentProcess, HANDLE CurrentThread, DWORD CurrentPc, PWINDBG_EXTENSION_APIS ExtensionApis, LPSTR ArgumentString )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"UNREFERENCED_PARAMETER@261:macro-expression;SETUP_WINDBG_POINTERS@266:macro-expression;CheckGlobalHeap@267:first:MVDM-FIRST-CANDIDATE-000004;EvaluateSymbol@270:zero:MVDM-ZERO-DEFINITION-000039"
"MVDM-ZERO-DEFINITION-000007"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"bde"	"275"	"help"	"external-or-unspecified"	"help( HANDLE CurrentProcess, HANDLE CurrentThread, DWORD CurrentPc, PWINDBG_EXTENSION_APIS ExtensionApis, LPSTR ArgumentString )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"SETUP_WINDBG_POINTERS@282:macro-expression;PRINTF@284:macro-expression;PRINTF@285:macro-expression;PRINTF@286:macro-expression;PRINTF@287:macro-expression;PRINTF@288:macro-expression;PRINTF@289:macro-expression;PRINTF@290:macro-expression;PRINTF@291:macro-expression;PRINTF@292:macro-expression;PRINTF@293:macro-expression;PRINTF@294:macro-expression;PRINTF@295:macro-expression"
"MVDM-ZERO-DEFINITION-000008"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"bde"	"299"	"k"	"external-or-unspecified"	"k( HANDLE CurrentProcess, HANDLE CurrentThread, DWORD CurrentPc, PWINDBG_EXTENSION_APIS ExtensionApis, LPSTR ArgumentString )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"UNREFERENCED_PARAMETER@325:macro-expression;SETUP_WINDBG_POINTERS@330:macro-expression;CheckGlobalHeap@331:first:MVDM-FIRST-CANDIDATE-000005;WalkStack@334:first:MVDM-FIRST-CANDIDATE-000006"
"MVDM-ZERO-DEFINITION-000009"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"bde"	"340"	"kb"	"external-or-unspecified"	"kb( HANDLE CurrentProcess, HANDLE CurrentThread, DWORD CurrentPc, PWINDBG_EXTENSION_APIS ExtensionApis, LPSTR ArgumentString )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"UNREFERENCED_PARAMETER@366:macro-expression;SETUP_WINDBG_POINTERS@371:macro-expression;CheckGlobalHeap@372:first:MVDM-FIRST-CANDIDATE-000007;WalkStackVerbose@375:first:MVDM-FIRST-CANDIDATE-000008"
"MVDM-ZERO-DEFINITION-000010"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"bde"	"381"	"lm"	"external-or-unspecified"	"lm( HANDLE CurrentProcess, HANDLE CurrentThread, DWORD CurrentPc, PWINDBG_EXTENSION_APIS ExtensionApis, LPSTR ArgumentString )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"UNREFERENCED_PARAMETER@407:macro-expression;SETUP_WINDBG_POINTERS@412:macro-expression;CheckGlobalHeap@413:first:MVDM-FIRST-CANDIDATE-000009;ListModules@416:zero:MVDM-ZERO-DEFINITION-000023"
