"interface_id"	"parent_interface_id"	"row_kind"	"caller"	"declaration_evidence"	"required_interface"	"abi_layout"	"owner"	"availability"	"recovery_disposition"	"failure_contract"	"successor"	"focused_evidence"
"MVDM-DEBT-001"	""	"family-unexpanded"	"softpc.new/host/src/nt_bop.c"	"softpc.new/host/inc/host_bop.h"	"CCPU #UD ingress and typed resume/stop transfer"	"expand-before-package-enable"	"adapter-bop"	"unreviewed"	"unreviewed"	"typed adapter-bochs/adapter-softpc endpoint; no selector recognition"	"Wave 2: host control plane and DEM"	""
"MVDM-DEBT-002"	""	"family-unexpanded"	"dos/dem/demfile.c; dos/dem/demhndl.c; dos/dem/demsrch.c; dos/dem/demdasd.c"	"inc/softpc.h; softpc.new/base/inc/sas.h"	"CCPU register access and SAS guest span aliases"	"expand-before-package-enable"	"adapter-softpc"	"unreviewed"	"unreviewed"	"same-shaped adapter-bochs call plus session checked lease"	"Wave 2: host control plane and DEM"	""
"MVDM-DEBT-003"	""	"family-unexpanded"	"xms.486/xmsa20.c; xms.486/xmsumb.c; xms.486/xmsmemr.c"	"xms.486/xms.h; inc/softpc.h"	"A20, UMB and SAS memory seam"	"expand-before-package-enable"	"adapter-softpc"	"unreviewed"	"unreviewed"	"same-shaped mechanical seam or explicit unavailable result; no XMS policy in adapter"	"Wave 4: XMS"	""
"MVDM-DEBT-004"	""	"family-unexpanded"	"dos/dem/demdir.c; dos/dem/demfile.c; dos/dem/demgset.c; dos/dem/demsrch.c"	"inc/oemuni.h; inc/vdmredir.h"	"OEM path, file, directory and search host APIs"	"expand-before-package-enable"	"adapter-win32"	"unreviewed"	"unreviewed"	"same-shaped public Win32 facade; monitor calls stay in monitor adapter"	"Wave 2: host control plane and DEM"	""
"MVDM-DEBT-005"	""	"family-unexpanded"	"dos/command/cmdenv.c; dos/command/cmdexec.c; dos/command/cmdconf.c; dos/command/cmdkeyb.c"	"inc/cmdsvc.h; inc/vdmtib.h"	"RTL, environment, OEM and local command exchange APIs"	"expand-before-package-enable"	"adapter-win32"	"unreviewed"	"unreviewed"	"same-shaped public Win32/session facade; BaseSrv coordination goes to broker"	"Wave 3: COMMAND local lifecycle / Wave 7 brokered extensions"	""
"MVDM-DEBT-006"	""	"family-unexpanded"	"softpc.new/host/src/nt_error.c"	"softpc.new/host/inc/error.h"	"NTVDM host error-dialog surface"	"expand-before-package-enable"	"adapter-win32"	"unreviewed"	"unreviewed"	"public dialog subset; session controlled stop; no CSRSS placement"	"Wave 2: host control plane and DEM"	""
"MVDM-DEBT-007"	""	"family-unexpanded"	"v86/monitor/i386/monitor.c; v86/monitor/i386/int.c; v86/monitor/i386/sas.c; ieuvddex/i386/vdmtib.c"	"inc/vdmtib.h; inc/v86def.h; sim32/sim32.h"	"NtVdmControl, VDM_TIB, V86 events and handler installation"	"expand-before-package-enable"	"adapter-vdm-monitor"	"unreviewed"	"unreviewed"	"bound session context and public user-mode facilities; no kernel/CSRSS recreation"	"Wave 5: VDM monitor substrate"	""
"MVDM-DEBT-008"	""	"family-unexpanded"	"vdmredir/vrdisp.c; vdmredir/vrinit.c; vdmredir/vrnmpipe.c; vdmredir/vrremote.c; vdmredir/vrnetapi.c"	"inc/vdmredir.h; inc/rdrsvc.h"	"Redirector control, remote and named-pipe interface family"	"expand-before-package-enable"	"adapter-redir"	"unreviewed"	"unreviewed"	"public IPC/Win32 implementation where source-equivalent; otherwise explicit unavailable"	"Wave 7: Redirector and brokered COMMAND extensions"	""
"MVDM-DEBT-009"	""	"family-unexpanded"	"wow32 and wowexec packages"	"selected inc/wow*.h declarations"	"WOW host broker, callbacks and launch interfaces"	"expand-before-package-enable"	"adapter-wow"	"unreviewed"	"unreviewed"	"public process/event/console facilities where same-shaped; otherwise explicit unavailable"	"Wave 8: WOW"	""
"MVDM-DEBT-010"	""	"family-unexpanded"	"vdd packages; softpc.new/host VDD callbacks"	"selected VDD headers and host callback declarations"	"VDD registration, callback and host bridge"	"expand-before-package-enable"	"adapter-vdd"	"unreviewed"	"unreviewed"	"bounded callback facade or explicit unavailable; device semantics remain Bochs-owned"	"Wave 9: VDD and debugger products"	""
"MVDM-DEBT-011"	""	"family-unexpanded"	"bde; dbg; vdmdbg; vdmexts; reached diagnostic hooks"	"selected debugger headers and callback declarations"	"Debugger registration, notification and control"	"expand-before-package-enable"	"adapter-debugger"	"unreviewed"	"unreviewed"	"same-shaped facade or explicit unavailable; never a replacement debugger"	"Wave 9: VDD and debugger products"	""
"MVDM-DEBT-012"	""	"family-unexpanded"	"dos/command/cmdexec.c; dos/command/cmdexit.c; dos/command/cmdmisc.c; softpc.new/host/src/nt_thred.c"	"inc/vdmtib.h; historical thread declarations"	"CCPU worker and CSR/BaseSrv multi-VDM coordination"	"expand-before-package-enable"	"broker"	"unreviewed"	"unreviewed"	"fixed-width public IPC broker; no CCSR/BaseSrv/CCPU recreation"	"Wave 7: Redirector and brokered COMMAND extensions"	""
"MVDM-DECL-00001"	""	"textual-declaration-candidate"	""	"bde/bde.h:6"	"Print"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00001"
"MVDM-DECL-00002"	""	"textual-declaration-candidate"	""	"bde/bde.h:7"	"GetExpression"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00002"
"MVDM-DECL-00003"	""	"textual-declaration-candidate"	""	"bde/bde.h:8"	"GetSymbol"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00003"
"MVDM-DECL-00004"	""	"textual-declaration-candidate"	""	"bde/bde.h:9"	"Disassemble"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00004"
"MVDM-DECL-00005"	""	"textual-declaration-candidate"	""	"bde/bde.h:10"	"CheckCtrlC"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00005"
"MVDM-DECL-00006"	""	"textual-declaration-candidate"	""	"bde/bde.h:12"	"ReadProcessMemWinDbg"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00006"
"MVDM-DECL-00007"	""	"textual-declaration-candidate"	""	"bde/bde.h:13"	"WriteProcessMemWinDbg"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00007"
"MVDM-DECL-00008"	""	"textual-declaration-candidate"	""	"bde/bde.h:14"	"GetThreadContextWinDbg"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00008"
"MVDM-DECL-00009"	""	"textual-declaration-candidate"	""	"bde/bde.h:15"	"SetThreadContextWinDbg"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00009"
"MVDM-DECL-00010"	""	"textual-declaration-candidate"	""	"bde/bde.h:17"	"fWinDbg"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00010"
"MVDM-DECL-00011"	""	"textual-declaration-candidate"	""	"bde/bde.h:18"	"hCurrentProcess"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00011"
"MVDM-DECL-00012"	""	"textual-declaration-candidate"	""	"bde/bde.h:19"	"hCurrentThread"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00012"
"MVDM-DECL-00013"	""	"textual-declaration-candidate"	""	"bde/bde.h:20"	"lpArgumentString"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00013"
"MVDM-DECL-00014"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:223"	"nDrives"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00014"
"MVDM-DECL-00015"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:224"	"IsFirstVDMInSystem"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00015"
"MVDM-DECL-00016"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:225"	"VDMForWOW"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00016"
"MVDM-DECL-00017"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:226"	"lpszComSpec"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00017"
"MVDM-DECL-00018"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:227"	"cbComSpec"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00018"
"MVDM-DECL-00019"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:228"	"IsFirstCall"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00019"
"MVDM-DECL-00020"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:229"	"IsRepeatCall"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00020"
"MVDM-DECL-00021"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:230"	"IsFirstWOWCheckBinary"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00021"
"MVDM-DECL-00022"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:231"	"IsFirstVDMInSystem"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00022"
"MVDM-DECL-00023"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:232"	"SaveWorldCreated"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00023"
"MVDM-DECL-00024"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:233"	"pSCS_ToSync"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00024"
"MVDM-DECL-00025"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:234"	"fBlock"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00025"
"MVDM-DECL-00026"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:235"	"pCommand32"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00026"
