component	project_path	sha256	same_hash_original_candidates	suffix_candidates	disposition
"mvdm-host"	"src/mvdm-host/dos/command/cmdmisc.c"	"38f73abc3bb3d1a29b6d0a7e306ffce4399d6663910c549b8f6bc44565403f1d"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/dos/command/cmdredir.c"	"8c31dbbe458e03adc8a7f0bcbfbb799691cda4209946defcf99972f504889f5e"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/dos/dem/demdata.c"	"d683f95923e4d5c9f31f5b1297910408b0eba68a1ac592d0cd9f54d364563c3c"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/dos/dem/demfcb.c"	"21dcb966b19b1011f581e6ef19dfa3728c29369d6be4abc67ea852a8daf13ff1"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/dos/dem/demfile.c"	"1995a103e2bae65993ede077c344606b5e4bb56c8df74347adf94b143602f957"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/dos/dem/demgset.c"	"5126e8751d62864fb78c8ee7292c46cab6286569638828a480096509229672cb"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/dos/dem/demhndl.c"	"a663de6e721a8375f54aac7df867f8d00f7d689f9402e0dbd2b6666b996f4bdd"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/dos/dem/demsrch.c"	"dbf451fac3e99b76eb7fb1cfb5ba6c5504efa95d98b47aabf10bc204ebb8a33b"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/dpmi32/dpmi32.c"	"75163956f0fac12ab9b285dc762fce4621cdf334e121d2b9ac1fc0e4137cae52"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/dpmi32/dpmiint.c"	"7a4787de71a7da5c7552c900541975e324f0bd82e52f14c19ea3f7f3b286fc2b"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/dpmi32/dpmimemr.c"	"0cc70163eaf07fdfb574e7b180f2bd64ab8438e5066e50ab79f4134e6bc1de45"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/dpmi32/dpmiselr.c"	"c3b82f3b3ea0dcab30ef5372bfc33f6c9c38cbfbb574c6cba6aabc4a757a440f"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/dpmi32/stack.c"	"2753ca79d1587d1a065a7147701be729955f1c83805f5e41981fb11d5642352b"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/dpmi32/xmem.c"	"5675789c121cab885c10f1026784fb78ed9acfb15d07de3cdc874c8faca7e1ad"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/softpc.new/host/src/nt_bop.c"	"f93960cfc3c31efffbbe08598ed5bee2eaf50c5416fa8bbf6034510ac5fd2821"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/softpc.new/host/src/nt_fdisk.c"	"e3bc0e710bdae1cf5dbbc5611f2eb77a6080747ecb69b1f0701e63d39eb1ccfa"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/softpc.new/host/src/nt_rflop.c"	"8686b559233ddf84b287bebe10dde40c97a48b2506b561897a7eef8ea4a0363b"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/vdmredir/vrmslot.c"	"a9c0233e054cafec941c89bb6d750e9c74bbdc8f8ddb0dc08a5f1b6809d5a298"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/wow32/wkfileio.c"	"f2d224c7730eb97e3ecb1f24e8072ee157f085557f96a15a5ffe070989d3d3ef"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/xms.486/xmsa20.c"	"6b238b58973e893782fa90c2410e825e642223b3aa0cbe49154a0dff9ee1dddc"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/xms.486/xmsblock.c"	"c8d06418474fa43d8e4649a0482f05fba6c08772f7a33a80b6efb9c3fd2dc184"	"0"	"0"	"not-used-for-original-identity-closure"
"mvdm-host"	"src/mvdm-host/xms.486/xmsumb.c"	"96c04aaa9c2ed3bd6bad381e8cc3d3322a74aae21627b2b7c41c249fcf4c7f2a"	"0"	"0"	"not-used-for-original-identity-closure"
