component	project_path	project_sha256	original_source_path	original_source_sha256	disposition
"mvdm-host"	"src/mvdm-host/dos/command/cmdmisc.c"	"38f73abc3bb3d1a29b6d0a7e306ffce4399d6663910c549b8f6bc44565403f1d"	"dos/command/cmdmisc.c"	"1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281"	"same-path-divergent-mirror; original body selected for source audit"
"mvdm-host"	"src/mvdm-host/dos/command/cmdredir.c"	"8c31dbbe458e03adc8a7f0bcbfbb799691cda4209946defcf99972f504889f5e"	"dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"same-path-divergent-mirror; original body selected for source audit"
"mvdm-host"	"src/mvdm-host/dos/dem/demdata.c"	"d683f95923e4d5c9f31f5b1297910408b0eba68a1ac592d0cd9f54d364563c3c"	"dos/dem/demdata.c"	"366a350bc31579dc48764b81d28b26f4d2a5c69c66ec42d742ddaaf739e6a566"	"same-path-divergent-mirror; original body selected for source audit"
"mvdm-host"	"src/mvdm-host/dos/dem/demfcb.c"	"21dcb966b19b1011f581e6ef19dfa3728c29369d6be4abc67ea852a8daf13ff1"	"dos/dem/demfcb.c"	"2705fe134a825c3fbcb11594cf1aa23e858438a43d1de0c03e010930f921c670"	"same-path-divergent-mirror; original body selected for source audit"
"mvdm-host"	"src/mvdm-host/dos/dem/demfile.c"	"1995a103e2bae65993ede077c344606b5e4bb56c8df74347adf94b143602f957"	"dos/dem/demfile.c"	"701c7ce94b6317f23d73d847c681338ddb522d0216cf6373713e542c34236620"	"same-path-divergent-mirror; original body selected for source audit"
"mvdm-host"	"src/mvdm-host/dos/dem/demgset.c"	"5126e8751d62864fb78c8ee7292c46cab6286569638828a480096509229672cb"	"dos/dem/demgset.c"	"19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653"	"same-path-divergent-mirror; original body selected for source audit"
"mvdm-host"	"src/mvdm-host/dos/dem/demhndl.c"	"a663de6e721a8375f54aac7df867f8d00f7d689f9402e0dbd2b6666b996f4bdd"	"dos/dem/demhndl.c"	"5e951e14d7c88357dc25933b602cb756fbaf4cf47125a46d740135491b4eb958"	"same-path-divergent-mirror; original body selected for source audit"
"mvdm-host"	"src/mvdm-host/dos/dem/demsrch.c"	"dbf451fac3e99b76eb7fb1cfb5ba6c5504efa95d98b47aabf10bc204ebb8a33b"	"dos/dem/demsrch.c"	"2fb56aad4d35a02dec38e9202d41b94a25076428c3d9eb08211d89f890c896ee"	"same-path-divergent-mirror; original body selected for source audit"
"mvdm-host"	"src/mvdm-host/dpmi32/dpmi32.c"	"75163956f0fac12ab9b285dc762fce4621cdf334e121d2b9ac1fc0e4137cae52"	"dpmi32/dpmi32.c"	"c271daf86bdfa846c9602f74bd2a4059b98c2ad1f12676e966bcfd427ba93dca"	"same-path-divergent-mirror; original body selected for source audit"
"mvdm-host"	"src/mvdm-host/dpmi32/dpmiint.c"	"7a4787de71a7da5c7552c900541975e324f0bd82e52f14c19ea3f7f3b286fc2b"	"dpmi32/dpmiint.c"	"d0607f266b8c6ee0556af13ff9260c7c07df8c0dc05ab25b37567430fb28a4aa"	"same-path-divergent-mirror; original body selected for source audit"
"mvdm-host"	"src/mvdm-host/dpmi32/dpmimemr.c"	"0cc70163eaf07fdfb574e7b180f2bd64ab8438e5066e50ab79f4134e6bc1de45"	"dpmi32/dpmimemr.c"	"a21e43830622d5d04bfcd018c6751cdc7a3de54c166621731494363c8d5a60ae"	"same-path-divergent-mirror; original body selected for source audit"
"mvdm-host"	"src/mvdm-host/dpmi32/dpmiselr.c"	"c3b82f3b3ea0dcab30ef5372bfc33f6c9c38cbfbb574c6cba6aabc4a757a440f"	"dpmi32/dpmiselr.c"	"9bdd58d63029de9438633a62934af2b2b868206cb7f06cc868f537e030fbd234"	"same-path-divergent-mirror; original body selected for source audit"
