symbol	source_root	source_path	source_sha256	source_line	linkage	source	rebase_admission
"DumpTaskInfo"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"272"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"cmdInitConsole"	"O:\repos.external\OpenNT\base\mvdm"	"dos/command/cmdmisc.c"	"1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281"	"729"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"cmdUpdateCurrentDirectories"	"O:\repos.external\OpenNT\base\mvdm"	"dos/command/cmdmisc.c"	"1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281"	"778"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"cmdCheckCopyForRedirection"	"O:\repos.external\OpenNT\base\mvdm"	"dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"20"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"cmdCreateTempFile"	"O:\repos.external\OpenNT\base\mvdm"	"dos/command/cmdredir.c"	"a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"99"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"demGetPhysicalDriveType"	"O:\repos.external\OpenNT\base\mvdm"	"dos/dem/demgset.c"	"19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653"	"220"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"GetMediaId"	"O:\repos.external\OpenNT\base\mvdm"	"dos/dem/demgset.c"	"19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653"	"619"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"demGetDiskFreeSpace"	"O:\repos.external\OpenNT\base\mvdm"	"dos/dem/demgset.c"	"19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653"	"825"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"EnableIntHooks"	"O:\repos.external\OpenNT\base\mvdm"	"dpmi32/dpmiint.c"	"d0607f266b8c6ee0556af13ff9260c7c07df8c0dc05ab25b37567430fb28a4aa"	"1145"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"DisableIntHooks"	"O:\repos.external\OpenNT\base\mvdm"	"dpmi32/dpmiint.c"	"d0607f266b8c6ee0556af13ff9260c7c07df8c0dc05ab25b37567430fb28a4aa"	"1179"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"DpmiSwitchToDosxStack"	"O:\repos.external\OpenNT\base\mvdm"	"dpmi32/stack.c"	"e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5"	"25"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"DpmiSwitchFromDosxStack"	"O:\repos.external\OpenNT\base\mvdm"	"dpmi32/stack.c"	"e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5"	"57"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm"	"dpmi32/stack.c"	"e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5"	"131"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"GetFaxDataMapName"	"O:\repos.external\OpenNT\base\mvdm"	"inc/wowfax.h"	"97c6c40dc2d0565a21dc1be4112fe24f138b10ddbb55fbd29e55da972a2a2c84"	"284"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"cmos_read"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/cmos_bis.c"	"e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd"	"143"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
