caller_identity	caller_source_path	call_source_line	callee_spelling	selected_definition_identity	call_argument_count	definition_argument_count	header_argument_counts	target_package_in_caller_frontier	shape_basis	next_disposition
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|729"	"dos/command/cmdmisc.c"	"733"	"nt_init_event_thread"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_fulsc.c|e7dc683be45a04b63d783ae91263f55d50bf41aac480d7bac1a302f19205934c|170"	"0"	"0"	"0"	"true"	"reachable original declaration and definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778"	"dos/command/cmdmisc.c"	"818"	"demGetPhysicalDriveType"	"O:\repos.external\OpenNT\base\mvdm|dos/dem/demgset.c|19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653|220"	"1"	"1"	"1"	"true"	"reachable original declaration and definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778"	"dos/command/cmdmisc.c"	"821"	"GetDriveTypeOem"	"O:\repos.external\OpenNT\base\mvdm|oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|756"	"1"	"1"	"1"	"false"	"unresolved"	"unconfirmed internal candidate; retain for source-shape/frontier review"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"dos/command/cmdredir.c"	"62"	"CloseHandle"	"O:\repos.external\OpenNT\base\mvdm|wow16/mmsystem/mmsex.c|93afa83a4fa5993db93888b4dedf0adf8908eab0e39d4c23e49ba31798cc6196|361"	"1"	"1"	"none"	"true"	"unresolved"	"unconfirmed internal candidate; retain for source-shape/frontier review"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"dos/command/cmdredir.c"	"63"	"CloseHandle"	"O:\repos.external\OpenNT\base\mvdm|wow16/mmsystem/mmsex.c|93afa83a4fa5993db93888b4dedf0adf8908eab0e39d4c23e49ba31798cc6196|361"	"1"	"1"	"none"	"true"	"unresolved"	"unconfirmed internal candidate; retain for source-shape/frontier review"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"dos/command/cmdredir.c"	"64"	"CloseHandle"	"O:\repos.external\OpenNT\base\mvdm|wow16/mmsystem/mmsex.c|93afa83a4fa5993db93888b4dedf0adf8908eab0e39d4c23e49ba31798cc6196|361"	"1"	"1"	"none"	"true"	"unresolved"	"unconfirmed internal candidate; retain for source-shape/frontier review"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"dos/command/cmdredir.c"	"65"	"CloseHandle"	"O:\repos.external\OpenNT\base\mvdm|wow16/mmsystem/mmsex.c|93afa83a4fa5993db93888b4dedf0adf8908eab0e39d4c23e49ba31798cc6196|361"	"1"	"1"	"none"	"true"	"unresolved"	"unconfirmed internal candidate; retain for source-shape/frontier review"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"dos/command/cmdredir.c"	"87"	"CloseHandle"	"O:\repos.external\OpenNT\base\mvdm|wow16/mmsystem/mmsex.c|93afa83a4fa5993db93888b4dedf0adf8908eab0e39d4c23e49ba31798cc6196|361"	"1"	"1"	"none"	"true"	"unresolved"	"unconfirmed internal candidate; retain for source-shape/frontier review"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"dos/command/cmdredir.c"	"92"	"CloseHandle"	"O:\repos.external\OpenNT\base\mvdm|wow16/mmsystem/mmsex.c|93afa83a4fa5993db93888b4dedf0adf8908eab0e39d4c23e49ba31798cc6196|361"	"1"	"1"	"none"	"true"	"unresolved"	"unconfirmed internal candidate; retain for source-shape/frontier review"
"O:\repos.external\OpenNT\base\mvdm|dos/dem/demgset.c|19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653|619"	"dos/dem/demgset.c"	"606"	"demClientError"	"O:\repos.external\OpenNT\base\mvdm|dos/dem/demerror.c|8c266cc5086f5bfb834f7d2054459f0a91b1789e90095e56ff363f77d409b64f|124"	"2"	"2"	"2"	"true"	"reachable original declaration and definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
