caller_identity	caller_symbol	caller_source_path	caller_source_line	callee_spelling	internal_candidate_identity	disposition
"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|272"	"DumpTaskInfo"	"bde/bdemisc.c"	"272"	"GetInfoFromSelector"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|272"	"DumpTaskInfo"	"bde/bdemisc.c"	"272"	"ReadProcessMem"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|272"	"DumpTaskInfo"	"bde/bdemisc.c"	"272"	"GetIntelBase"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|99"	"cmdCreateTempFile"	"dos/command/cmdredir.c"	"99"	"malloc"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|99"	"cmdCreateTempFile"	"dos/command/cmdredir.c"	"99"	"GetTempPath"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|99"	"cmdCreateTempFile"	"dos/command/cmdredir.c"	"99"	"free"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|99"	"cmdCreateTempFile"	"dos/command/cmdredir.c"	"99"	"free"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|99"	"cmdCreateTempFile"	"dos/command/cmdredir.c"	"99"	"malloc"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|99"	"cmdCreateTempFile"	"dos/command/cmdredir.c"	"99"	"free"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|99"	"cmdCreateTempFile"	"dos/command/cmdredir.c"	"99"	"GetTempFileName"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|99"	"cmdCreateTempFile"	"dos/command/cmdredir.c"	"99"	"GetWindowsDirectory"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|99"	"cmdCreateTempFile"	"dos/command/cmdredir.c"	"99"	"strcpy"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|99"	"cmdCreateTempFile"	"dos/command/cmdredir.c"	"99"	"GetTempFileName"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
