zero_identity	membership_origin	source_root	source_path	source_sha256	source_line	symbol	exclusion
"O:\repos.external\OpenNT\base\mvdm|wow16/commdlg/dlgs.c|799c8a374db08eef2876c730ba8657d114bcba31476ad94b8fdb4d6cd75e0d07|66"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/commdlg/dlgs.c"	"799c8a374db08eef2876c730ba8657d114bcba31476ad94b8fdb4d6cd75e0d07"	"66"	"CommDlgExtendedError"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/commdlg/font.c|8768d16b2f967b66acbfa476fd486a85d49601c21008d818675baf8b237cbafa|1941"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/commdlg/font.c"	"8768d16b2f967b66acbfa476fd486a85d49601c21008d818675baf8b237cbafa"	"1941"	"atoi"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|90"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"90"	"DdeInitialize"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|116"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"116"	"Myatodw"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|131"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"131"	"Register"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|351"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"351"	"DdeUninitialize"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|550"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"550"	"DdeConnectList"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|702"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"702"	"DdeQueryNextServer"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|757"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"757"	"DdeDisconnectList"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|784"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"784"	"DdeConnect"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|825"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"825"	"DdeDisconnect"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|861"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"861"	"DdeReconnect"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|935"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"935"	"DdeQueryConvInfo"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|1032"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"1032"	"DdeSetUserHandle"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|1087"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"1087"	"DdePostAdvise"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
