binding_id	resolution_id	one_ledger1_identity	caller_include_frontier_id	callee_spelling	candidate_identity	definition_source_root	definition_source_path	definition_source_sha256	definition_source_line	definition_linkage	reachable_declaration_tokens	binding_disposition	next_action	boundary
"MVDM-HOST-ONE1-BINDING-000001"	"MVDM-HOST-ONE1-RESOLUTION-000001"	"MVDM-HOST-ONE1-000013"	"MVDM-HOST-ONE1-CALLER-000001"	"strcpy"	"O:\repos.external\OpenNT|admin/netui/common/src/string/string/strcpy.cxx|e6069a2825702fb666ed97cce410d949538a26d400ab6dda804f5b7fa5a81b56|84|strcpy"	"O:\repos.external\OpenNT"	"admin/netui/common/src/string/string/strcpy.cxx"	"e6069a2825702fb666ed97cce410d949538a26d400ab6dda804f5b7fa5a81b56"	"84"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000002"	"MVDM-HOST-ONE1-RESOLUTION-000001"	"MVDM-HOST-ONE1-000013"	"MVDM-HOST-ONE1-CALLER-000001"	"strcpy"	"O:\repos.external\OpenNT|base/boot/veneer/vrlib.c|119251ec114e3876ad1a89909091d102c7ace765c390714afda87b338ea62569|223|strcpy"	"O:\repos.external\OpenNT"	"base/boot/veneer/vrlib.c"	"119251ec114e3876ad1a89909091d102c7ace765c390714afda87b338ea62569"	"223"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000003"	"MVDM-HOST-ONE1-RESOLUTION-000001"	"MVDM-HOST-ONE1-000013"	"MVDM-HOST-ONE1-CALLER-000001"	"strcpy"	"O:\repos.external\OpenNT|base/crts/crtw32/string/strcat.c|0d3322705876f42ccd54dc68ee1ae9f3727ccc609c05aa44f8d1a5e9e84c32f5|89|strcpy"	"O:\repos.external\OpenNT"	"base/crts/crtw32/string/strcat.c"	"0d3322705876f42ccd54dc68ee1ae9f3727ccc609c05aa44f8d1a5e9e84c32f5"	"89"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000004"	"MVDM-HOST-ONE1-RESOLUTION-000002"	"MVDM-HOST-ONE1-000014"	"MVDM-HOST-ONE1-CALLER-000001"	"strcpy"	"O:\repos.external\OpenNT|admin/netui/common/src/string/string/strcpy.cxx|e6069a2825702fb666ed97cce410d949538a26d400ab6dda804f5b7fa5a81b56|84|strcpy"	"O:\repos.external\OpenNT"	"admin/netui/common/src/string/string/strcpy.cxx"	"e6069a2825702fb666ed97cce410d949538a26d400ab6dda804f5b7fa5a81b56"	"84"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000005"	"MVDM-HOST-ONE1-RESOLUTION-000002"	"MVDM-HOST-ONE1-000014"	"MVDM-HOST-ONE1-CALLER-000001"	"strcpy"	"O:\repos.external\OpenNT|base/boot/veneer/vrlib.c|119251ec114e3876ad1a89909091d102c7ace765c390714afda87b338ea62569|223|strcpy"	"O:\repos.external\OpenNT"	"base/boot/veneer/vrlib.c"	"119251ec114e3876ad1a89909091d102c7ace765c390714afda87b338ea62569"	"223"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000006"	"MVDM-HOST-ONE1-RESOLUTION-000002"	"MVDM-HOST-ONE1-000014"	"MVDM-HOST-ONE1-CALLER-000001"	"strcpy"	"O:\repos.external\OpenNT|base/crts/crtw32/string/strcat.c|0d3322705876f42ccd54dc68ee1ae9f3727ccc609c05aa44f8d1a5e9e84c32f5|89|strcpy"	"O:\repos.external\OpenNT"	"base/crts/crtw32/string/strcat.c"	"0d3322705876f42ccd54dc68ee1ae9f3727ccc609c05aa44f8d1a5e9e84c32f5"	"89"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000007"	"MVDM-HOST-ONE1-RESOLUTION-000004"	"MVDM-HOST-ONE1-000020"	"MVDM-HOST-ONE1-CALLER-000001"	"_stricmp"	"O:\repos.external\OpenNT|admin/netui/common/src/string/string/stricmp.cxx|7858c8c1b0ca2a709a89a4a1ce0dcac0beb416a7704128ca2654c973135f8a38|48|_stricmp"	"O:\repos.external\OpenNT"	"admin/netui/common/src/string/string/stricmp.cxx"	"7858c8c1b0ca2a709a89a4a1ce0dcac0beb416a7704128ca2654c973135f8a38"	"48"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000008"	"MVDM-HOST-ONE1-RESOLUTION-000004"	"MVDM-HOST-ONE1-000020"	"MVDM-HOST-ONE1-CALLER-000001"	"_stricmp"	"O:\repos.external\OpenNT|admin/netui/common/src/string/string/stricmp.cxx|7858c8c1b0ca2a709a89a4a1ce0dcac0beb416a7704128ca2654c973135f8a38|57|_stricmp"	"O:\repos.external\OpenNT"	"admin/netui/common/src/string/string/stricmp.cxx"	"7858c8c1b0ca2a709a89a4a1ce0dcac0beb416a7704128ca2654c973135f8a38"	"57"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000009"	"MVDM-HOST-ONE1-RESOLUTION-000004"	"MVDM-HOST-ONE1-000020"	"MVDM-HOST-ONE1-CALLER-000001"	"_stricmp"	"O:\repos.external\OpenNT|admin/netui/common/src/string/string/stricmp.cxx|7858c8c1b0ca2a709a89a4a1ce0dcac0beb416a7704128ca2654c973135f8a38|70|_stricmp"	"O:\repos.external\OpenNT"	"admin/netui/common/src/string/string/stricmp.cxx"	"7858c8c1b0ca2a709a89a4a1ce0dcac0beb416a7704128ca2654c973135f8a38"	"70"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000010"	"MVDM-HOST-ONE1-RESOLUTION-000004"	"MVDM-HOST-ONE1-000020"	"MVDM-HOST-ONE1-CALLER-000001"	"_stricmp"	"O:\repos.external\OpenNT|base/crts/crtw32/string/stricmp.c|4d0bec9d5961484366a9af2534e90159241e0733d1194631f06d0f24e84f14c1|59|_stricmp"	"O:\repos.external\OpenNT"	"base/crts/crtw32/string/stricmp.c"	"4d0bec9d5961484366a9af2534e90159241e0733d1194631f06d0f24e84f14c1"	"59"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
