"file_id"	"source_path"	"sha256"	"file_kind"	"final_disposition"	"target_owner"	"non_link_reason"	"evidence"	"source_derived_adapter_disposition"	"modern_nonintrusive_route"	"adapter_audit_owner"
"KERNEL-VDM-FILE-0001"	"base/ntos/vdm/dirs"	"4a15cfa373316522d8628788489184b4bda30348e1cef65f92005b5bbd45ebf7"	"build-or-resource"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending declaration/build-carrier classification"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0002"	"base/ntos/vdm/mp/makefile"	"26957856e8a7f42a1740419cf3451497129f1d8284301d42f1a89ee13dd5a459"	"build-or-resource"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending declaration/build-carrier classification"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0003"	"base/ntos/vdm/mp/makefile.inc"	"8a0b29341f03e62d8844c398bc5ea3611adc95edaf7eb8fab0a4e2422f1c943d"	"kernel-declaration-or-implementation-carrier"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending declaration/build-carrier classification"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0004"	"base/ntos/vdm/mp/sources"	"026a58d601df900a6ffe934964a884c203810d95b4e27cec7d93fe65dc49e719"	"build-or-resource"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending declaration/build-carrier classification"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0005"	"base/ntos/vdm/ntvdmp.h"	"6a527a405e2fa589f89be497ed4e0dd564f756aebda3f699c8d0f973a24e3e40"	"kernel-declaration-or-implementation-carrier"	"declaration-contract-evidence-only"	"mvdm-platform-abi declarations as individually selected"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending declaration/build-carrier classification"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0006"	"base/ntos/vdm/sources.inc"	"42e981f14761507edd27970790b561f2a689dad4f55bc99d77d023db2c66acbf"	"kernel-declaration-or-implementation-carrier"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending declaration/build-carrier classification"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0007"	"base/ntos/vdm/up/makefile"	"26957856e8a7f42a1740419cf3451497129f1d8284301d42f1a89ee13dd5a459"	"build-or-resource"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending declaration/build-carrier classification"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0008"	"base/ntos/vdm/up/makefile.inc"	"73d362f281f219169c9f8831dd7899d395cedfe9614d47b6f73a89d527011c58"	"kernel-declaration-or-implementation-carrier"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending declaration/build-carrier classification"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0009"	"base/ntos/vdm/up/sources"	"5e39a546f54e32dafe11f8f0bc05f1f599b2cd93d5aaedcfb8b1d392a504d6a4"	"build-or-resource"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending declaration/build-carrier classification"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0010"	"base/ntos/vdm/vdm.c"	"5d941de166b70b352064a9b6c2567a2d1b56fa926dfa3fa35c6abd27f4695b29"	"kernel-source"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending per-function/per-block adapter-reuse audit"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
