"edge_id"	"call_id"	"caller_path"	"caller_line"	"symbol"	"original_declaration_path"	"candidate_source_paths"	"candidate_package_roots"	"definition_form_candidates"	"candidate_state"	"next_stage"
"MVDM-BOUNDARY-00010"	"MVDM-CALL-001459"	"dos/command/cmdconf.c"	"236"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00011"	"MVDM-CALL-001460"	"dos/command/cmdconf.c"	"243"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00016"	"MVDM-CALL-001553"	"dos/command/cmdenv.c"	"52"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00017"	"MVDM-CALL-001593"	"dos/command/cmdenv.c"	"224"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00019"	"MVDM-CALL-001618"	"dos/command/cmdenv.c"	"363"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00020"	"MVDM-CALL-001630"	"dos/command/cmdenv.c"	"459"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00043"	"MVDM-CALL-002039"	"dos/command/cmdmisc.c"	"789"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00044"	"MVDM-CALL-002121"	"dos/command/cmdredir.c"	"110"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00045"	"MVDM-CALL-002125"	"dos/command/cmdredir.c"	"128"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00046"	"MVDM-CALL-002136"	"dos/command/cmdredir.c"	"202"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
