"caller_path"	"source_line"	"declaration_text"	"edge_kind"	"stage1_state"	"next_stage"	"lexical_name"	"selected_definition_paths"
"bde/bde.h"	"6"	"extern PNTSD_OUTPUT_ROUTINE Print;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"Print"	""
"bde/bde.h"	"7"	"extern PNTSD_GET_EXPRESSION GetExpression;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"GetExpression"	""
"bde/bde.h"	"8"	"extern PNTSD_GET_SYMBOL GetSymbol;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"GetSymbol"	""
"bde/bde.h"	"10"	"extern PNTSD_CHECK_CONTROL_C CheckCtrlC;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"CheckCtrlC"	""
"bde/bde.h"	"12"	"extern PWINDBG_READ_PROCESS_MEMORY_ROUTINE  ReadProcessMemWinDbg;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"ReadProcessMemWinDbg"	""
"bde/bde.h"	"13"	"extern PWINDBG_WRITE_PROCESS_MEMORY_ROUTINE WriteProcessMemWinDbg;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"WriteProcessMemWinDbg"	""
"bde/bde.h"	"14"	"extern PWINDBG_GET_THREAD_CONTEXT_ROUTINE   GetThreadContextWinDbg;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"GetThreadContextWinDbg"	""
"bde/bde.h"	"15"	"extern PWINDBG_SET_THREAD_CONTEXT_ROUTINE   SetThreadContextWinDbg;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"SetThreadContextWinDbg"	""
"bde/bde.h"	"17"	"extern  fWinDbg;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"fWinDbg"	""
"bde/bde.h"	"18"	"extern HANDLE hCurrentProcess;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"hCurrentProcess"	""
"bde/bde.h"	"19"	"extern HANDLE hCurrentThread;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"hCurrentThread"	""
"bde/bde.h"	"20"	"extern LPSTR lpArgumentString;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"lpArgumentString"	""
"dos/command/cmd.h"	"223"	"extern USHORT	nDrives;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"nDrives"	""
"dos/command/cmd.h"	"224"	"extern BOOL	IsFirstVDMInSystem;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"IsFirstVDMInSystem"	""
"dos/command/cmd.h"	"225"	"extern BOOL	VDMForWOW;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"VDMForWOW"	""
"dos/command/cmd.h"	"226"	"extern CHAR	lpszComSpec[];"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"lpszComSpec"	""
"dos/command/cmd.h"	"227"	"extern USHORT	cbComSpec;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"cbComSpec"	""
"dos/command/cmd.h"	"228"	"extern BOOL	IsFirstCall;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"IsFirstCall"	""
"dos/command/cmd.h"	"229"	"extern BOOL	IsRepeatCall;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"IsRepeatCall"	""
"dos/command/cmd.h"	"230"	"extern BOOL	IsFirstWOWCheckBinary;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"IsFirstWOWCheckBinary"	""
"dos/command/cmd.h"	"231"	"extern BOOL	IsFirstVDMInSystem;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"IsFirstVDMInSystem"	""
"dos/command/cmd.h"	"232"	"extern BOOL	SaveWorldCreated;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"SaveWorldCreated"	""
"dos/command/cmd.h"	"233"	"extern PCHAR	pSCS_ToSync;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"pSCS_ToSync"	""
"dos/command/cmd.h"	"234"	"extern BOOL	fBlock;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"fBlock"	""
"dos/command/cmd.h"	"235"	"extern PCHAR	pCommand32;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"pCommand32"	""
"dos/command/cmd.h"	"236"	"extern PCHAR	pEnv32;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"pEnv32"	""
"dos/command/cmd.h"	"237"	"extern DWORD	dwExitCode32;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"dwExitCode32"	""
"dos/command/cmd.h"	"238"	"extern PSCSINFO pSCSInfo;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"pSCSInfo"	""
"dos/command/cmd.h"	"239"	"extern HANDLE	hFileStdOut;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"hFileStdOut"	""
"dos/command/cmd.h"	"240"	"extern HANDLE	hFileStdOutDup;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"hFileStdOutDup"	""
"dos/command/cmd.h"	"241"	"extern HANDLE	hFileStdErr;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"hFileStdErr"	""
"dos/command/cmd.h"	"242"	"extern HANDLE	hFileStdErrDup;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"hFileStdErrDup"	""
"dos/command/cmd.h"	"243"	"extern VDMINFO	VDMInfo;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"VDMInfo"	""
"dos/command/cmd.h"	"244"	"extern PSZ	pszFileStdOut;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"pszFileStdOut"	""
"dos/command/cmd.h"	"245"	"extern PSZ	pszFileStdErr;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"pszFileStdErr"	""
"dos/command/cmd.h"	"246"	"extern CHAR     cmdHomeDirectory[];"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"cmdHomeDirectory"	""
"dos/command/cmd.h"	"247"	"extern HANDLE   SCS_hStdIn;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"SCS_hStdIn"	""
"dos/command/cmd.h"	"248"	"extern HANDLE   SCS_hStdOut;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"SCS_hStdOut"	""
"dos/command/cmd.h"	"249"	"extern HANDLE   SCS_hStdErr;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"SCS_hStdErr"	""
"dos/command/cmd.h"	"250"	"extern CHAR     chDefaultDrive;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"chDefaultDrive"	""
"dos/command/cmd.h"	"251"	"extern BOOL	DontCheckDosBinaryType;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"DontCheckDosBinaryType"	""
"dos/command/cmd.h"	"252"	"extern WORD	Exe32ActiveCount;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"Exe32ActiveCount"	""
"dos/command/cmd.h"	"253"	"extern BOOL     fSoftpcRedirection;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"fSoftpcRedirection"	""
"dos/command/cmd.h"	"254"	"extern BOOL     fSoftpcRedirectionOnShellOut;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"fSoftpcRedirectionOnShellOut"	""
"dos/command/cmd.h"	"260"	"extern  ULONG CntrlHandlerState;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"CntrlHandlerState"	""
"dos/command/cmd.h"	"269"	"extern ULONG	iWOWTaskId;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"iWOWTaskId"	""
"dos/command/cmd.h"	"270"	"extern CHAR     comspec[];"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"comspec"	""
"dos/command/cmd.h"	"271"	"extern CHAR     ShortCutInfo[];"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"ShortCutInfo"	""
"dos/command/cmd.h"	"274"	"extern CHAR	*lpszzInitEnvironment;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"lpszzInitEnvironment"	""
"dos/command/cmd.h"	"275"	"extern WORD	cchInitEnvironment;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"cchInitEnvironment"	""
"dos/command/cmd.h"	"276"	"extern CHAR	*lpszzCurrentDirectories;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"lpszzCurrentDirectories"	""
"dos/command/cmd.h"	"277"	"extern DWORD	cchCurrentDirectories;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"cchCurrentDirectories"	""
"dos/command/cmd.h"	"278"	"extern BYTE	* pIsDosBinary;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"pIsDosBinary"	""
"dos/command/cmd.h"	"279"	"extern WORD	* pFDAccess;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"pFDAccess"	""
"dos/command/cmd.h"	"280"	"extern CHAR	*lpszzcmdEnv16;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"lpszzcmdEnv16"	""
"dos/command/cmd.h"	"281"	"extern BOOL	DosEnvCreated;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"DosEnvCreated"	""
